.obs_key_id,match_column,match_value,rcmr_term,matched_pattern,match_mode,rule_rank,rule_label,column_rank,column_order,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,n_obs_rows
13,dissection,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,Insular lobe,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),regex_ci,10,cortical insular pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,39696
14,dissection,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,107301
15,dissection,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,31065
16,dissection,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",31899
17,dissection,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,Parietal lobe,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b),regex_ci,50,cortical parietal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,42834
18,dissection,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,22886
19,dissection,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,Parietal lobe,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b),regex_ci,50,cortical parietal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,38188
20,dissection,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,34919
21,dissection,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,40677
22,dissection,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,116576
23,dissection,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,23295
24,dissection,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,Insular lobe,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),regex_ci,10,cortical insular pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,38937
25,dissection,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,Frontal lobe,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b),regex_ci,40,cortical frontal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,37767
26,dissection,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,40565
27,dissection,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,Occipital lobe,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),regex_ci,20,cortical occipital pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,29674
28,dissection,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,Parietal lobe,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b),regex_ci,50,cortical parietal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,39053
29,dissection,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,Parietal lobe,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b),regex_ci,50,cortical parietal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,35290
30,dissection,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,37642
31,dissection,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,Temporal lobe,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b),regex_ci,30,cortical temporal pattern,3,4,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,32790
36,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,28984
36,dissection,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,28984
37,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Central nuclear group - CEN,42699
37,dissection,Amygdaloid complex (AMY) - Central nuclear group - CEN,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Central nuclear group - CEN,42699
38,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,10778
38,dissection,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,10778
39,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,35285
39,dissection,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,35285
40,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,31090
40,dissection,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,31090
41,ROIGroupFine,Amygdaloid complex,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,38331
41,dissection,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,38331
42,ROIGroupFine,Basal forebrain,Basal forebrain,Basal forebrain,exact_ci,0,exact rCMR term,2,3,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP,40815
42,ROIGroupFine,Basal forebrain,Basal forebrain,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b,regex_ci,10,basal forebrain group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP,40815
42,dissection,Basal forebrain (BF) - septal nuclei - SEP,Basal forebrain,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b,regex_ci,10,basal forebrain group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP,40815
43,ROIGroupFine,Basal forebrain,Basal forebrain,Basal forebrain,exact_ci,0,exact rCMR term,2,3,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,38205
43,ROIGroupFine,Basal forebrain,Basal forebrain,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b,regex_ci,10,basal forebrain group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,38205
43,dissection,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,Basal forebrain,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b,regex_ci,10,basal forebrain group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,38205
44,dissection,Basal nuclei (BN) - Body of the Caudate - CaB,Caudatum,Caudate|Body of the Caudate|\bCaB\b,regex_ci,10,caudate pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Body of the Caudate - CaB,32678
45,dissection,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,Pallidum,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b,regex_ci,10,pallidum pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,47376
46,dissection,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,Pallidum,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b,regex_ci,10,pallidum pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,33968
47,dissection,Basal nuclei (BN) - Nucleus Accumbens - NAC,Nucleus accumbens,Accumbens|Nucleus Accumbens|\bNAC\b,regex_ci,10,nucleus accumbens pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Nucleus Accumbens - NAC,30132
48,dissection,Basal nuclei (BN) - Putamen - Pu,Putamen,Putamen|\bPu\b,regex_ci,10,putamen pattern,3,4,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Putamen - Pu,34416
51,ROIGroupFine,Extended amygdala,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,2,3,Cerebral nuclei,Cerebral nuclei,Extended amygdala,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,34933
51,dissection,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,Corpus amygdaloideum,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,regex_ci,10,amygdaloid group or dissection pattern,3,4,Cerebral nuclei,Cerebral nuclei,Extended amygdala,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,34933
