"ROIGroup","ROIGroupCoarse","ROIGroupFine","roi","disease_ontology_term_id","self_reported_ethnicity_ontology_term_id","assay_ontology_term_id","sex_ontology_term_id","development_stage_ontology_term_id","donor_id","suspension_type","dissection","fraction_mitochondrial","fraction_unspliced","cell_cycle_score","total_genes","total_UMIs","sample_id","supercluster_term","cluster_id","subcluster_id","cell_type_ontology_term_id","is_primary_data","tissue_type","tissue_ontology_term_id","cell_type","assay","disease","sex","tissue","self_reported_ethnicity","development_stage","observation_joinid","obs_dataset","dissection_chr","tissue_chr","roi_chr","dissection_blank","tissue_blank"
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000152951973080453,0.744876108901805,0.00275313551544815,2715,6538,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","qjHkCcd}D?","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.0016,0.7128,4e-04,1485,2500,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","mX|?Y5-S+*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000359679884902437,0.78455174894344,0.00152863951083536,3356,11121,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","oX?nUHo5lZ","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00106269925611052,0.739031425535145,0.00060725671777744,2690,6587,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","vs)&}8*y#B","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.00418881907523763,0.654905751570807,0.00241662638956017,2712,6207,"10X419_4","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","29-year-old stage","mJeCm>+-(b","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.0015220700152207,0.753255538643666,0.00118383223406054,2539,5913,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","#jQ1>Pn_&K","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00207756232686981,0.693732686980609,0.00190443213296399,2541,5776,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","?PAg=fH^pb","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00011127183709803,0.776788694781351,0.00100144653388227,3130,8987,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","fEn6Qnyj>X","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.727304469273743,0.00157122905027933,2484,5728,"10X419_1","Oligodendrocyte","48","3018","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","7_Pdy3gVok","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000807265388496468,0.726135216952573,0.00181634712411705,2082,4955,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","ue2T=@uF*C","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000220734309469502,0.747921418585829,0.00191303068206902,3994,13591,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","yO#UX!2yM%","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.749685986003948,0.000538309707518392,2529,5573,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","7_qj8H@qUC","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000881316098707403,0.721210340775558,0.00205640423031727,2832,6808,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","4H>(4#vHnF","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00410818212940774,0.738959260527217,0.0015405682985279,2582,5842,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","znymOY$DPQ","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000854700854700855,0.688319088319088,0.00256410256410256,1804,3510,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","6~U9Eq5XBf","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000150920615756112,0.733776033806218,0.00226380923634168,2779,6626,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","HNEfOH{yqQ","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000999625140572285,0.744970636011496,0.00149943771085843,2957,8003,"10X418_1","Oligodendrocyte","48","3017","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","t*ZoiWSwEg","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000536576641030227,0.733857986049007,0.000357717760686818,2253,5591,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","qh@nPs@^Sg","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000152045005321575,0.760072981602554,0.00106431503725103,2696,6577,"10X419_1","Oligodendrocyte","48","3018","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","EDbCF;{6KZ","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000920174833218311,0.733609385783299,0.00253048079135036,2134,4347,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","H)?Q=Jz)y1","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00120336943441637,0.70878459687124,0.00120336943441637,1477,2493,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Ne!J)Rbxpb","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00114080834419817,0.704856584093872,0.00260756192959583,2665,6136,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","xw;W`yo#5?","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000351246926589392,0.726203020723569,0.00122936424306287,2521,5694,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","N3r&lEY)tT","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000536960801861464,0.72740289958833,0.00125290853767675,2511,5587,"10X419_1","Oligodendrocyte","48","3018","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","t5vaB1z|!H","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000956022944550669,0.706182281708094,0.00159337157425112,1670,3138,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","W|TEvJq$_l","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00033101621979477,0.754054948692486,0.00198609731876862,2601,6042,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","fY+NET(EC1","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000376222723852521,0.696764484574868,0.00150489089541008,1526,2658,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","EAz;ks3s7q","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000337723741979061,0.815602836879433,0.00168861870989531,2400,5922,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","iPMJV_XAas","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000736919675755343,0.729255711127487,0.00191599115696389,2822,6785,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","=QQEceV?P^","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00107976784991227,0.741530570927251,0.00215953569982454,3057,7409,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","<_v)={}uH=","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000768521364893944,0.717184137719029,0.000768521364893944,2737,6506,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","9n>FuQ7iNb","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000383803492611783,0.729802341201305,0.00115141047783535,2386,5211,"10X419_4","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","29-year-old stage","YaAAdq5THj","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000929289515924643,0.769536200050689,0.00194305989693334,3464,11837,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","<^1jO(ah2(","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.720129171151776,0.00201829924650161,2900,7432,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","lYe}RcN^XD","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000174641983932937,0.716206776108977,0.00192106182326231,2501,5726,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","e>UGBqj_nX","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00011258725512272,0.785971628011709,0.000788110785859041,2868,8882,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","WjBBa+`azr","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00414624952883528,0.687523558235959,0.00188465887674331,2370,5306,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","FO&5_m0Mgv","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.737474579404696,0.000739508227029026,2333,5409,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","1Mv;`dOFxX","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000328119873126982,0.754456961609975,0.00164059936563491,3213,9143,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage",")&VsHOMxMV","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000233127404126355,0.768038232894277,0.000349691106189533,3157,8579,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Hh*@VZ0WV`","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000972627483673753,0.743504237876893,0.00222314853411144,2849,7197,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","-2#PcVzrW*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00101677681748856,0.663446873411286,0.00203355363497712,1169,1967,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","MeJhzL;c?I","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.705049551675319,0.00047192071731949,1273,2119,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","J{V-livu3h","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000985574769285906,0.786130275064958,0.00071678165038975,3276,11161,"10X419_2","Oligodendrocyte","48","3018","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","-euA3Spb%9","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000254668930390492,0.768421052631579,0.00212224108658744,3643,11780,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","4}sYF{JgD;","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00189489641232946,0.726250631632137,0.00202122283981809,2929,7916,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","-5x=@+l8$U","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.00407024072566578,0.705081986277474,0.00174438888242819,3331,8599,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","X$6aHT%Tj;","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000129600829445308,0.741057542768274,0.00168481078278901,2949,7716,"10X419_2","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Gio!ScyMZQ","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000207900207900208,0.753846153846154,0.000831600831600832,2244,4810,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","LP@&82CLZ4","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000392208131781932,0.752124460713819,0.00313766505425546,2850,7649,"10X419_1","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","FV!Atzl$=^","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.0002106149957877,0.782434709351306,0.0008424599831508,2058,4748,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","@+&~i^!_q(","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.681746449237244,0.00157811678064177,1157,1901,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","s{r!!QHn&N","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000188893086513034,0.71420476010578,0.00264450321118247,2435,5294,"10X419_1","Oligodendrocyte","48","3016","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","oE@wEYPDY;","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000169434090138936,0.753812267028126,0.00101660454083362,2561,5902,"10X419_2","Oligodendrocyte","48","3019","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","!Ptyr1`YS>","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
