"astro_type","cluster_id_int","supercluster_term","ROIGroupCoarse","anatomy_group","n_cells"
"Astrocyte_Type2",60,"Astrocyte","Cerebellum","Cerebellar cortex",3
"Astrocyte_Type2",63,"Astrocyte","Cerebral nuclei","Caudatum",3
"Astrocyte_Type1",52,"Astrocyte","Cerebral nuclei","Caudatum",2
"Astrocyte_Type1",53,"Astrocyte","Cerebral nuclei","Pallidum",2
"Astrocyte_Type1",54,"Astrocyte","Midbrain","Colliculus superior",2
"Astrocyte_Type1",54,"Astrocyte","Thalamus","Corpus geniculatum mediale",2
"Astrocyte_Type1",54,"Astrocyte","Thalamus","Nucleus subthalamicus",2
"Astrocyte_Type1",55,"Astrocyte","Cerebral cortex","Temporal lobe",2
"Astrocyte_Type1",56,"Astrocyte","Cerebellum","Nucleus dentatus cerebelli",2
"Astrocyte_Type1",56,"Astrocyte","Thalamus","Corpus geniculatum mediale",2
"Astrocyte_Type1",61,"Astrocyte","Midbrain","Colliculus superior",2
"Astrocyte_Type1",61,"Astrocyte","Thalamus","Nucleus medial thalami",2
"Astrocyte_Type2",59,"Astrocyte","Cerebral cortex","Frontal lobe",2
"Astrocyte_Type2",63,"Astrocyte","Cerebellum","Cerebellar cortex",2
"Astrocyte_Type2",63,"Astrocyte","Cerebral cortex","Frontal lobe",2
"Astrocyte_Type1",52,"Astrocyte","Thalamus","Corpus geniculatum mediale",1
"Astrocyte_Type1",52,"Astrocyte","Thalamus","Nucleus medial thalami",1
"Astrocyte_Type1",53,"Astrocyte","Cerebral cortex","Occipital lobe",1
"Astrocyte_Type1",53,"Astrocyte","Cerebral cortex","Parietal lobe",1
"Astrocyte_Type1",53,"Astrocyte","Cerebral nuclei","Caudatum",1
"Astrocyte_Type1",54,"Astrocyte","Midbrain","Nucleus ruber",1
"Astrocyte_Type1",54,"Astrocyte","Thalamus","Corpus geniculatum laterale",1
"Astrocyte_Type1",55,"Astrocyte","Cerebral cortex","Insular lobe",1
"Astrocyte_Type1",57,"Astrocyte","Cerebral nuclei","Caudatum",1
"Astrocyte_Type1",57,"Astrocyte","Thalamus","Corpus geniculatum laterale",1
"Astrocyte_Type1",57,"Astrocyte","Thalamus","Nucleus subthalamicus",1
"Astrocyte_Type1",58,"Astrocyte","Midbrain","Colliculus inferior",1
"Astrocyte_Type1",58,"Astrocyte","Thalamus","Nucleus subthalamicus",1
"Astrocyte_Type2",59,"Astrocyte","Cerebellum","Vermis",1
"Astrocyte_Type2",60,"Astrocyte","Cerebellum","Vermis",1
"Astrocyte_Type2",60,"Astrocyte","Cerebral cortex","Temporal lobe",1
"Astrocyte_Type2",60,"Astrocyte","Cerebral nuclei","Nucleus accumbens",1
"Astrocyte_Type2",62,"Astrocyte","Cerebral cortex","Occipital lobe",1
"Astrocyte_Type2",62,"Astrocyte","Cerebral nuclei","Caudatum",1
"Astrocyte_Type2",64,"Astrocyte","Cerebral nuclei","Nucleus accumbens",1
"Astrocyte_Type2",64,"Astrocyte","Midbrain","Nucleus ruber",1
"Astrocyte_Type2",64,"Astrocyte","Thalamus","Nucleus medial thalami",1
