"anatomy_group","p_cells_Amygdala excitatory","p_cells_CGE interneuron","p_cells_Cerebellar inhibitory","p_cells_Deep-layer corticothalamic and 6b","p_cells_Deep-layer intratelencephalic","p_cells_Deep-layer near-projecting","p_cells_Eccentric medium spiny neuron","p_cells_Hippocampal CA1-3","p_cells_Hippocampal CA4","p_cells_Hippocampal dentate gyrus","p_cells_LAMP5-LHX6 and Chandelier","p_cells_Lower rhombic lip","p_cells_MGE interneuron","p_cells_Mammillary body","p_cells_Medium spiny neuron","p_cells_Midbrain-derived inhibitory","p_cells_Miscellaneous","p_cells_Splatter","p_cells_Thalamic excitatory","p_cells_Upper rhombic lip","p_cells_Upper-layer intratelencephalic","rcmr_value","is_telencephalon","division"
"Nucleus accumbens",0.000348347093043508,0.00344496271469813,0,0.000764033364755906,3.48347093043508e-05,0.000243842965130456,0.0872893641900298,0,0,0,0.000343686613163882,0,0.0010331981842182,0,0.810473420813806,0,3.48347093043508e-05,0.0958222918158432,0,0,0.000167182826702315,32.3,TRUE,"Telencephalon"
"Nucleus dentatus cerebelli",0,0,0.0749716916156856,0,0,0,0,0,0,0,0,0.000428081397017074,0.00021079258010118,0,3.67674093683359e-05,0.00201283397505306,0,0.119223076697178,0,0.803116756325597,0,24.2,FALSE,"Non-telencephalon"
"Nucleus medial thalami",4.05712431028887e-05,0.0030347702941397,3.59040643400833e-05,0,7.6475307442972e-05,0,3.59040643400833e-05,0,0,0,0.00473118889453868,0,0.00130429435041075,0,0,0.573396735150467,0,0.0530787123267237,0.363702073921521,0.000291899693483472,0.000271470689489718,36.6,FALSE,"Non-telencephalon"
"Nucleus ruber",0,0.00346620450606586,0.000577700751010976,0.0023108030040439,0.00288850375505488,0,0,0,0,0,0.000577700751010976,0,0.000577700751010976,0,0,0.868861929520508,0,0.119006354708261,0,0.000577700751010976,0.00115540150202195,31,FALSE,"Non-telencephalon"
"Nucleus subthalamicus",0,0.0478113600833768,0,0.00109649122807018,0.00109649122807018,0,0,0.00109649122807018,0,0.00109649122807018,0.00328947368421053,0,0.00109649122807018,0.00548245614035088,0,0.308667708876151,0,0.60836807364947,0.0099009900990099,0,0.0109974813270801,25.2,FALSE,"Non-telencephalon"
"Occipital lobe",0,0.108038675579754,9.87244797219919e-06,0.0370554108941473,0.150948028005688,0.0115362520594715,0,0,0,0,0.0160952386947333,0,0.144860652872448,0,0,0,0.00201902509216874,0.00049612134846229,0,9.87244797219919e-06,0.528930850557183,35.8,TRUE,"Telencephalon"
"Pallidum",0.00035586961593421,0.0159052722156262,0.000196540880503145,9.82704402515723e-05,0.00106760884780263,0,0.0645897220418852,0,0,0,0.00086577901013795,0.0881485849056604,0.0026889703160636,0,0.547770170751138,0.0130633231146117,0,0.249217385184516,0.000369137851718553,0.0141137312511543,0.00154963357299739,21.9,TRUE,"Telencephalon"
"Parietal lobe",2.2695551751937e-05,0.141045737263735,0,0.0358565909794059,0.154880773627823,0.0145915124524559,5.45218403219431e-05,0,0,0,0.0220876735393618,0,0.186501166705521,0,0,0,0.00304647867802414,0.0010997840254228,0,0,0.440813065336176,35.8,TRUE,"Telencephalon"
"Putamen",3.64577636807758e-05,0.0147710506399504,0,0.0038330761487104,0.0246819473394088,0,0.0499454963305167,0,0,0,0.00303409829348009,0,0.00673601123378495,0,0.847392157477413,0,0,0.0494653011167181,0,0,0.000104403656336928,40.2,TRUE,"Telencephalon"
"Substantia nigra",0.0010210493245366,0.0204065921881083,0.00054086310640395,0.000271220483093893,0.000271220483093893,0,7.85422557335847e-05,0.000235626767200754,0.00489549793974129,0.0348747591522158,0.00484328776974498,0.092464170134073,0.00278339226272521,0.000697947617871119,0.000157084511467169,0.331609693359997,9.63391136801542e-05,0.459779788780579,0.0324975480960665,0.011829241749853,0.000646134903815247,22.8,FALSE,"Non-telencephalon"
"Temporal lobe",0.0771898401552255,0.162259848870913,5.37899153260286e-06,0.0547699534175054,0.158788670564574,0.0114511004481679,0.00332042732816524,3.05603327431371e-05,0,5.37899153260286e-06,0.0263705527503023,8.57713849505528e-06,0.154850879661789,0,0.000190327709117133,0,0.0142746945531325,0.00289281620817144,0,5.38572210742094e-05,0.333537135657559,30.5,TRUE,"Telencephalon"
"Vermis",0,0,0.150887216073827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013097735643529,6.41136655927509e-05,0,0.848917692904145,0,30.1,FALSE,"Non-telencephalon"
