"anatomy_group","p_original_Excitatory_projection","p_original_Inhibitory_interneuron","p_original_Inhibitory_projection_MSN","n_donors_EI","n_cells_EI_total","anatomy_id","rcmr_value","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_cerebral_cortex","is_neocortex","is_telencephalon","cerebral_cortex_scope","division","p_original_Inhibitory_all_with_MSN","EI_ratio_no_MSN","EI_ratio","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"Insular lobe",0.678496277174264,0.320005759448533,0.00149796337720311,3,103522,"insular_lobe",30.3,"Cerebral cortex",104365,104365,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.321503722825736,2.1202627050948,2.1202627050948,2.11038388983765,0.00465924115601936,-0.00987881525715073
"Nucleus accumbens",0.00182483871849544,0.00544613913289276,0.992729022148612,3,24739,"nucleus_accumbens",32.3,"Cerebral nuclei",27406,27406,1,FALSE,FALSE,TRUE,"Outside cerebral cortex","Telencephalon",0.998175161281505,0.335070161442269,0.335070161442269,0.00182817484273263,0.994543904372554,-0.333241986599536
"Nucleus dentatus cerebelli",0.88484377009426,0.115119168160873,3.70617448669483e-05,3,21417,"dentate_nucleus",24.2,"Cerebellum",23155,23155,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.11515622990574,7.6863287342186,7.6863287342186,7.68385497526744,0.000321838817554942,-0.00247375895115987
"Nucleus medial thalami",0.381137538022726,0.618826194614274,3.62673630000363e-05,3,24997,"medial_thalamic_nuclei",36.6,"Thalamus",26418,26418,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.618862461977274,0.615904015278953,0.615904015278953,0.6158679212906,5.86032684615602e-05,-3.60939883539135e-05
"Nucleus ruber",0.00786885245901639,0.992131147540984,0,1,1525,"red_nucleus",31,"Midbrain",1731,1731,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.992131147540984,0.00793126239259749,0.00793126239259749,0.00793126239259749,0,0
"Nucleus subthalamicus",0.0769119769119769,0.923088023088023,0,2,199,"subthalamic_nucleus",25.2,"Thalamus",557,557,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.923088023088023,0.083320306393622,0.083320306393622,0.083320306393622,0,0
"Occipital lobe",0.730419337325026,0.269580662674974,0,3,112060,"occipital_lobe",35.8,"Cerebral cortex",112307,112307,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.269580662674974,2.70946487807129,2.70946487807129,2.70946487807129,0,0
"Pallidum",0.119101776908611,0.065807948722817,0.815090274368572,3,14620,"pallidum",21.9,"Cerebral nuclei",16640,16640,1,FALSE,FALSE,TRUE,"Outside cerebral cortex","Telencephalon",0.880898223091389,1.80983876902573,1.80983876902573,0.135204923550237,0.925294492601117,-1.67463384547549
"Parietal lobe",0.649572286292792,0.350373077003582,5.4636703626075e-05,3,142698,"parietal_lobe",35.8,"Cerebral cortex",143001,143001,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.350427713707208,1.85394463481037,1.85394463481037,1.85365557826721,0.000155914334080681,-0.000289056543159028
"Putamen",0.0299717720019336,0.025711014959684,0.944317213038382,3,29193,"putamen",40.2,"Cerebral nuclei",30723,30723,1,FALSE,FALSE,TRUE,"Outside cerebral cortex","Telencephalon",0.970028227998066,1.16571718576379,1.16571718576379,0.0308978348638256,0.97349457034591,-1.13481935089997
"Substantia nigra",0.239843559118481,0.758294243488595,0.00186219739292365,3,3263,"substantia_nigra",22.8,"Midbrain",8425,8425,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.760156440881519,0.316293524813087,0.316293524813087,0.315518683023123,0.00244975546186801,-0.000774841789964398
"Temporal lobe",0.647223504141185,0.349220799795434,0.0035556960633815,3,357739,"temporal_lobe",30.5,"Cerebral cortex",363740,363740,1,TRUE,TRUE,TRUE,"Neocortex","Telencephalon",0.352776495858815,1.85333606852832,1.85333606852832,1.83465596982462,0.0100791750729462,-0.018680098703703
"Vermis",0.8490736977234,0.1509263022766,0,3,54666,"vermis",30.1,"Cerebellum",54680,54680,1,FALSE,FALSE,FALSE,"Outside cerebral cortex","Non-telencephalon",0.1509263022766,5.6257503491162,5.6257503491162,5.6257503491162,0,0
