"anatomy_id","anatomy_group","rcmr_value","EI_definition","anatomical_analysis_scope","comparison_role","EI_ratio","n_donors_EI","n_cells_EI_total","cerebral_cortex_scope","is_cerebral_cortex","is_neocortex","is_telencephalon","division","MSN_included_in_denominator","p_E","p_I","p_I_interneuron","p_I_MSN","p_I_all_with_MSN","EI_ratio_no_MSN","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"occipital_lobe","Occipital lobe",35.8,"Jorstad-like neocortical E:I","Neocortex","Primary Jorstad-aligned comparison",2.70813465814387,3,112016,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.73032263059709,0.26967736940291,0.26967736940291,NA,NA,NA,NA,NA,NA
"parietal_lobe","Parietal lobe",35.8,"Jorstad-like neocortical E:I","Neocortex","Primary Jorstad-aligned comparison",1.84789367550343,3,142395,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.648863295493914,0.351136704506086,0.351136704506086,NA,NA,NA,NA,NA,NA
"temporal_lobe","Temporal lobe",30.5,"Jorstad-like neocortical E:I","Neocortex","Primary Jorstad-aligned comparison",1.62586582468646,3,327769,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.619173230178506,0.380826769821494,0.380826769821494,NA,NA,NA,NA,NA,NA
"amygdala","Corpus amygdaloideum",22.2,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",0.528459203315875,3,63034,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",NA,0.345746358273367,0.654253641726633,0.654253641726633,NA,NA,NA,NA,NA,NA
"frontal_lobe","Frontal lobe",35.3,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",1.96342128710627,4,273574,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.662552197910246,0.337447802089754,0.337447802089754,NA,NA,NA,NA,NA,NA
"hippocampus","Hippocampus",25.7,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",0.342387381960465,3,72832,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",NA,0.25505855207044,0.74494144792956,0.74494144792956,NA,NA,NA,NA,NA,NA
"insular_lobe","Insular lobe",30.3,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",2.10404183438014,3,102815,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.677839393488814,0.322160606511186,0.322160606511186,NA,NA,NA,NA,NA,NA
"occipital_lobe","Occipital lobe",35.8,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",2.70813465814387,3,112016,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.73032263059709,0.26967736940291,0.26967736940291,NA,NA,NA,NA,NA,NA
"parietal_lobe","Parietal lobe",35.8,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",1.84789367550343,3,142395,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.648863295493914,0.351136704506086,0.351136704506086,NA,NA,NA,NA,NA,NA
"temporal_lobe","Temporal lobe",30.5,"Siletti cerebral-cortex scope with neocortical-class crosswalk","Cerebral cortex (including amygdala and hippocampus)","Exploratory cross-study scope extrapolation",1.62586582468646,3,327769,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",NA,0.619173230178506,0.380826769821494,0.380826769821494,NA,NA,NA,NA,NA,NA
