Variable,slope,Observed,Predicted,Diff.pre,imputation
NeoG_Frahm,0.9021393073960531,584705.9999999997,395273.41936606524,0.3239791974666491,13
Mesencephalon,0.7017915483733586,8087.000000000005,11622.746803329692,-0.4372136519512409,13
Cerebellum,1.031893124557135,137421.0000000001,197017.54778828824,-0.433678606532394,13
Hippocampus,0.7289533913138423,10286.999999999995,18040.694984867107,-0.7537372397071174,13
LGN_Sousa,0.7217492312409372,334.99999999999994,1072.2849789030063,-2.2008506832925563,14
Amygdala,0.682192754193677,3015.0000000000014,3860.2447168098884,-0.28034650640460584,14
Pallidum,1.066321846084027,4710.999999999996,13673.818865324469,-1.9025300074982974,14
NeoW_Frahm,1.3236329878728506,421818.99999999994,453353.5480149467,-0.07475848175389622,14
Total_insula_volume_L,0.9932932581004249,6164.9999999999945,12270.732726016813,-0.9903864924601499,14
Nucleus_subthalamicus,1.0492774236161437,468.9999999999999,964.6124743006883,-1.0567430155665,14
Capsula_interna,1.0472263827076616,7007.999999999998,15713.530280271014,-1.2422274943309102,14
Striatum,0.9776753082541264,28689.00000000002,63102.073740939704,-1.1995215497556437,14
ASG_Sousa,0.771482190743211,15247.50000000001,26362.06781332643,-0.7289436178603977,14
NeoG_Frahm,0.8874452584395448,584705.9999999997,387977.46703284886,0.33645718184378287,14
Mesencephalon,0.7010146022302686,8087.000000000005,11575.653899903424,-0.43139036724414703,14
Cerebellum,1.0142923146654494,137421.0000000001,181980.4833436814,-0.3242552691632377,14
Hippocampus,0.7457582281719062,10286.999999999995,19430.365995117107,-0.8888272572292327,14
LGN_Sousa,0.719529946956133,334.99999999999994,1065.7186903043973,-2.1812498218041716,15
Amygdala,0.6783150240835073,3015.0000000000014,3844.402414780492,-0.2750920115358177,15
Pallidum,1.0310479198264633,4710.999999999996,11573.313600393862,-1.4566575250252325,15
NeoW_Frahm,1.3289922118910762,421818.99999999994,418456.6558920988,0.007971058932625496,15
Total_insula_volume_L,1.0994848366227268,6164.9999999999945,18059.72779084711,-1.9293962353361116,15
Nucleus_subthalamicus,1.0781473920561897,468.9999999999999,1178.6774776274224,-1.5131715940883212,15
Capsula_interna,1.0705649799725336,7007.999999999998,16749.40492512938,-1.3900406571246267,15
Striatum,0.9710019990847217,28689.00000000002,61348.303540160996,-1.138391144346647,15
ASG_Sousa,0.7677056619994228,15247.50000000001,27378.667545700187,-0.7956168254271304,15
NeoG_Frahm,0.8878126193786738,584705.9999999997,370899.52826951514,0.36566491831875275,15
Mesencephalon,0.6996981647026984,8087.000000000005,11480.190181455197,-0.4195857773531829,15
Cerebellum,1.017794782155796,137421.0000000001,184795.97004629206,-0.344743307400557,15
Hippocampus,0.7453238212654089,10286.999999999995,19330.560958930855,-0.8791252025790673,15
LGN_Sousa,0.7130898478775348,334.99999999999994,1039.4466955481844,-2.102825956860252,16
Amygdala,0.6751835731772841,3015.0000000000014,3726.4329911919513,-0.2359645078580264,16
Pallidum,1.0175594247079467,4710.999999999996,11676.510803910005,-1.478563108450438,16
NeoW_Frahm,1.2942245500956429,421818.99999999994,412985.44539413275,0.02094157590309396,16
Total_insula_volume_L,1.1205029700346483,6164.9999999999945,19031.14059666368,-2.086965222492084,16
Nucleus_subthalamicus,1.0616733991881202,468.9999999999999,1001.5981259563711,-1.1356036800775509,16
Capsula_interna,1.0171482019835614,7007.999999999998,14179.110017846084,-1.023274831313654,16
Striatum,0.9857139418278416,28689.00000000002,65949.3629603003,-1.2987682721705276,16
ASG_Sousa,0.7800756519555744,15247.50000000001,26347.377378219433,-0.7279801526951577,16
NeoG_Frahm,0.8787204397184167,584705.9999999997,364530.78227948415,0.3765571376392848,16
Mesencephalon,0.700441700446361,8087.000000000005,11575.382160047384,-0.4313567651845403,16
Cerebellum,1.0291966208089665,137421.0000000001,195194.19396036697,-0.4204102281337412,16
Hippocampus,0.7407789040073129,10286.999999999995,18993.82150960812,-0.846390736814244,16
LGN_Sousa,0.7142675532125585,334.99999999999994,1046.4957797494549,-2.1238679992521043,17
Amygdala,0.6497328147480131,3015.0000000000014,3525.666902531571,-0.1693754237252303,17
Pallidum,1.022391113024267,4710.999999999996,11793.726814853837,-1.5034444523145503,17
NeoW_Frahm,1.299017248939499,421818.99999999994,414061.7445636014,0.01839000954532289,17
Total_insula_volume_L,1.1127497211121606,6164.9999999999945,19564.701276751042,-2.173511967031802,17
Nucleus_subthalamicus,1.051183232116985,468.9999999999999,1083.250882193982,-1.3097033735479369,17
Capsula_interna,1.0541029852691421,7007.999999999998,15073.33397185636,-1.150875281372198,17
Striatum,0.9796795768531789,28689.00000000002,63806.739944626774,-1.2240837932527007,17
ASG_Sousa,0.7741784120528488,15247.50000000001,26946.109322830307,-0.7672477011202027,17
NeoG_Frahm,0.8630013934239505,584705.9999999997,347625.9237564548,0.4054688616903966,17
Mesencephalon,0.6933432928434293,8087.000000000005,11202.774459017362,-0.3852818670727533,17
Cerebellum,1.0173022598482497,137421.0000000001,184256.3457553309,-0.34081651097962307,17
Hippocampus,0.7401643920807155,10286.999999999995,18929.52301110046,-0.8401402752114776,17
LGN_Sousa,0.7214299159563975,334.99999999999994,1071.9415828369188,-2.199825620408713,18
Amygdala,0.6946735289872423,3015.0000000000014,3810.913233643394,-0.26398448877061104,18
Pallidum,1.051225282142594,4710.999999999996,13131.884959039236,-1.7874941539034699,18
NeoW_Frahm,1.313442493379657,421818.99999999994,497963.0457749744,-0.18051355148766288,18
Total_insula_volume_L,1.0673739091044687,6164.9999999999945,19749.985272701106,-2.20356614317942,18
Nucleus_subthalamicus,1.040633914959777,468.9999999999999,956.3859394748251,-1.0392024295838493,18
Capsula_interna,1.0343127366770966,7007.999999999998,14123.931461442937,-1.015401178858867,18
Striatum,0.9605212252300513,28689.00000000002,58688.818911900285,-1.045690644912693,18
ASG_Sousa,0.7710462560839846,15247.50000000001,26391.37066810429,-0.7308654315857861,18
NeoG_Frahm,0.9083637164951257,584705.9999999997,411928.23995283956,0.2954951036027682,18
Mesencephalon,0.6951355884492235,8087.000000000005,11274.151650121452,-0.3941080314234507,18
Cerebellum,1.022176945165315,137421.0000000001,189088.18970800898,-0.3759773957983777,18
Hippocampus,0.7371577801932541,10286.999999999995,18759.386978521678,-0.823601339411071,18
LGN_Sousa,0.7209927522699308,334.99999999999994,1064.735131689473,-2.178313825938726,19
Amygdala,0.6860298336050107,3015.0000000000014,3852.2053991670737,-0.2776800660587303,19
Pallidum,1.0383774708842803,4710.999999999996,12551.585491730042,-1.6643144750010723,19
NeoW_Frahm,1.328960113685933,421818.99999999994,497514.2739310073,-0.1794496547832302,19
Total_insula_volume_L,1.1465555046961409,6164.9999999999945,21272.008133817442,-2.4504473858584688,19
Nucleus_subthalamicus,1.045225056727648,468.9999999999999,1034.6260003980071,-1.2060255872025745,19
Capsula_interna,1.0445149493308858,7007.999999999998,15153.99352809336,-1.1623849212461992,19
Striatum,0.987931177523494,28689.00000000002,66370.69748664628,-1.3134545465734688,19
ASG_Sousa,0.7652044685965552,15247.50000000001,24847.72662658954,-0.6296262749033957,19
NeoG_Frahm,0.8564849384048002,584705.9999999997,330632.0728008683,0.43453278604825585,19
Mesencephalon,0.6996546214679171,8087.000000000005,11506.758413925509,-0.4228710787591817,19
Cerebellum,1.0207957979591216,137421.0000000001,187434.74150030647,-0.36394540499855443,19
Hippocampus,0.7340214215134079,10286.999999999995,18333.096072202527,-0.7821615701567548,19
LGN_Sousa,0.7165080899597893,334.99999999999994,1044.0181644646045,-2.116472132730163,20
Amygdala,0.6852486510903156,3015.0000000000014,4043.1180348366383,-0.3410010065793156,20
Pallidum,1.0365506895831904,4710.999999999996,12510.767183783752,-1.6556500071712505,20
NeoW_Frahm,1.3085042376937992,421818.99999999994,422399.57655500853,-0.0013763641633226398,20
Total_insula_volume_L,0.9347070738062876,6164.9999999999945,10337.591990493864,-0.6768194631782438,20
Nucleus_subthalamicus,1.0689488275983479,468.9999999999999,1005.5683756594482,-1.1440690312568196,20
Capsula_interna,1.0418204088901741,7007.999999999998,15320.643478412603,-1.1861648799104747,20
Striatum,0.9741832417210889,28689.00000000002,62324.00767700578,-1.1724008392417213,20
ASG_Sousa,0.7662001494473051,15247.50000000001,26285.756344284826,-0.7239387666361574,20
NeoG_Frahm,0.8725027433308725,584705.9999999997,345939.9027611433,0.40835239802371875,20
Mesencephalon,0.7034804690051513,8087.000000000005,11718.524042633499,-0.4490570103417203,20
Cerebellum,1.01507378646996,137421.0000000001,183388.39315085314,-0.3345004995659544,20
Hippocampus,0.754285919794915,10286.999999999995,20367.998434253877,-0.9799745731752589,20
LGN_Sousa,0.7269932857903462,334.99999999999994,1095.4325575152068,-2.2699479328812147,21
Amygdala,0.6700457319130405,3015.0000000000014,3532.486935614812,-0.17163745791535998,21
Pallidum,1.058565768549871,4710.999999999996,13488.847141922697,-1.863266215649057,21
NeoW_Frahm,1.252202772496766,421818.99999999994,329819.0191712463,0.21810297978221377,21
Total_insula_volume_L,1.0092080356634223,6164.9999999999945,12066.82290509596,-0.9573110957171079,21
Nucleus_subthalamicus,1.049026728358281,468.9999999999999,1006.7293974840733,-1.146544557535338,21
Capsula_interna,1.0623387017287707,7007.999999999998,16332.726968519246,-1.3305831861471533,21
Striatum,0.9794048568209613,28689.00000000002,63676.69461196943,-1.219550859631545,21
ASG_Sousa,0.7815441479651567,15247.50000000001,26050.92730291047,-0.7085376161935041,21
NeoG_Frahm,0.8552207193488602,584705.9999999997,334743.57948345266,0.42750103559147185,21
Mesencephalon,0.7011776420062722,8087.000000000005,11614.887785901621,-0.4362418431929782,21
Cerebellum,1.0265200599154285,137421.0000000001,192428.37141121662,-0.40028359138135,21
Hippocampus,0.7330920445613063,10286.999999999995,18383.891026983645,-0.7870993513156076,21
LGN_Sousa,0.7164706753145886,334.99999999999994,1054.8765957894552,-2.1488853605655382,22
Amygdala,0.6853443787568998,3015.0000000000014,3976.99912712438,-0.3190710206051005,22
Pallidum,1.0381835215765685,4710.999999999996,12698.827176676437,-1.6955693433828163,22
NeoW_Frahm,1.3046453536017673,421818.99999999994,413631.31808232836,0.01941041517255406,22
Total_insula_volume_L,0.9859711817673543,6164.9999999999945,13902.66528914802,-1.2550957484425034,22
Nucleus_subthalamicus,1.0545432180367016,468.9999999999999,1006.8474587640368,-1.1467962873433626,22
Capsula_interna,1.0306188112368277,7007.999999999998,13154.316386915641,-0.8770428634297438,22
Striatum,0.9771594645567654,28689.00000000002,63108.57494613682,-1.199748159438697,22
ASG_Sousa,0.7735102487885629,15247.50000000001,24978.169894882954,-0.6381813343094238,22
NeoG_Frahm,0.8437102085711762,584705.9999999997,311118.91428528144,0.4679053844405879,22
Mesencephalon,0.7015473382281596,8087.000000000005,11649.529822479773,-0.44052551285764396,22
Cerebellum,1.0281911044913155,137421.0000000001,194105.7098579583,-0.4124894292572328,22
Hippocampus,0.7295438199158596,10286.999999999995,17950.515128873976,-0.7449708495065603,22
LGN_Sousa,0.7169778255475153,334.99999999999994,1050.2471209658572,-2.1350660327339024,23
Amygdala,0.7016517262469696,3015.0000000000014,4201.072496243398,-0.3933905460177101,23
Pallidum,1.0297202743920153,4710.999999999996,11577.78926425329,-1.4576075704209932,23
NeoW_Frahm,1.342331627127624,421818.99999999994,516761.90841496654,-0.22507973423427255,23
Total_insula_volume_L,1.0390626583010922,6164.9999999999945,11228.604150614785,-0.8213469830680933,23
Nucleus_subthalamicus,1.0551920469619764,468.9999999999999,1051.3126336094153,-1.2416047624934234,23
Capsula_interna,1.0317679238740642,7007.999999999998,13579.50013458702,-0.9377140603006598,23
Striatum,0.9713021740318053,28689.00000000002,61744.971790819174,-1.152217637101995,23
ASG_Sousa,0.7788530606757689,15247.50000000001,26584.683736256262,-0.7435437767670927,23
NeoG_Frahm,0.8443442835384862,584705.9999999997,333966.9558317337,0.42882926490965734,23
Mesencephalon,0.6995559558817448,8087.000000000005,11491.679464917728,-0.42100648756247333,23
Cerebellum,1.0242325522609117,137421.0000000001,190210.9124470034,-0.38414734608977713,23
Hippocampus,0.7336909790714811,10286.999999999995,18490.558413705694,-0.7974684955483332,23
LGN_Sousa,0.7163285255287885,334.99999999999994,1050.8797517653761,-2.13695448288172,24
Amygdala,0.6709044053766018,3015.0000000000014,3976.213617289473,-0.3188104866631745,24
Pallidum,1.0365712638637916,4710.999999999996,12362.692809663326,-1.6242183845602494,24
NeoW_Frahm,1.2794928868233841,421818.99999999994,412856.41680621804,0.02124746204837123,24
Total_insula_volume_L,1.0261214386666118,6164.9999999999945,15625.370864077253,-1.5345289317238064,24
