Species,stephan_species,pair_note,stephan_var,wide_var,unit_scale,stephan_value,wide_value,difference,abs_difference,pct_diff,ratio,match_cat
Aotus trivirgatus,Aotus trivirgatus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.22,0.222,0.0020000000000000018,0.0020000000000000018,0.90909090909091,1.009090909090909,close(0.5-2%)
Piliocolobus badius,Piliocolobus badius,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.45,0.454,0.0040000000000000036,0.0040000000000000036,0.8888888888888896,1.008888888888889,close(0.5-2%)
Gorilla gorilla,Gorilla gorilla,NA,Cerebellum,Cerebellum_Vol.mm3,1,69249,68650,-599,599,-0.8649944403529293,0.9913500555964707,close(0.5-2%)
Papio anubis,Papio anubis,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.35,0.347,-0.0030000000000000027,0.0030000000000000027,-0.857142857142858,0.9914285714285714,close(0.5-2%)
Alouatta seniculus,Alouatta seniculus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.6,0.595,-0.0050000000000000044,0.0050000000000000044,-0.8333333333333341,0.9916666666666667,close(0.5-2%)
Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.12,0.121,0.0010000000000000009,0.0010000000000000009,0.8333333333333341,1.0083333333333333,close(0.5-2%)
Propithecus verreauxi,Propithecus verreauxi,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.36,0.357,-0.0030000000000000027,0.0030000000000000027,-0.8333333333333341,0.9916666666666667,close(0.5-2%)
Callithrix jacchus,Callithrix jacchus,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.49,0.486,-0.0040000000000000036,0.0040000000000000036,-0.8163265306122457,0.9918367346938776,close(0.5-2%)
Pithecia pithecia,Pithecia pithecia,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,500,496,-4,4,-0.8,0.992,close(0.5-2%)
Homo sapiens,Homo sapiens,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.52,0.524,0.0040000000000000036,0.0040000000000000036,0.7692307692307699,1.0076923076923077,close(0.5-2%)
Cercopithecus mitis,Cercopithecus mitis,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.26,0.258,-0.0020000000000000018,0.0020000000000000018,-0.7692307692307699,0.9923076923076923,close(0.5-2%)
Pan troglodytes,Pan troglodytes,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.39,0.387,-0.0030000000000000027,0.0030000000000000027,-0.7692307692307699,0.9923076923076923,close(0.5-2%)
Otolemur crassicaudatus,Otolemur crassicaudatus,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.7,0.695,-0.0050000000000000044,0.0050000000000000044,-0.714285714285715,0.9928571428571429,close(0.5-2%)
Ateles geoffroyi,Ateles geoffroyi,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.44,0.443,0.0030000000000000027,0.0030000000000000027,0.6818181818181824,1.0068181818181818,close(0.5-2%)
Pan troglodytes,Pan troglodytes,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.61,0.606,-0.0040000000000000036,0.0040000000000000036,-0.6557377049180334,0.9934426229508196,close(0.5-2%)
Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0.62,0.624,0.0040000000000000036,0.0040000000000000036,0.6451612903225812,1.0064516129032257,close(0.5-2%)
Saguinus midas,Saguinus midas,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.08,0.0795,-5.000000000000004e-4,5.000000000000004e-4,-0.6250000000000006,0.99375,close(0.5-2%)
Saguinus midas,Saguinus midas,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.1,0.0994,-6.000000000000033e-4,6.000000000000033e-4,-0.6000000000000033,0.994,close(0.5-2%)
Cheirogaleus medius,Cheirogaleus medius,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.17,0.171,0.0010000000000000009,0.0010000000000000009,0.5882352941176475,1.0058823529411764,close(0.5-2%)
Propithecus verreauxi,Propithecus verreauxi,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.51,0.507,-0.0030000000000000027,0.0030000000000000027,-0.5882352941176475,0.9941176470588236,close(0.5-2%)
Eulemur fulvus,Eulemur fulvus,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.53,0.527,-0.0030000000000000027,0.0030000000000000027,-0.566037735849057,0.9943396226415094,close(0.5-2%)
Lagothrix lagotricha,Lagothrix lagotricha,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.89,0.885,-0.0050000000000000044,0.0050000000000000044,-0.5617977528089892,0.9943820224719101,close(0.5-2%)
Galagoides demidoff,Galagoides demidoff,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,3203,3185.3,-17.699999999999818,17.699999999999818,-0.5526069310021797,0.9944739306899782,close(0.5-2%)
Indri indri,Indri indri,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.55,0.553,0.0030000000000000027,0.0030000000000000027,0.5454545454545459,1.0054545454545454,close(0.5-2%)
Alouatta seniculus,Alouatta seniculus,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.37,0.372,0.0020000000000000018,0.0020000000000000018,0.540540540540541,1.0054054054054054,close(0.5-2%)
Pithecia monachus,Pithecia monachus,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.19,0.189,-0.0010000000000000009,0.0010000000000000009,-0.5263157894736846,0.9947368421052631,close(0.5-2%)
Lagothrix lagotricha,Lagothrix lagotricha,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.58,0.583,0.0030000000000000027,0.0030000000000000027,0.5172413793103453,1.0051724137931035,close(0.5-2%)
Saguinus oedipus,Saguinus oedipus,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.39,0.392,0.0020000000000000018,0.0020000000000000018,0.5128205128205132,1.005128205128205,close(0.5-2%)
Daubentonia madagascariensis,Daubentonia madagascariensis,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.59,0.593,0.0030000000000000027,0.0030000000000000027,0.508474576271187,1.005084745762712,close(0.5-2%)
Saimiri sciureus,Saimiri sciureus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.99,0.985,-0.0050000000000000044,0.0050000000000000044,-0.5050505050505055,0.9949494949494949,close(0.5-2%)
Aotus trivirgatus,Aotus trivirgatus,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0.2,0.201,0.0010000000000000009,0.0010000000000000009,0.5000000000000004,1.005,close(0.5-2%)
Alouatta seniculus,Alouatta seniculus,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.4,0.402,0.0020000000000000018,0.0020000000000000018,0.5000000000000004,1.005,close(0.5-2%)
Pithecia monachus,Pithecia monachus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.85,0.846,-0.0040000000000000036,0.0040000000000000036,-0.4705882352941181,0.9952941176470588,exact(<0.5%)
Cercopithecus mitis,Cercopithecus mitis,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.43,0.432,0.0020000000000000018,0.0020000000000000018,0.4651162790697679,1.0046511627906978,exact(<0.5%)
Miopithecus talapoin,Miopithecus talapoin,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.87,0.866,-0.0040000000000000036,0.0040000000000000036,-0.4597701149425292,0.9954022988505747,exact(<0.5%)
Alouatta seniculus,Alouatta seniculus,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,870,866,-4,4,-0.45977011494252873,0.9954022988505747,exact(<0.5%)
Cebus albifrons,Cebus albifrons,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.67,0.667,-0.0030000000000000027,0.0030000000000000027,-0.4477611940298511,0.9955223880597015,exact(<0.5%)
Miopithecus talapoin,Miopithecus talapoin,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,910,906,-4,4,-0.43956043956043955,0.9956043956043956,exact(<0.5%)
Cheirogaleus medius,Cheirogaleus medius,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0.47,0.472,0.0020000000000000018,0.0020000000000000018,0.4255319148936174,1.004255319148936,exact(<0.5%)
Microcebus murinus,Microcebus murinus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,7.1,7.07,-0.02999999999999936,0.02999999999999936,-0.42253521126759663,0.9957746478873241,exact(<0.5%)
Cercopithecus mitis,Cercopithecus mitis,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,950,946,-4,4,-0.42105263157894735,0.9957894736842106,exact(<0.5%)
Aotus trivirgatus,Aotus trivirgatus,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.96,0.964,0.0040000000000000036,0.0040000000000000036,0.4166666666666671,1.0041666666666667,exact(<0.5%)
Callimico goeldii,Callimico goeldii,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0.51,0.512,0.0020000000000000018,0.0020000000000000018,0.39215686274509837,1.003921568627451,exact(<0.5%)
Homo sapiens,Homo sapiens,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.51,0.508,-0.0020000000000000018,0.0020000000000000018,-0.39215686274509837,0.996078431372549,exact(<0.5%)
Miopithecus talapoin,Miopithecus talapoin,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,550,548,-2,2,-0.36363636363636365,0.9963636363636363,exact(<0.5%)
Cebus albifrons,Cebus albifrons,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1430,1425,-5,5,-0.34965034965034963,0.9965034965034965,exact(<0.5%)
Galago senegalensis,Galago senegalensis,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.59,0.588,-0.0020000000000000018,0.0020000000000000018,-0.33898305084745795,0.9966101694915254,exact(<0.5%)
Saimiri sciureus,Saimiri sciureus,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.6,0.598,-0.0020000000000000018,0.0020000000000000018,-0.33333333333333365,0.9966666666666667,exact(<0.5%)
Ateles geoffroyi,Ateles geoffroyi,NA,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,0.61,0.608,-0.0020000000000000018,0.0020000000000000018,-0.3278688524590167,0.9967213114754099,exact(<0.5%)
Cheirogaleus major,Cheirogaleus major,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.92,0.917,-0.0030000000000000027,0.0030000000000000027,-0.3260869565217394,0.9967391304347826,exact(<0.5%)
Nasalis larvatus,Nasalis larvatus,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,930,933,3,3,0.3225806451612903,1.0032258064516129,exact(<0.5%)
Avahi occidentalis,Avahi occidentalis,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.65,0.652,0.0020000000000000018,0.0020000000000000018,0.30769230769230793,1.003076923076923,exact(<0.5%)
Lagothrix lagotricha,Lagothrix lagotricha,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1630,1625,-5,5,-0.3067484662576687,0.9969325153374233,exact(<0.5%)
Lophocebus albigena,Lophocebus albigena,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.66,0.658,-0.0020000000000000018,0.0020000000000000018,-0.30303030303030326,0.996969696969697,exact(<0.5%)
Homo sapiens,Homo sapiens,NA,Cerebellum,Cerebellum_Vol.mm3,1,137421,137016.666666667,-404.3333333329938,404.3333333329938,-0.2942296543708704,0.9970577034562913,exact(<0.5%)
Alouatta seniculus,Alouatta seniculus,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,1080,1077,-3,3,-0.2777777777777778,0.9972222222222222,exact(<0.5%)
Nasalis larvatus,Nasalis larvatus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,157,156.6,-0.4000000000000057,0.4000000000000057,-0.2547770700636979,0.9974522292993631,exact(<0.5%)
Ateles geoffroyi,Ateles geoffroyi,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1590,1586,-4,4,-0.25157232704402516,0.9974842767295597,exact(<0.5%)
Hylobates muelleri,Hylobates muelleri,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,162,161.6,-0.4000000000000057,0.4000000000000057,-0.2469135802469171,0.9975308641975308,exact(<0.5%)
Loris tardigradus,Loris tardigradus,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.82,0.822,0.0020000000000000018,0.0020000000000000018,0.2439024390243905,1.002439024390244,exact(<0.5%)
Piliocolobus badius,Piliocolobus badius,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1320,1317,-3,3,-0.22727272727272727,0.9977272727272727,exact(<0.5%)
Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.89,0.888,-0.0020000000000000018,0.0020000000000000018,-0.2247191011235957,0.9977528089887641,exact(<0.5%)
Microcebus murinus,Microcebus murinus,NA,Nucleus.habenularis.medialis,Nucleus_habenularis_medialis_Vol.mm3,1,0.46,0.461,0.0010000000000000009,0.0010000000000000009,0.21739130434782628,1.0021739130434784,exact(<0.5%)
Avahi occidentalis,Avahi occidentalis,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.99,0.988,-0.0020000000000000018,0.0020000000000000018,-0.2020202020202022,0.997979797979798,exact(<0.5%)
Galago senegalensis,Galago senegalensis,NA,Nucleus.habenularis.medialis,Nucleus_habenularis_medialis_Vol.mm3,1,1,0.998,-0.0020000000000000018,0.0020000000000000018,-0.20000000000000018,0.998,exact(<0.5%)
Cercopithecus ascanius,Cercopithecus ascanius,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.51,0.509,-0.0010000000000000009,0.0010000000000000009,-0.19607843137254918,0.9980392156862745,exact(<0.5%)
Saguinus midas,Saguinus midas,NA,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,0.56,0.559,-0.0010000000000000009,0.0010000000000000009,-0.17857142857142871,0.9982142857142857,exact(<0.5%)
Pygathrix nemaeus,Pygathrix nemaeus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,115,114.8,-0.20000000000000284,0.20000000000000284,-0.17391304347826333,0.9982608695652173,exact(<0.5%)
Hylobates lar,Hylobates lar,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1740,1743,3,3,0.1724137931034483,1.0017241379310344,exact(<0.5%)
Lagothrix lagotricha,Lagothrix lagotricha,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,2430,2434,4,4,0.1646090534979424,1.0016460905349793,exact(<0.5%)
Cebus albifrons,Cebus albifrons,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,1980,1977,-3,3,-0.15151515151515152,0.9984848484848485,exact(<0.5%)
Papio anubis,Papio anubis,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,3330,3325,-5,5,-0.15015015015015015,0.9984984984984985,exact(<0.5%)
Microcebus murinus,Microcebus murinus,NA,Nucleus.vestibularis.superior,Nucleus_vestibularis_superior_unilateral_Vol.mm3,1,0.68,0.679,-0.0010000000000000009,0.0010000000000000009,-0.14705882352941188,0.9985294117647059,exact(<0.5%)
Hylobates lar,Hylobates lar,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,2740,2744,4,4,0.145985401459854,1.0014598540145985,exact(<0.5%)
Cheirogaleus medius,Cheirogaleus medius,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.69,0.691,0.0010000000000000009,0.0010000000000000009,0.1449275362318842,1.0014492753623188,exact(<0.5%)
Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.73,0.731,0.0010000000000000009,0.0010000000000000009,0.13698630136986314,1.0013698630136987,exact(<0.5%)
Varecia variegata,Varecia variegata,NA,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,0.74,0.741,0.0010000000000000009,0.0010000000000000009,0.13513513513513525,1.0013513513513514,exact(<0.5%)
Galago senegalensis,Galago senegalensis,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.74,0.741,0.0010000000000000009,0.0010000000000000009,0.13513513513513525,1.0013513513513514,exact(<0.5%)
Tarsius syrichta,Tarsius syrichta,NA,Nucleus.vestibularis.superior,Nucleus_vestibularis_superior_unilateral_Vol.mm3,1,0.76,0.759,-0.0010000000000000009,0.0010000000000000009,-0.13157894736842116,0.9986842105263158,exact(<0.5%)
Cheirogaleus major,Cheirogaleus major,NA,Corpus.pineale,Corpus_pineal_Vol.mm3,1,0.79,0.789,-0.0010000000000000009,0.0010000000000000009,-0.12658227848101278,0.9987341772151899,exact(<0.5%)
Pithecia pithecia,Pithecia pithecia,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,820,819,-1,1,-0.12195121951219512,0.998780487804878,exact(<0.5%)
Cheirogaleus major,Cheirogaleus major,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0.85,0.851,0.0010000000000000009,0.0010000000000000009,0.11764705882352952,1.0011764705882353,exact(<0.5%)
Propithecus verreauxi,Propithecus verreauxi,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0.92,0.921,0.0010000000000000009,0.0010000000000000009,0.10869565217391314,1.001086956521739,exact(<0.5%)
Cercopithecus mitis,Cercopithecus mitis,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,1850,1852,2,2,0.10810810810810811,1.001081081081081,exact(<0.5%)
Erythrocebus patas,Erythrocebus patas,NA,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,1850,1848,-2,2,-0.10810810810810811,0.9989189189189189,exact(<0.5%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,4750,4745,-5,5,-0.10526315789473684,0.9989473684210526,exact(<0.5%)
Lophocebus albigena,Lophocebus albigena,NA,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,3930,3926,-4,4,-0.10178117048346055,0.9989821882951654,exact(<0.5%)
Cercopithecus ascanius,Cercopithecus ascanius,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Cercopithecus mitis,Cercopithecus mitis,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Erythrocebus patas,Erythrocebus patas,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Gorilla gorilla,Gorilla gorilla,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Homo sapiens,Homo sapiens,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Hylobates lar,Hylobates lar,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Lophocebus albigena,Lophocebus albigena,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Macaca mulatta,Macaca mulatta,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Miopithecus talapoin,Miopithecus talapoin,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Nasalis larvatus,Nasalis larvatus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Pan troglodytes,Pan troglodytes,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Papio anubis,Papio anubis,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Piliocolobus badius,Piliocolobus badius,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Pygathrix nemaeus,Pygathrix nemaeus,NA,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Alouatta seniculus,Alouatta seniculus,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Cebus albifrons,Cebus albifrons,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Cercopithecus ascanius,Cercopithecus ascanius,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Homo sapiens,Homo sapiens,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Piliocolobus badius,Piliocolobus badius,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
Saimiri sciureus,Saimiri sciureus,NA,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,0,0,0,0,NA,NA,NA
