stephan_var,wide_var,unit_scale,n_both,n_agree,n_disagree,cor,median_ratio,median_abs_pct,max_abs_pct,mean_abs_diff,max_abs_diff
Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,39,25,14,0.9999986336928625,1,0,1.4814814814814827,0.0011538461538461533,0.0050000000000000044
Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,19,6,13,0.9999999012399451,0.9989189189189189,0.1724137931034483,0.8,3.4210526315789473,5
Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,19,11,8,0.9999999104322377,0.9997762863534676,0.0784313725490196,0.43956043956043955,2.6842105263157894,4
Nucleus.habenularis.medialis,Nucleus_habenularis_medialis_Vol.mm3,1,39,37,2,0.9999999970290043,1,0,0.21739130434782628,7.692307692307701e-5,0.0020000000000000018
Nucleus.vestibularis.superior,Nucleus_vestibularis_superior_unilateral_Vol.mm3,1,26,24,2,0.999999999625897,1,0,0.14705882352941188,7.692307692307701e-5,0.0010000000000000009
Amygdala,Amygdala_Vol.mm3,1,18,18,0,1,1,0,0,0,0
Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,1,45,45,0,0.9999999999999998,1,0,0,0,0
Capsula_interna,Capsula_interna_Vol.mm3,1,25,25,0,1,1,0,0,0,0
Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,1,44,44,0,0.9999999999999998,1,0,0,0,0
Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,1,26,26,0,0.9999999999999999,1,0,0,0,0
Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,1,17,17,0,1,1,0,0,0,0
Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,1,17,17,0,0.9999999999999998,1,0,0,0,0
Diencephalon,Diencephalon_Vol.mm3,1,46,46,0,1,1,0,0,0,0
Epithalamus,Epithalamus_Vol.mm3,1,25,25,0,1,1,0,0,0,0
Hippocampus,Hippocampus_Vol.mm3,1,46,46,0,1,1,0,0,0,0
Hypothalamus,Hypothalamus_Vol.mm3,1,25,25,0,0.9999999999999998,1,0,0,0,0
Interpositus_cerebellar_nuclei,Interpositus_cerebellar_nuclei_Vol.mm3,1,44,44,0,0.9999999999999999,1,0,0,0,0
Lateral_cerebellar_nuclei,Lateral_cerebellar_nuclei_Vol.mm3,1,44,44,0,1,1,0,0,0,0
Lobus_piriformis,Lobus_piriformis_Vol.mm3,1,45,45,0,1,1,0,0,0,0
Medial_cerebellar_nuclei,Medial_cerebellar_nuclei_Vol.mm3,1,44,44,0,0.9999999999999999,1,0,0,0,0
Medulla_oblongata,Medulla_oblongata_Vol.mm3,1,46,46,0,1,1,0,0,0,0
Mesencephalon,Mesencephalon_Vol.mm3,1,46,46,0,1,1,0,0,0,0
NeoW_Frahm,Neocortex_white_matter_Vol.mm3,1,24,24,0,1,1,0,0,0,0
Nucleus.vestibularis.descendens,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,1,26,26,0,1,1,0,0,0,0
Nucleus.vestibularis.medialis,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,1,26,26,0,1,1,0,0,0,0
Nucleus_amygdalae_basalis_parsmagnocellularis,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,1,15,15,0,1,1,0,0,0,0
Nucleus_subthalamicus,Nucleus_subthalamicus_Vol.mm3,1,25,25,0,1,1,0,0,0,0
Palaeocortex,Palaeocortex_Vol.mm3,1,18,18,0,1,1,0,0,0,0
Pallidum,Pallidum_Vol.mm3,1,26,26,0,1,1,0,0,0,0
Pons,Pons_Vol.mm3,1,1,1,0,NA,1,0,0,0,0
Schizocortex,Schizo_cortex_Vol.mm3,1,45,45,0,1,1,0,0,0,0
Septum,Septum_Vol.mm3,1,46,46,0,1,1,0,0,0,0
Striatum,Striatum_Vol.mm3,1,46,46,0,0.9999999999999997,1,0,0,0,0
Subthalamus,Subthalamus_Vol.mm3,1,25,25,0,1,1,0,0,0,0
Telencephalon,Telencephalon_Vol.mm3,1,46,46,0,1,1,0,0,0,0
Thalamus,Thalamus_Vol.mm3,1,25,25,0,0.9999999999999998,1,0,0,0,0
Tractus_opticus,Tractus_opticus_Vol.mm3,1,25,25,0,1,1,0,0,0,0
Ventricles,Ventricles_Vol.mm3,1,45,45,0,0.9999999999999999,1,0,0,0,0
