Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Cheirogaleus_major,Medulla_oblongata,Medulla_oblongata_Vol.mm3,382,381.81,-0.19,-0.04973822,Stephan_collection; Zilles,exact(<0.5%)
Cheirogaleus_medius,Medulla_oblongata,Medulla_oblongata_Vol.mm3,202,202.19,0.18999999999999773,0.094059406,Stephan_collection; Zilles,exact(<0.5%)
Daubentonia_madagascariensis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1517,1517.05,0.049999999999954525,0.003295979,Stephan_collection; Zilles,exact(<0.5%)
Erythrocebus_patas,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2616,2615.835,-0.165,-0.006307339,Stephan_collection; Zilles,exact(<0.5%)
Eulemur_fulvus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,909,909.195,0.19500000000005002,0.021452145214526954,Stephan_collection; Zilles,exact(<0.5%)
Galago_senegalensis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,254,254.15,0.15000000000000568,0.059055118,Stephan_collection; Zilles,exact(<0.5%)
Galagoides_demidoff,Medulla_oblongata,Medulla_oblongata_Vol.mm3,169,169.065,0.065,0.038461538,Stephan_collection; Zilles,exact(<0.5%)
Gorilla_gorilla,Medulla_oblongata,Medulla_oblongata_Vol.mm3,7509,6983,-526,-7.00492742,Stephan_collection,notable(5-100%)
Homo_sapiens,Medulla_oblongata,Medulla_oblongata_Vol.mm3,9622,9660.895,38.89500000000044,0.4042298898357975,Stephan_collection; Zilles,exact(<0.5%)
Hylobates_lar,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2251,2250.08,-0.92,-0.040870724,Stephan_collection; Zilles,exact(<0.5%)
Indri_indri,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1342,1342.005,0.005,0.000372578,Stephan_collection; Zilles,exact(<0.5%)
Lagothrix_lagotricha,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2110,2109.77,-0.23,-0.010900474,Stephan_collection; Zilles,exact(<0.5%)
Lepilemur_ruficaudatus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,449,449.14,0.13999999999998636,0.031180401,Stephan_collection; Zilles,exact(<0.5%)
Lophocebus_albigena,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2708,2689.295,-18.705,-0.690731167,Stephan_collection; Zilles,close(0.5-2%)
Loris_tardigradus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,233,260.115,27.11500000000001,11.637339055793996,Stephan_collection; Zilles,notable(5-100%)
Macaca_mulatta,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1992,2160.57,168.57000000000016,8.462349398,Stephan_collection; Zilles,notable(5-100%)
Microcebus_murinus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,99.1,99.065,-0.035,-0.035317861,Stephan_collection; Zilles,exact(<0.5%)
Miopithecus_talapoin,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1035,1034.895,-0.105,-0.010144928,Stephan_collection; Zilles,exact(<0.5%)
Nasalis_larvatus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2945,2945.09,0.09,0.003056027,Stephan_collection; Zilles,exact(<0.5%)
Nycticebus_coucang,Medulla_oblongata,Medulla_oblongata_Vol.mm3,528,528.0699999999999,0.07,0.013257576,Stephan_collection; Zilles,exact(<0.5%)
Otolemur_crassicaudatus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,540,539.935,-0.065,-0.012037037,Stephan_collection; Zilles,exact(<0.5%)
Pan_troglodytes,Medulla_oblongata,Medulla_oblongata_Vol.mm3,5817,5922.195,105.19499999999971,1.8084063950489893,Stephan_collection; Zilles,close(0.5-2%)
Papio_anubis,Medulla_oblongata,Medulla_oblongata_Vol.mm3,5297,5234.085,-62.915,-1.187747782,Stephan_collection; Zilles,close(0.5-2%)
Perodicticus_potto,Medulla_oblongata,Medulla_oblongata_Vol.mm3,680,679.87,-0.13,-0.019117647,Stephan_collection; Zilles,exact(<0.5%)
Piliocolobus_badius,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2007,2007.055,0.055000000000063665,0.002740409,Stephan_collection; Zilles,exact(<0.5%)
Pithecia_monachus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1009,1008.94,-0.06,-0.005946482,Stephan_collection; Zilles,exact(<0.5%)
Pongo_pygmaeus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,5500,5336.025,-163.975,-2.981363636,Stephan_collection; Zilles,minor(2-5%)
Propithecus_verreauxi,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1223,1222.815,-0.185,-0.015126738,Stephan_collection; Zilles,exact(<0.5%)
Pygathrix_nemaeus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,2206,2206.0550000000003,0.055,0.0024932,Stephan_collection; Zilles,exact(<0.5%)
Saguinus_midas,Medulla_oblongata,Medulla_oblongata_Vol.mm3,428,428.235,0.23500000000001364,0.054906542,Stephan_collection; Zilles,exact(<0.5%)
Saguinus_oedipus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,413,413.155,0.15499999999997272,0.037530266343819056,Stephan_collection; Zilles,exact(<0.5%)
Saimiri_sciureus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,722,721.765,-0.235,-0.032548476,Stephan_collection; Zilles,exact(<0.5%)
Varecia_variegata,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1420,1420,0,0,Stephan_collection; Zilles,exact(<0.5%)
Alouatta_seniculus,Cerebellum,Cerebellum_Vol.mm3,5699,4924.5,-774.5,-13.59010353,Stephan_collection; Zilles,notable(5-100%)
Aotus_trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1873,1560.3333333333333,-312.6666667,-16.69336181,Ashwell; Stephan_collection; Zilles,notable(5-100%)
Ateles_geoffroyi,Cerebellum,Cerebellum_Vol.mm3,12438,12438,0,0,Stephan_collection,exact(<0.5%)
Avahi_laniger,Cerebellum,Cerebellum_Vol.mm3,1489,1489,0,0,Stephan_collection,exact(<0.5%)
Avahi_occidentalis,Cerebellum,Cerebellum_Vol.mm3,1383,1383,0,0,Stephan_collection,exact(<0.5%)
Callimico_goeldii,Cerebellum,Cerebellum_Vol.mm3,1240,1240,0,0,Stephan_collection,exact(<0.5%)
Callithrix_jacchus,Cerebellum,Cerebellum_Vol.mm3,757,756.5,-0.5,-0.066050198,Ashwell; Stephan_collection,exact(<0.5%)
Callithrix_pygmaea,Cerebellum,Cerebellum_Vol.mm3,468,468,0,0,Stephan_collection,exact(<0.5%)
Cebus_albifrons,Cerebellum,Cerebellum_Vol.mm3,7871,7871,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_ascanius,Cerebellum,Cerebellum_Vol.mm3,5828,5828,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_mitis,Cerebellum,Cerebellum_Vol.mm3,6758,6758,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_major,Cerebellum,Cerebellum_Vol.mm3,947,947,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_medius,Cerebellum,Cerebellum_Vol.mm3,437,437,0,0,Stephan_collection,exact(<0.5%)
Daubentonia_madagascariensis,Cerebellum,Cerebellum_Vol.mm3,6461,6461,0,0,Stephan_collection,exact(<0.5%)
Erythrocebus_patas,Cerebellum,Cerebellum_Vol.mm3,8738,8319,-419,-4.795147631,Stephan_collection; Zilles,minor(2-5%)
Eulemur_fulvus,Cerebellum,Cerebellum_Vol.mm3,3328,3328,0,0,Stephan_collection,exact(<0.5%)
Galago_senegalensis,Cerebellum,Cerebellum_Vol.mm3,672,672,0,0,Stephan_collection,exact(<0.5%)
Galagoides_demidoff,Cerebellum,Cerebellum_Vol.mm3,413,413,0,0,Stephan_collection,exact(<0.5%)
Gorilla_gorilla,Cerebellum,Cerebellum_Vol.mm3,69249,64402,-4847,-6.999379052,Stephan_collection,notable(5-100%)
Homo_sapiens,Cerebellum,Cerebellum_Vol.mm3,137421,136803.52777777784,-617.4722222,-0.449328867,RillingInsel; Stephan_collection; Zilles,exact(<0.5%)
Hylobates_lar,Cerebellum,Cerebellum_Vol.mm3,12078,11703.5,-374.5,-3.10067892,RillingInsel; Stephan_collection; Zilles,minor(2-5%)
Indri_indri,Cerebellum,Cerebellum_Vol.mm3,5504,5504,0,0,Stephan_collection,exact(<0.5%)
Lagothrix_lagotricha,Cerebellum,Cerebellum_Vol.mm3,11268,11268,0,0,Stephan_collection,exact(<0.5%)
