review_keep,review_corrected_rcmr_term,review_note,rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_rule_label,assigned_pattern,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,candidate_evidence
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,19398,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,dissection=Head of hippocampus (HiH) - Subicular cortex - Sub -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,39147,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,dissection=Head of hippocampus (HiH) - Uncal CA1 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,37911,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,dissection=Head of hippocampus (HiH) - Uncal CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,12461,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,dissection=Head of hippocampus (HiH) - Uncal CA2-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,35350,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,dissection=Head of hippocampus (HiH) - Uncal DG-CA4 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,36886,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,dissection=Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3 -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,56367,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,dissection=Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Hippocampus,,Hippocampus,assigned_single_candidate,FALSE,1,Hippocampus,ROIGroup,Hippocampus,exact rCMR term,Hippocampus,22170,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,dissection=Tail of Hippocampus (HiT) - Subicular cortex - Sub -> Hippocampus || ROIGroup=Hippocampus -> Hippocampus || ROIGroupCoarse=Hippocampus -> Hippocampus || ROIGroupFine=Hippocampus -> Hippocampus
TRUE,Insular lobe,,Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),34949,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,dissection=Cerebral cortex (Cx) - Frontal agranular insular cortex - FI -> Insular lobe
TRUE,Insular lobe,,Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),39696,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,dissection=Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg -> Insular lobe
