dissection,n_unmatched_roi_contexts,n_obs_rows_total,roi_contexts,match_statuses
Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN,1,23349,Hindbrain / Pons / Pons,unmatched
Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN,1,47416,Hindbrain / Pons / Pons,unmatched
Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg,1,26095,Hindbrain / Pons / Pons,unmatched
Spinal cord - SpC,1,24190,Spinal cord / Spinal cord / Spinal cord,unmatched
Thalamus (THM) - Anterior nuclear complex - ANC,1,31307,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA,1,8573,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN,1,27111,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf,1,24354,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM,1,12944,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,1,46453,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL,1,17660,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP,1,26172,Thalamus / Thalamus / Thalamus,unmatched
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL,1,6877,Thalamus / Thalamus / Thalamus,unmatched
