rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
Vermis,assigned_single_candidate,FALSE,1,Vermis,dissection,Cerebellum (CB) - Cerebellar Vermis - CBV,regex_ci,vermis pattern,Vermis|Cerebellar Vermis|\bCBV\b,dissection=Cerebellum (CB) - Cerebellar Vermis - CBV -> Vermis,71874,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Cerebellar Vermis - CBV
NA,excluded_ambiguous_anatomy,FALSE,1,Substantia nigra,dissection,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",regex_ci,substantia nigra pattern,Substantia Nigra|\bSN\b,"dissection=Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN -> Substantia nigra",49110,Midbrain,Midbrain,Midbrain,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN"
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,35359,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,34078,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30"
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,8673,Cerebral cortex,Cerebral cortex,Cerebral cortex,Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,36941,Cerebral cortex,Cerebral cortex,Cerebral cortex,Paleocortex (PalCx) - Piriform cortex - Pir
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,17535,Cerebral cortex,Cerebral cortex,Cerebral cortex,Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,2359,Cerebral cortex,Cerebral cortex,Cerebral cortex,NA
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,3454,Cerebral nuclei,Cerebral nuclei,Basal nuclei,NA
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,40165,Cerebral nuclei,Cerebral nuclei,Claustrum,Claustrum - Cla
