Species,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,vestibular_check,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale
Macaca_mulatta,Macaca mulatta,_0202,"7,800","93,000",834,"1,038","87,896","1,992","8,965","1,380","4,480","71,080",84.3,0,"1,220",271,"4,032",639,"1,353","63,482",NA,,,,,NA,,NA,,,NA,NA,,NA,"89,768.34",NA,NA,5343,158,639.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2.83,0.36,7.66,12.4,0.27
Microcebus_murinus,Microcebus murinus,_0114,54,"1,780",11.3,26.6,"1,680",99.1,234,85.2,134,"1,129",43,1.62,103,15.3,85.7,40.1,100,740,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,66.8,36.4,12.1,0.264,24.3,NA,"1,718.15",674.2,65.31,136,7.1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,2,4.02,0.679,0.76,1.5,1.08,0,1,0.274,0.0556,0.461,0.14,0.0233
Miopithecus_talapoin,Miopithecus talapoin,_0232,"1,200","40,000",262,572,"37,776","1,035","3,374",826,"2,375","30,166",27.8,0,706,133,"1,908",259,705,"26,427",NA,,,,,NA,,NA,,,NA,NA,,NA,"38,610.04",NA,NA,2339,109,273.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,3,0.866,0.192,2.07,2.03,0.22
Nasalis_larvatus,Nasalis larvatus,_0243,"14,000","97,000",591,241,"92,797","2,945","12,113","1,556","5,310","70,873",30.3,0,"1,268",333,"3,735",855,"1,966","62,685",29.6,"3,036",671,587,550,37.2,564,304,,,NA,NA,,NA,,NA,NA,NA,NA,967.4,NA,NA,NA,NA,NA,NA,NA,NA,1,86.2,12.6,14.8,33.6,25.2,0,NA,NA,NA,NA,NA,NA
Nycticebus_coucang,Nycticebus coucang,_0138,800,"12,500",142,169,"11,755",528,"1,310",345,"1,077","8,495",159,4.28,510,92,760,212,566,"6,192",NA,,,,,NA,,NA,,,NA,NA,,NA,"12,065.64",4952,1240,696,35.9,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,1.34,0.175,2.04,1.83,0.154
Otolemur_crassicaudatus,Otolemur crassicaudatus,_0141,850,"10,300",147,128,"9,668",540,"1,414",384,785,"6,545",166,2.52,386,70,556,181,461,"4,723",5.71,437,127,67.4,63.3,4.1,74.6,33.9,,,NA,NA,,NA,"9,942.08",NA,NA,479,23.2,54.5,NA,NA,NA,NA,NA,NA,NA,NA,1,19.9,2.85,2.87,7.16,7.01,-0.01,1,0.695,0.0948,1.64,1.02,0.102
Pan_paniscus,NA,NA,26733.33333,352000,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,"338,803.09",NA,NA,11606.5,275.1,NA,1.690333333,0.144666667,0.351,0.260666667,0.934333333,339.7666667,352,26.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,Pan troglodytes,_0277,"46,000","405,000","1,899","6,924","382,103","5,817","43,663","3,739","15,392","313,493",257,0,"2,750",851,"12,246","2,018","3,779","291,592",53.6,"7,987","1,739","2,078","1,951",127,"2,510",630,,,NA,NA,,NA,"319,670.71",172597,118996,8268.3,250.7,3990.6,1.600666667,0.065666667,0.164666667,0.667333333,0.703666667,330.79,342.7,46.50333333,1,118,23.5,9.65,54.7,29.8,-0.35,3,2.7,0.606,9.4,38,0.387
Papio_anubis,Papio anubis,_0212,"25,000","201,000","1,081","1,977","190,957","5,297","18,683","2,711","9,280","154,987",287,0,"2,111",559,"7,182","1,309","3,398","140,142",65.4,"4,788","1,076","1,241","1,147",94.7,"1,257",601,,,NA,NA,,NA,"194,015.44",85726,54416,10001,395,2177.7,NA,NA,NA,NA,NA,NA,NA,NA,1,107,14.4,10.5,48.1,33.9,-0.1,1,1.86,0.405,12.7,51.1,0.347
Perodicticus_potto,Perodicticus potto,_0139,"1,150","14,000",127,174,"13,212",680,"1,699",391,"1,024","9,418",310,2.74,661,114,712,328,607,"6,683",10.4,587,160,116,107,8.19,107,19.5,,,NA,NA,,NA,"13,513.51",NA,NA,495,24.3,77.7,0.031,NA,0.004,0.016,0.01,11.1,11.5,1.25,2,17.3,2.86,2.66,7.87,3.88,-0.03,5,2.27,0.216,3.77,1.76,0.264
