Species,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass
Otolemur_crassicaudatus,850,10300,147,128,9668,540,1414,384,785,6545,166,2.52,386,70,556,181,461,4723,5.71,437,127,67.4,63.3,4.1,74.6,33.9,,,,,,,9942.08,,,479,23.2,54.5,,,,,,,,
Pan_paniscus,26733.33333,352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338803.09,,,11606.5,275.1,,1.690333333,0.144666667,0.351,0.260666667,0.934333333,339.7666667,352,26.73333333
Pan_troglodytes,46000,405000,1899,6924,382103,5817,43663,3739,15392,313493,257,0,2750,851,12246,2018,3779,291592,53.6,7987,1739,2078,1951,127,2510,630,,,,,,,319670.71,172597,118996,8268.3,250.7,3990.6,1.600666667,0.065666667,0.164666667,0.667333333,0.703666667,330.79,342.7,46.50333333
Papio_anubis,25000,201000,1081,1977,190957,5297,18683,2711,9280,154987,287,0,2111,559,7182,1309,3398,140142,65.4,4788,1076,1241,1147,94.7,1257,601,,,,,,,194015.44,85726,54416,10001,395,2177.7,,,,,,,,
Perodicticus_potto,1150,14000,127,174,13212,680,1699,391,1024,9418,310,2.74,661,114,712,328,607,6683,10.4,587,160,116,107,8.19,107,19.5,,,,,,,13513.51,,,495,24.3,77.7,0.031,,0.004,0.016,0.01,11.1,11.5,1.25
Piliocolobus_badius,7000,78000,455,1016,73818,2007,8648,1333,3945,57885,51.3,0,937,288,3217,814,1671,50906,22.3,2164,484,553,521,31.9,460,201,458,479,114,0,365,45.5,75289.58,36575,14331,3053,128,646.4,0.241,,0.053,0.072,0.116,72.394,75,7.05
Pithecia_monachus,1500,35000,631,286,32867,1009,3908,745,2285,24920,34.8,0.846,675,140,1918,289,834,21028,,,,,,,,,,,,,,,33783.78,,,1679,76.3,,,,,,,,,
Pongo_pygmaeus,57050,336000,,,,5500,42900,4000,13500,238300,,,3800,600,11500,,2700,219800,,,,,1800,,,,2400,1400,,,,,371299.87,138300,81500,8233.7,259.1,4300,1.505,0.06,0.188,0.199,1.057,347.97,360.5,57.05
Propithecus_verreauxi,3480,26700,231,347,25194,1223,3957,780,2195,17040,147,3.4,664,159,1411,443,1043,13170,14.6,1341,328,283,263,20,324,125,292,251,78.7,0.921,172,18.8,25772.2,9835,3335,1106,64.5,169.3,,,,,,,,
Pygathrix_nemaeus,7500,77000,911,883,72530,2206,8063,1345,4727,56189,10.7,0,942,290,3.166,723,2295,48763,,,,,,,,,,,,,,,,,,,,708.5,,,,,,,,
Saguinus_midas,340,10300,251,122,9569,428,1061,332,692,7055,17.3,0.29,243,40.9,471,120,280,5883,,,,,,,,,,,,,,,9942.08,,,841,36,45.7,,,,,,,,
Saguinus_oedipus,380,10000,62.6,52.8,9537,413,984,333,754,7052,19.1,0.406,256,60.5,453,107,262,5894,4.93,410,152,77.6,73.2,4.45,62.7,50.5,,,,,,,9652.51,,,807,34.2,50.9,0.026,,0.006,0.007,0.013,8.9382,9.3,0.418
Saimiri_sciureus,660,24000,299,295,22572,722,2260,526,1430,17635,26.8,0.985,413,90.6,1042,168,352,15541,8.86,731,207,180,169,11.5,132,117,186,227,45.9,0,181,15,23166.02,11832,3710,1884,62.9,135.2,,,,,,,,
Symphalangus_syndactylus,1900,38700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133880.31,,,5468.9,,,0.416,,0.071,0.198,0.147,133.88,38.7,1.9
Tarsius_syrichta,125,3600,24.1,58,3393,207,428,197,303,2258,18.8,0.82,92.7,23.3,133,69,153,1768,2.53,175,42.5,17.1,16.1,1.09,16.7,15.5,39.1,49.8,11.1,0.0752,38.7,5.35,3474.9,1631,137,349,20.8,16.5,,,,,,,,
Varecia_variegata,3000,31500,299,393,29713,1420,4286,1018,2529,20461,369,5.27,985,206,1591,608,1404,15293,,,,,,,,,,,,,,,30405.41,,,1745,68.9,168.8,0.1,,0.012,0.044,0.044,30.405,31.5,3.55
Alouatta_caraya,6400,55800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,,0.042,0.089,0.141,53.861,55.8,6.4
Cercocebus_agilis,5660,95300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,0.105,0.158,0.116,91.988,95.3,5.66
Colobus_angolensis,9680,74400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,0.032,0.038,0.152,71.815,74.4,9.68
Hylobates_muelleri,5700,101800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539,,0.142,0.111,0.286,98.263,101.8,5.7
Leontopithecus_rosalia,598,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,0.012,0.004,0.021,12.259,12.7,0.598
Macaca_maura,6050,83300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492,,0.071,0.181,0.24,80.405,83.3,6.05
Pithecia_pithecia,1580,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,,0.104,0.04,0.135,28.958,30,1.58
Pongo_abelii,35600,345900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658,0.0195,0.3215,0.2185,0.5995,333.88,345.9,35.6
Saguinus_geoffroyi,482,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,0.006,0.009,0.009,10.135,10.5,0.482
Trachypithecus_francoisi,7700,102100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,0.16,0.249,0.217,98.552,102.1,7.7
