genes,subclass,p_val
ADAMTS16,L4IT,8.33745972782021e-12
ADAMTS16,L5IT,1.45487291598647e-14
ADAMTS17,L23IT,3.9297463468087e-9
ADAMTS17,L4IT,1.4235531532550802e-17
ADAMTS17,Vip,1.99468438734849e-8
ADAMTS18,L5ET,3.90898576792831e-9
ADAMTS19,L23IT,4.7133035732899705e-9
ADAMTS19,L4IT,4.6571546133436196e-11
ADAMTS19,L56NP,5.928692117469451e-9
ADAMTS19,L5ET,4.9291353255901306e-15
ADAMTS19,L5IT,3.1222346314228397e-12
ADAMTS3,L23IT,4.66856974094688e-9
ADAMTS3,L4IT,6.29428942610495e-16
ADAMTS3,L5IT,2.8460664402986397e-11
ADAMTS3,L6IT,1.64279178250198e-10
ADAMTS6,L4IT,1.2153064660438102e-9
ADAMTS6,L6CT,5.38636628568626e-14
ADAMTS6,L6ITCar3,8.43831716779058e-10
ADAMTS8,L6IT,1.78004785743882e-8
ADAMTS9-AS2,L23IT,3.62646900388432e-8
ADAMTS9-AS2,L4IT,2.2941314548308604e-9
ADAMTS9-AS2,L56NP,3.8946874005105303e-08
ADAMTS9-AS2,Pax6,3.40632717313694e-8
ADAMTSL1,L6b,5.5101624763662095e-11
ADAMTSL1,L6CT,3.09485012482512e-12
ADAMTSL2,L4IT,4.05718546458294e-8
ADAMTSL2,L6CT,1.64511248359619e-8
ADAMTSL3,L5ET,1.2421706740843299e-11
ADAMTSL3,Lamp5Lhx6,1.3005873859823299e-12
ADARB2,L4IT,2.56876492376214e-16
ADCY2,L5ET,1.10467894363751e-13
ADCY2,L6CT,2.27316497839183e-9
ADCY8,L4IT,8.86808888948143e-13
ADCY8,L56NP,1.5405635149622302e-10
ADCY8,L5IT,1.2397560866018e-8
ADCYAP1,L5ET,1.2869243976663798e-11
ADCYAP1,L5IT,2.71424719440432e-8
ADGRF2,L5ET,2.86087629343449e-8
ADGRF2,L6CT,5.49055311491647e-12
ADGRF4,L6CT,2.40261287540638e-8
ADGRG6,L56NP,4.16833293567391e-14
ADGRL2,L4IT,1.6080351320184e-16
ADGRL2,L56NP,2.8303914850694798e-11
ADGRL2,Sst,1.4580210970361597e-11
ADGRL3,L4IT,1.76547477882172e-15
ADGRL4,L6IT,5.00362147980339e-15
ADGRV1,L56NP,2.8046058136046203e-9
ADGRV1,L5ET,6.737831122381751e-9
ADORA2A-AS1,Sst,8.30723615574483e-10
ADRA1A,L5ET,1.33118300299948e-12
ADRA1B,L4IT,1.62751121649419e-12
ADRA1D,L5IT,2.15057740844045e-8
ADRA2A,L6CT,2.9643360434305196e-19
ADRA2A,L6ITCar3,2.49037692816123e-8
AEN,L4IT,6.74751859553029e-10
AEN,L5IT,2.15169980616372e-8
AEN,L6IT,9.44409238376798e-10
AFAP1-AS1,L5ET,2.30518550501204e-8
AFAP1-AS1,L5IT,2.40975054387353e-8
AFF1,L5ET,2.09492136223337e-10
AFF1,Sst,1.86022014618609e-13
AFF2,L4IT,8.90918209476956e-10
AFF2,L5ET,1.10330763559745e-11
AFF2,L5IT,1.2575010356193999e-13
AFF2,L6IT,3.45970085593409e-8
AFF3,L56NP,7.5028638270754e-9
AGAP1,L6CT,1.33842452839944e-8
AGBL1,L5ET,2.60620134227093e-8
AGBL1,L5IT,4.23667469868488e-12
AGPAT4,Chandelier,2.46014124632522e-9
AGPAT4,Pvalb,3.4177315153393e-13
AGPAT9,L56NP,1.78495156650046e-11
AGPAT9,L5ET,3.8956286566679595e-12
AGPAT9,L5IT,2.2086718229197302e-9
AGPAT9,L6CT,1.22046543335958e-8
AGPAT9,Pvalb,8.111429791010871e-9
AGPAT9,Sst,5.14219741107528e-10
AHI1,L6ITCar3,4.4667666112823793e-11
AHRR,L4IT,1.89167902995878e-12
AHRR,L56NP,3.58839865634677e-8
AHRR,L5IT,1.5030716352392e-15
AHRR,L6b,2.03602469815937e-9
AHRR,L6CT,1.05757855616254e-10
AIFM3,L23IT,7.3359446558062405e-9
AIFM3,L4IT,1.33502744464033e-10
AIFM3,L5IT,3.02023770750714e-8
AIFM3,L6CT,4.432960045489681e-9
AIFM3,Pvalb,5.4526560505741e-9
AIM1,Pvalb,7.698023799851591e-10
AK4,L23IT,1.8983303352253e-9
AK4,L4IT,2.0718658468555697e-11
AK4,L5ET,1.57353833446571e-9
AK4,L5IT,2.11364071218693e-9
AK4,L6IT,1.49170601748017e-8
AK5,L4IT,1.58461421567003e-12
AK5,L56NP,2.14984674028175e-8
AK5,L5IT,1.6387326701280297e-11
AK5,L6CT,2.06500898268491e-9
AK7,L56NP,3.63424409166365e-8
AKAP1,L4IT,1.5539813662739601e-9
AKAP12,L56NP,1.8484614880804003e-10
AKAP7,L4IT,5.85728595984835e-13
ALCAM,L56NP,7.637853095954031e-9
ALCAM,L6ITCar3,6.4287485038106995e-12
ALCAM,Pvalb,7.0976691778418e-9
ALDH1A1,L23IT,3.95036241047585e-10
ALDH1A1,L6IT,9.5216414219398e-9
ALDH1L1,L4IT,7.5376547891752e-14
ALDH1L1-AS2,L4IT,5.22231672221218e-10
ALDH7A1,L5ET,6.77619406661208e-10
AMZ1,L6IT,9.23561748163732e-10
ANGPT1,L5ET,5.71166585181611e-9
ANGPT1,L5IT,2.85632362364448e-10
ANK1,L5ET,5.00666783488174e-12
ANK1,L5IT,2.21000423649812e-10
ANK3,L6IT,2.21172380826615e-9
ANKDD1A,L23IT,1.1937345121052801e-9
ANKDD1A,L5ET,5.68939902481864e-12
ANKFN1,L4IT,4.01950401846445e-12
ANKRD10,L4IT,1.09221382966717e-8
ANKRD18A,L6CT,3.24271834954734e-8
ANKRD18B,L6CT,3.74729554588857e-10
ANKRD19P,L23IT,4.15745017012218e-14
ANKRD19P,L4IT,4.23570562961447e-9
ANKRD19P,L5ET,1.67394594178393e-10
ANKRD19P,L5IT,1.55500158085932e-8
ANKRD19P,L6IT,8.5399609862436e-11
ANKRD20A3,Endo,4.536914457795091e-9
ANKRD20A5P,L6IT,1.86377646106229e-9
ANKRD28,L4IT,1.61281627338138e-11
ANKRD28,L56NP,1.57914742114275e-8
ANKRD28,L5ET,9.03501128507776e-9
ANKRD28,L6CT,2.14153688940706e-8
ANKRD30B,L4IT,3.60385031047228e-10
ANKRD30B,L5ET,3.49912534613306e-8
ANKRD30BL,L23IT,8.204086784598431e-9
ANKRD30BL,Pvalb,1.16255602734728e-13
ANKRD34B,L56NP,2.01937129796028e-8
ANKRD34C,L4IT,5.99039494363297e-10
ANKRD34C-AS1,L4IT,1.86110628670403e-12
ANKRD34C-AS1,L6ITCar3,3.23832024304743e-10
ANKRD36BP2,L4IT,3.91450369846952e-8
ANKRD44,L4IT,1.48038022514224e-8
ANKRD44,L56NP,3.66729642263028e-14
ANKRD55,L4IT,1.63633063469985e-8
ANKRD6,L23IT,4.278335345920971e-15
ANKRD6,L4IT,3.87118217610782e-16
ANKRD6,L5IT,1.13845106016798e-12
ANKRD6,L6b,6.0904679011244905e-9
ANKRD6,L6CT,4.48848286095478e-12
ANKRD6,L6IT,1.53514982371454e-13
ANKRD9,L6CT,7.57304704615231e-9
ANO3,L23IT,9.773710966068861e-14
ANO3,L4IT,1.70491383950565e-15
ANO3,L5ET,2.92015509136504e-10
ANO3,L5IT,2.19348632736419e-10
ANO3,L6IT,2.4425780857787703e-10
ANO6,L56NP,2.4773467958898902e-9
ANP32B,L6ITCar3,4.02176660969995e-8
ANTXR1,L56NP,1.15348178928702e-9
ANTXR2,L4IT,1.11617294415273e-10
ANXA1,L6ITCar3,8.478592312199519e-13
ANXA2,Chandelier,7.215278057576211e-9
ANXA3,L5ET,2.18105466747461e-10
ANXA4,L4IT,1.1287234358761901e-9
AP1S2,L4IT,3.5705772470477295e-11
AP1S2,L5ET,2.57647329550014e-10
AP1S2,L6IT,7.84700313192906e-10
APBA1,L56NP,4.73673911563905e-10
APBA1,L6b,2.4218110300973403e-9
APBB2,L6ITCar3,4.9848165743162206e-9
AR,L5ET,3.38122648382352e-8
AR,L6CT,1.78824104556602e-12
ARAP2,L56NP,3.86085156186864e-12
ARAP2,Sst,1.70171717856054e-10
ARFGEF3,L4IT,1.9121344668734102e-10
ARHGAP10,L4IT,2.83837679054216e-12
ARHGAP10,L56NP,3.80148961504785e-14
ARHGAP10,L5ET,1.2165414791219e-10
ARHGAP10,Sst,7.47485143794201e-10
ARHGAP12,L4IT,3.4583679691567494e-11
ARHGAP15,L4IT,8.00706422720722e-11
ARHGAP17,L6IT,6.714210023460891e-9
ARHGAP18,Pvalb,2.7469313391633204e-9
ARHGAP22,L4IT,2.6200050653983803e-9
ARHGAP22,L5IT,4.5708320797172306e-9
ARHGAP23,L4IT,4.46904109801474e-10
ARHGAP23,L5IT,5.139635807423409e-11
ARHGAP23,L6IT,1.86901607808651e-8
ARHGAP24,L23IT,2.58663833023927e-9
ARHGAP24,L4IT,5.40110879238456e-10
ARHGAP25,L6ITCar3,2.1528793956802597e-12
ARHGAP26,L5ET,7.07989647360451e-12
ARHGAP27,L4IT,4.69575430715106e-10
ARHGAP28,L23IT,7.627930459258671e-9
ARHGAP28,L4IT,1.7951056901925603e-9
ARHGAP28,Pvalb,8.06575768322625e-12
ARHGAP29,L4IT,8.264301685971499e-12
ARHGAP42,L56NP,1.9397453998942e-8
ARHGEF26,L23IT,3.2312460634972196e-11
ARHGEF26,L4IT,4.780939756294881e-9
ARHGEF26-AS1,L23IT,3.69165302552577e-13
ARHGEF26-AS1,L4IT,6.57048333783393e-14
ARHGEF26-AS1,L5IT,1.26288583671923e-8
ARHGEF28,L23IT,4.53185974201197e-9
ARHGEF28,L4IT,1.0975356222826602e-9
ARHGEF28,L56NP,1.20774393751601e-13
ARHGEF28,L5IT,2.64627386250223e-13
ARHGEF3,L4IT,6.06676331913322e-10
ARHGEF3,Pvalb,5.525511952392961e-9
ARHGEF4,L23IT,1.74734340761686e-10
ARHGEF4,L4IT,2.67480417018742e-9
ARHGEF6,L5ET,3.1966516479755402e-09
ARHGEF6,L6CT,7.90906925289434e-10
ARL15,L56NP,3.56946736283157e-8
ARL15,L5ET,1.8852482103547e-9
ARL15,L6CT,5.24283222636589e-11
ARL4C,L6IT,2.60731079524216e-9
ARMC12,VLMC,6.500413420587671e-9
ARMC2,L4IT,4.94663077075771e-13
ARMC2,L5IT,4.84023348640744e-10
ARMC3,L5IT,2.09524853511036e-8
ARMC4P1,L4IT,8.73391325872963e-10
ARNTL2,L56NP,1.9943200211076798e-08
ARSD,L4IT,2.60852394618338e-10
ARSJ,L4IT,1.83584718199346e-8
ART3,L6CT,5.215272888118499e-13
ASB2,L4IT,2.1850231194434e-8
ASIC2,Pvalb,8.62011448947005e-11
ASPM,L6CT,4.05269226360437e-8
ASPM,L6IT,7.604516661460989e-11
ASTN2,L4IT,3.87704810269148e-10
ASXL3,L4IT,8.48639822901706e-15
ASXL3,L56NP,3.10783609407917e-8
ASXL3,L5ET,2.6663421728086604e-9
ASXL3,L6b,1.9766676518714e-8
ATP10A,L6b,1.05973722362576e-16
ATP10A,L6ITCar3,1.19285238720985e-8
ATP10D,L4IT,8.75069482848028e-11
ATP11A,L6IT,3.0851867256518796e-11
ATP11C,L4IT,2.03107767641e-10
ATP11C,Sst,1.3463458573854802e-9
ATP2B4,L23IT,6.33845382913112e-10
ATP2B4,L4IT,4.636840829546609e-11
ATP2B4,L56NP,3.02966687747791e-8
ATP2B4,L5ET,8.411152076168901e-10
ATP2B4,L5IT,1.00526658101484e-12
ATP2B4,L6b,4.7699088667437894e-11
ATP2B4,L6CT,6.16764151887232e-9
ATP2B4,L6IT,2.6603277434853304e-9
ATP2B4,L6ITCar3,1.12475981843184e-8
ATP6V1C2,L5ET,6.20986858700929e-10
ATP8A1,L4IT,3.54486153745249e-12
ATP8A1,L5ET,1.9968453867679002e-10
ATP8B4,L4IT,1.64209078722889e-8
ATP8B4,L56NP,2.2389510819741102e-9
ATP8B4,Pvalb,1.94690808326346e-11
ATP9A,L4IT,6.939242782440769e-11
ATXN8OS,L4IT,5.7658172762764694e-11
B3GALTL,L4IT,1.2278145880527499e-11
B3GALTL,L5ET,3.56400882219444e-8
B3GAT2,L56NP,9.463786052906039e-11
B3GAT2,L5ET,5.42589597343488e-10
B9D1,L4IT,7.10073458284854e-10
BACE2,Pvalb,1.09273037320104e-8
BACH2,L6ITCar3,2.0393151435505e-9
BAIAP3,L4IT,1.68715160235997e-8
BAIAP3,L56NP,2.7371506723208797e-11
BAIAP3,L5IT,2.0478233835623197e-11
BAIAP3,Pvalb,8.79722866982331e-10
BAIAP3,Sst,2.33145631662324e-12
BAIAP3,Vip,1.28220358663098e-9
BARD1,L6ITCar3,5.5873451623884296e-11
BCAR3,L6IT,1.61821291304665e-8
BCL11A,L4IT,5.759185711280461e-9
BCL11A,L6ITCar3,1.58597433459246e-8
BCL2L11,L5ET,1.47011148178882e-9
BCL7C,L6CT,1.00984012001698e-12
BCL7C,L6IT,3.62807049227227e-8
BDKRB2,L5ET,4.6270391759383805e-9
BDNF,L6ITCar3,1.62802539061461e-8
BEAN1,L5ET,1.17884174035632e-8
BEND7,L5ET,2.80476143963465e-8
BHLHE22,L23IT,1.02115177992322e-12
BHLHE22,L4IT,5.3208791558420506e-15
BICC1,L4IT,1.04595781181281e-9
BICC1,L5ET,1.1410445115447399e-11
BICD1,L5ET,1.0314743769791102e-9
BICD1,Lamp5Lhx6,1.24529056927051e-9
BID,L4IT,1.59144168525764e-13
BMP7,L4IT,6.711800503260911e-9
BMP8A,L4IT,2.05284490561173e-9
BMPER,L5IT,1.6318065973098402e-9
BMPER,L6CT,9.382654675801e-9
BMPR1B,L5ET,4.51432130672759e-16
BRE,L5IT,8.22249643652067e-10
BRE,L6IT,1.44990425734756e-9
BRINP1,L23IT,9.38359121979471e-10
BRINP1,L4IT,7.620043841433231e-9
BRINP1,L5ET,2.50780060369238e-9
BRINP1,L6CT,2.8094891548381303e-9
BRINP1,Pvalb,4.793702624038199e-12
BRINP2,L5ET,1.08159784407284e-9
BRINP2,L6IT,3.81766733477813e-9
BRINP3,L4IT,9.217630242099491e-9
BSPRY,L56NP,3.2067894355586202e-09
BTBD11,L4IT,7.681297856101079e-11
BTBD3,L4IT,6.6123636868034e-14
BTC,L6CT,2.28520309512036e-12
BTG1,L6ITCar3,2.53920871723923e-8
BTNL9,L23IT,5.69142525651278e-9
BTNL9,L4IT,2.57740195569734e-12
BVES,L4IT,3.01193283017739e-8
C10orf11,L6ITCar3,4.89786610866906e-9
C10orf67,L5ET,8.5494295822726e-9
C11orf80,L4IT,1.4188008376885802e-9
C11orf80,L56NP,1.68392666221294e-10
C11orf80,L6IT,2.1850596115842098e-11
C11orf87,L6CT,1.80266742963285e-10
C12orf42,L23IT,2.41436702430197e-8
C12orf42,L5ET,1.8256176221890101e-9
C12orf5,Pvalb,6.685743178861e-12
C14orf132,L6CT,6.90542208664291e-11
C14orf132,L6IT,8.943504930656669e-11
C15orf41,L5ET,1.1002465791601202e-9
C15orf59,L5IT,7.5607634472533e-9
C16orf52,L23IT,8.2472062425695e-11
C16orf52,L4IT,9.425490146698551e-15
C16orf52,L5ET,1.0163643932704e-13
C16orf52,L5IT,2.99859814859531e-11
C18orf42,L5ET,1.01069584988077e-13
C1QL3,L5ET,1.97323217991868e-11
C1QL3,L5IT,2.16871206156675e-10
C1QTNF7,L5ET,1.30775063887236e-13
C1orf116,L5ET,1.01250867853639e-12
C1orf145,L6CT,5.388043497606829e-11
C1orf186,L4IT,3.61489258326941e-8
C1orf228,L5IT,1.56939766622783e-8
C1orf95,L23IT,3.43795790305487e-10
C1orf95,L4IT,1.7470336868961e-14
C1orf95,L5ET,1.37446153478064e-10
C1orf95,L5IT,1.4080636974538698e-11
C1orf95,L6IT,2.79331128152028e-11
C1orf95,L6ITCar3,8.328264875389969e-11
C1orf95,Lamp5Lhx6,2.53281597134942e-8
C22orf34,L5ET,2.5675516043061802e-9
C22orf34,L5IT,1.3151124089409702e-9
C2CD2,L56NP,2.6369807665654097e-12
C2CD2,L5IT,3.70175944259612e-10
C2CD2,L6IT,8.35271996704852e-10
C2CD4C,L4IT,2.47207447914767e-8
C3orf67-AS1,L4IT,3.80884504795902e-10
C3orf79,L6ITCar3,1.99201257398628e-8
C4orf22,L6ITCar3,9.052653664892119e-11
C5orf64,L5ET,3.31153785445689e-10
C6orf141,L4IT,2.7447489964327e-8
C6orf141,L5IT,3.77128915525611e-8
C8orf31,L6ITCar3,2.44279817973048e-8
C8orf34,L4IT,3.4269675381665197e-13
C8orf34,L5IT,1.0441909956447e-10
C8orf34,L6IT,2.6988216606823797e-11
C8orf34,Pvalb,1.04802777134972e-8
CA10,L56NP,6.478338575895181e-9
CA10,L5ET,7.990420915242899e-17
CA10,L6CT,2.27293276944202e-9
CA12,L56NP,3.91043546303787e-9
CAB39L,L6ITCar3,9.64937484312766e-10
CABLES1,L23IT,1.53029604225686e-11
CACHD1,L4IT,9.12468049390753e-15
CACHD1,L56NP,5.07279734193647e-12
CACHD1,L5ET,2.18969695604242e-8
CACHD1,L5IT,6.23591916977069e-12
CACHD1,L6IT,4.77673222129213e-11
CACHD1,L6ITCar3,2.50511507537596e-10
CACNA1E,L23IT,2.6207791554076203e-9
CACNA1E,L5ET,1.9280994192322697e-11
CACNA1E,L6CT,4.12580135690132e-8
CACNA1E,L6IT,1.3253395395809802e-9
CACNB2,L23IT,1.8152151824205501e-10
CACNB2,L4IT,8.311046990876361e-14
CACNB2,L5ET,9.081219193437799e-13
CACNB2,L6IT,6.08135461031819e-9
CACNB2,L6ITCar3,9.276690343150371e-9
CACNG3,L4IT,1.82954342820204e-13
CACNG3,L6CT,6.6839651673813e-9
CACNG4,L23IT,7.21433605011508e-12
CACNG4,L4IT,1.54015689872147e-8
CACNG4,L56NP,4.985829024449771e-9
CACNG4,L5IT,6.52499326841608e-11
CACNG4,Lamp5Lhx6,1.0622625427960702e-9
CACNG5,L4IT,2.98563953999498e-14
CACNG5,L5IT,3.78601131807476e-9
CADM1,L4IT,1.11191472780556e-8
CADM1,L56NP,3.2201666391251303e-9
CADM1,L5ET,1.28240470936568e-10
CADM1,Pvalb,2.61381604869577e-8
CADM2,Lamp5Lhx6,3.8324841673966e-8
CADPS,L6IT,2.2686134030188402e-9
CADPS2,L23IT,2.0556119417101297e-11
CADPS2,L4IT,1.82312432666752e-15
CADPS2,L5ET,1.3930043565366101e-9
CADPS2,L5IT,3.99798641184202e-8
CADPS2,L6b,1.96993281664375e-11
CADPS2,L6CT,1.6749702284686898e-12
CADPS2,L6IT,5.9444070107863905e-9
CALCRL,L5ET,2.35121648552417e-13
CALN1,L56NP,1.1363470440298502e-9
CALN1,L5ET,1.55079081069125e-14
CALN1,L5IT,2.0084403683654397e-11
CALN1,L6IT,2.77206590396531e-8
CALN1,Sst,1.23345776298553e-12
CAMK1G,L5ET,3.54751429929242e-8
CAMK2D,L23IT,2.8766302914336104e-9
CAMK2D,L56NP,2.25716089100825e-8
CAMK2G,L4IT,1.3106476875830499e-11
CAMK2N2,L4IT,4.2514487155256196e-12
CAMK4,L6CT,2.96554752918224e-8
CAT,L4IT,3.76011980574573e-13
CAV1,L23IT,6.68147361909936e-13
CAV1,L6IT,4.2102470595259503e-10
CBFB,L23IT,5.9857127197988e-9
CBFB,L56NP,6.893136680762471e-15
CBFB,L5ET,5.32832770505106e-10
CBFB,L5IT,1.352555729086e-9
CBFB,L6CT,8.029438108949741e-9
CBFB,Pvalb,3.24518346220732e-8
CBLN2,L4IT,1.20498307385429e-10
CBLN2,L5IT,4.60063968901214e-9
CBLN4,L4IT,9.61352755656012e-10
CBLN4,L6CT,3.32538864765715e-8
CCBE1,L23IT,7.6059255945993e-10
CCBE1,L5ET,1.4753139441923198e-12
CCBE1,L5IT,9.71208435038531e-10
CCBE1,L6IT,3.40015391567385e-10
CCBE1,L6ITCar3,1.29146287492995e-9
CCDC102B,L4IT,1.11232272977702e-10
CCDC102B,L5ET,7.10117460636231e-10
CCDC109B,L4IT,2.20147396728293e-9
CCDC109B,L6IT,3.14488158727805e-8
CCDC129,L6b,3.0638270648439605e-9
CCDC136,L4IT,6.48553977282827e-13
CCDC144NL-AS1,L4IT,4.14243542768079e-9
CCDC146,L4IT,3.4331457768299503e-9
CCDC148,L23IT,3.7893537603097997e-13
CCDC148,L4IT,3.66926273042467e-10
CCDC148,L5IT,2.39949869391169e-11
CCDC152,L23IT,6.55951322258104e-10
CCDC25,L5ET,6.30378347373326e-9
CCDC3,L4IT,6.70765609492587e-20
CCDC50,L23IT,2.11700587115281e-8
CCDC50,L6ITCar3,2.4522737173018103e-9
CCDC68,L5ET,3.27785833533799e-8
CCDC68,L5IT,1.42664027735329e-13
CCDC77,L5ET,9.112156460913411e-9
CCDC91,L4IT,5.0747804289438896e-11
CCL11,L6CT,1.78576618444234e-8
CCM2L,L4IT,8.720309658536151e-9
CCND1,L4IT,2.56036342242366e-8
CCNY,L4IT,1.8690422929283e-8
CCNYL1,L23IT,2.27057049713008e-12
CCNYL1,L4IT,5.07645992843192e-9
CCNYL1,L6IT,2.73690675067913e-9
CCNYL1,L6ITCar3,1.05811745031256e-8
CCSAP,L5ET,3.96837513274085e-9
CCSER2,L6IT,1.60897835477256e-8
CD163L1,L5ET,1.80300081584297e-8
CD163L1,L6b,1.63982277788483e-8
CD163L1,L6CT,1.81196070409048e-8
CD163L1,L6IT,3.4919648384491e-9
CD24,L4IT,4.79621254892805e-12
CD24,L5ET,5.50376686818761e-11
CD24,L5IT,4.31683864697904e-9
CD36,L23IT,4.681858457629029e-11
CD53,L4IT,8.36383850651649e-12
CD55,L4IT,5.3682225899284e-10
CD74,L4IT,1.3647989379998198e-11
CD99,L6b,1.24755274490993e-13
CD99,L6CT,7.75162995447051e-12
CD99L2,L5IT,5.6050735087554204e-9
CD99L2,L6CT,1.5783093196518298e-11
CDC42EP3,L4IT,8.815469479579501e-10
CDC42SE2,L23IT,5.357400013424299e-12
CDC42SE2,L4IT,6.88650160783266e-11
CDC42SE2,L5IT,8.30820944844188e-9
CDH10,L23IT,1.49414154402084e-8
CDH10,L4IT,5.98624931473975e-13
CDH11,L56NP,2.0136212371401e-8
CDH11,L5ET,3.13638957117947e-8
CDH12,L5ET,1.28198854039904e-11
CDH12,L5IT,4.838821423678251e-9
CDH12,L6CT,4.11802999354157e-13
CDH12,Pvalb,1.16555191467438e-10
CDH13,L23IT,6.65642402064463e-10
CDH13,L4IT,2.50882987125401e-8
CDH13,Lamp5Lhx6,2.7132816450082703e-9
CDH18,Chandelier,9.074650536283201e-10
CDH18,L5ET,9.7678480756633e-11
CDH18,L6CT,2.65269975880088e-8
CDH19,L4IT,4.06262675271586e-8
CDH20,L4IT,1.8220357205037599e-13
CDH24,L6CT,1.6282798304633e-8
CDH4,L5ET,3.15475406318262e-8
CDH4,Pvalb,1.87508657904454e-8
CDH6,L23IT,1.06679637371487e-8
CDH6,L5ET,4.44000488454382e-10
CDH7,Chandelier,1.92565244253695e-9
CDH7,L4IT,5.07233469034832e-10
CDH7,L5ET,9.95293070686582e-16
CDH7,L6b,7.08655590188314e-10
CDH7,L6CT,9.89468850732192e-11
CDH7,L6ITCar3,5.66902492801866e-10
CDH7,Pvalb,1.78893478109116e-8
CDH8,L4IT,4.72990632278183e-9
CDH9,L4IT,4.8940187805208404e-9
CDH9,L56NP,9.4507522246608e-9
CDH9,L5IT,8.77123952104515e-9
CDH9,Pvalb,1.80653675189082e-12
CDK17,L5ET,2.8106334652503903e-9
CDK18,L4IT,2.9590844641512998e-12
CDK18,L5IT,2.1034154718054002e-10
CDK2AP1,L6CT,5.6256708285146495e-12
CDK2AP1,L6IT,1.26507222395941e-10
CDK6,L5IT,9.98675035391209e-11
CDKL1,L4IT,1.45986709492949e-11
CDKN2A,L5ET,1.53423842998446e-9
CDKN2B-AS1,L5ET,3.91913315834774e-9
CDR1,L4IT,4.3504506217472396e-11
CDR1,L5IT,1.30995785007266e-8
CDS1,L4IT,2.9007351285585197e-12
CDYL,Pvalb,6.294595245311061e-9
CDYL2,L5ET,2.38868996008118e-8
CELF4,L4IT,3.68283285484266e-8
CELF5,L4IT,3.46049845921312e-13
CELF5,L5ET,7.00478804316288e-10
CELF5,L5IT,1.008798022762e-8
CELF5,L6IT,2.85117341668756e-8
CELF5,Pvalb,1.46006720053239e-8
CELF5,Sst,2.33550676201368e-8
CELF6,L23IT,1.02112388991231e-9
CELF6,L4IT,8.292988105607479e-11
CELSR1,L6CT,2.04183006681264e-13
CEP112,L56NP,1.0256667027124502e-9
CEP112,L5ET,2.33703162075155e-9
CEP112,L5IT,2.21072166375155e-10
CEP152,Sst,6.551242307328491e-9
CEP70,L6CT,6.614943150048521e-9
CEP70,L6IT,4.1464841265895794e-11
CEP83,L23IT,8.33258460933177e-10
CFAP44,L56NP,5.298592017037539e-11
CFAP44,L5IT,4.8231430876929396e-11
CFAP44,L6IT,8.20609406559602e-9
CFAP54,L4IT,1.92532493741304e-9
CFAP58,L23IT,4.20888606972383e-10
CFAP58,L4IT,2.02049960292169e-13
CFAP70,L5IT,1.64424807398436e-8
CFAP70,L6IT,2.44876380126748e-8
CFH,L6CT,1.14697319874747e-14
CFLAR,L4IT,1.13437720990338e-9
CFLAR,L5IT,1.4126266942745199e-11
CFLAR,L6CT,5.01812927136416e-15
CFLAR,L6IT,1.0866219777748402e-9
CFLAR-AS1,L6CT,2.00622724134136e-8
CGN,L6b,5.42094337382272e-10
CGNL1,L6CT,1.0697230304725502e-15
CHCHD6,L23IT,3.02645030042835e-8
CHCHD6,L4IT,8.2608112334884e-13
