cluster,gene,A1,ACC,ANG,DLPFC,M1,MTG,S1,V1
Endo_1,CYTB,2.49665478126878,2.2158427737564,2.7793924131362,4.16773986583779,NA,2.6796199774839,2.24383711464174,NA
Endo_1,DSTN,1.56182021051054,0.81773257078257,0.899408620846986,1.20937591292174,NA,1.51448023705182,NA,NA
Endo_1,CASP10,0.357340570526088,1.04068511976383,0.488143522896686,1.30278821561009,NA,0.846992096838847,0.611737674405464,NA
Endo_1,CYSTM1,0.999465999352172,0.827386426634323,1.14044253517703,0.592811974119504,NA,1.24459251537574,1.34332873528145,NA
Endo_1,NBEAL1,1.3526303058147,1.07109901131899,0.895626466142387,1.17860709689024,NA,1.12233700421027,0.888265047025198,NA
Endo_1,PTPRG,1.30417080870693,1.88170007816362,1.64871883301055,1.91891126413307,NA,1.9665123035964,1.89107546767099,NA
Endo_1,SVIL,1.06970941113323,0.936572849931784,0.749723307526633,0.885617489989961,NA,1.02898775511152,1.28797612137903,NA
Endo_1,OAZ1,1.47037276602279,0.665251704890673,1.13237127346421,1.17484261009826,NA,1.25088663256775,NA,NA
Endo_1,GRK5,1.39826929807076,1.08581998088065,1.26211070927594,0.652906553955013,NA,1.32643606739013,1.1267877204875,NA
Endo_1,SPARCL1,1.6370794379307,1.44410915187261,1.36305578755402,1.64790758879724,NA,1.91707080531007,1.36876499770693,NA
Endo_1,KLF6,1.4867824360683,1.14444414196882,2.34594724211173,1.38711000665826,NA,1.48010113969717,1.43570040129992,NA
Endo_1,PSMB1,1.39447056555131,0.808345321620637,1.44605985934519,0.833315505741535,NA,0.4785593407902,NA,NA
Endo_1,EHD2,0.579496721695826,0.721330685271804,1.03166071777006,0.819743139848385,NA,0.60546580696763,0.999366376694328,NA
Endo_1,ZBTB20,0.890329014285084,1.35221033490785,1.32223533382713,1.29809027799148,NA,1.50133891245746,1.30940484112793,NA
Endo_1,STK3,1.40090617400716,1.20399580952898,0.764905617846726,0.841080692391697,NA,1.06202387909881,1.23218616669848,NA
Endo_1,ITM2B,1.32096480936328,0.904833592206621,1.4564908298224,1.60968618674325,NA,1.42954112541398,0.961471064202144,NA
Endo_1,SLC20A2,1.2115842742196,1.6805382842091,1.88757030127899,2.17913227925216,NA,1.77129390986325,2.01180696493276,NA
Endo_1,MBNL1,1.19561765353852,1.10992139587023,0.830615980754407,1.27452976785292,NA,1.17870654694636,1.05937039342916,NA
Endo_1,LINC00472,1.27683656744666,1.32710640121233,1.19567807737882,1.04025175706785,NA,1.68873164545333,1.68886929138803,NA
Endo_1,SYNM,1.03912591220719,0.761189648234184,1.31710838139139,1.07465285665328,NA,1.01004650054042,0.513415414256015,NA
Endo_1,PDLIM5,1.07860802287572,1.09934002209279,1.39453665102297,1.10585725645322,NA,1.30373682338963,1.00950955572866,NA
Endo_1,GAPDH,1.60173311992029,1.5981181071124,1.22470246219826,1.23284168070027,NA,1.19938385279002,0.967359359158151,NA
Endo_1,RPL14,1.29074935655662,1.23542859040769,1.13064028140726,0.627268217225226,NA,0.893638881899882,NA,NA
Endo_1,EPHX1,0.790703355087333,0.69383887268673206,1.01855224164145,0.826594030609514,NA,0.836819892012414,0.501233416329916,NA
Endo_1,EPB41L4A,1.78061476092586,1.21811898138844,1.05491146947881,1.24815082446333,NA,1.57757236137849,0.935517807467903,NA
Endo_1,UNC13B,1.47761545501077,1.20899195472166,1.67873109581889,1.41141545225992,NA,1.34824764040956,1.88670219287455,NA
Endo_1,S100A6,1.41681820224687,1.25954316715772,1.01929414205869,1.02650012693529,NA,1.06100466495291,1.2949570114486,NA
Endo_1,GADD45GIP1,1.04830670217467,0.999454143975752,1.07131540657577,0.593092813517571,NA,0.899448652154044,NA,NA
Endo_1,COX1,1.27198172937564,1.01758434378632,1.71657376319618,3.0812704298376,NA,1.51750707799757,0.914825372478357,NA
Endo_1,FAU,1.75969267309176,1.56831148658206,1.66276983053349,1.01592060288918,NA,1.31190116173932,1.06471000005138,NA
Endo_1,RPL21P28,1.2048887060947,1.24947797234755,1.2372269806899,NA,NA,0.907742049819436,NA,NA
Endo_1,SUCLG2,0.942816679480854,1.22031484937967,0.522686220043088,0.698212559998091,NA,1.0170267178301,0.786352683497399,NA
Endo_1,COX6A1,1.61912801284592,1.35249226138556,1.26155472720419,1.11333411184788,NA,1.52438454295455,NA,NA
Endo_1,ND4L,1.8188034983766,1.13883595071553,0.677673111936695,1.5232062956788,NA,1.10273742779379,0.985809015183442,NA
Endo_1,RPS9,1.29965973956439,1.78992404371756,1.56007709259182,1.71087693276085,NA,1.61342272413641,1.39740377919686,NA
Endo_1,IRAK3,1.02044570247257,0.965734021236282,2.29233571236295,1.24755289142072,NA,1.5125895316051,1.46915230530254,NA
Endo_1,RABAC1,1.1726469387695,1.24027510609448,1.53820934225687,1.09630495264331,NA,1.02184650091674,1.46236392447447,NA
Endo_1,GPC5,1.65732447577898,1.31397398560659,1.73636442184722,1.33957419368855,NA,1.57269618415053,1.49899381829865,NA
Endo_1,NET1,1.72899478725708,1.97322541987688,2.23681955210301,2.51036583418424,NA,2.41654015407612,2.39515874657448,NA
Endo_1,SLC3A2,1.30433480339765,1.10288399868723,1.64184191947627,1.43536588022402,NA,1.70290599820314,1.18288369807925,NA
Endo_1,TMEM109,1.22949923672712,0.681923647276155,1.03772455054833,0.797365477338402,NA,0.570614656113478,0.366589096683478,NA
Endo_1,IQGAP1,1.46608452251922,1.38909931013093,1.14629866627715,1.39702957190963,NA,1.53556654572143,1.59068883580405,NA
Endo_1,PREX2,0.852128333827358,1.05864357629769,0.77394811229443,1.34313627509344,NA,1.51706238369437,1.10201674296192,NA
Endo_1,PSMA7,1.23827090817637,1.45841778517536,0.967584629458062,0.938140481025143,NA,1.12633051600648,1.1935417621929,NA
Endo_1,HYAL2,0.602721398135584,1.3039400684679,1.22748522807855,1.30495919872133,NA,1.15280517311818,0.483691253549724,NA
Endo_1,TMCC3,1.76272787746065,0.472793201093741,1.77684224333409,0.560335076063114,NA,0.883611634235519,1.05602998490462,NA
Endo_1,NPIPB4,1.96436795831415,2.03977792153652,1.99125517145323,2.59163622541772,NA,2.00104760804545,2.80702290028851,NA
Endo_1,LBH,0.876909316998727,1.02033218160027,0.811025437427104,0.839822745534815,NA,1.22814133635806,0.643697210036498,NA
Endo_1,CA2,1.35723854398767,0.46730627956638,1.32337330673756,0.628702378102461,NA,1.08878290928681,1.13365864026913,NA
Endo_1,RPS12,1.24240880514177,1.38203298334577,0.900798578445111,NA,NA,NA,NA,NA
Endo_1,CNOT8,1.14713726370556,0.608676342536628,1.01112499279807,0.990872148730896,NA,0.772361054579416,0.890958074567749,NA
Endo_1,ENTPD1,1.13877005669403,1.16266175475683,0.580218473098086,0.859734894706234,NA,1.30562229152876,1.07597536562824,NA
Endo_1,RPL37A,1.61424991699598,0.650524532764158,0.576062027523822,NA,NA,1.01463897610589,0.797634632564687,NA
Endo_1,ADIPOR2,1.8841299984714,1.15485116311168,1.7764345940762,1.8118002644281,NA,1.34538081076859,1.50963666735763,NA
Endo_1,GNB2,1.186023128137,NA,0.768032824785655,0.804022285921044,NA,1.08439106947534,0.763661967207148,NA
Endo_1,RPL23A,1.48617405796048,0.98552122521499,1.10200871141332,0.658037846897698,NA,1.44217537547094,NA,NA
Endo_1,YES1,1.02672626183381,1.3220655600403,2.22257828452181,1.3204553355982,NA,1.32643693148777,1.576413632064,NA
Endo_1,BAIAP2L1,1.80788214556949,1.31735137659887,1.02847278639487,1.07932382416572,NA,1.14102477066775,0.768833808406993,NA
Endo_1,COL4A4,0.922326132070153,0.91032646400993,1.49130556091165,0.691209922328917,NA,1.16787883108491,1.517569784498,NA
Endo_1,TNS2,0.815387096437989,1.26183602670943,1.54167789146838,2.15631312853011,NA,1.33516359345717,1.49226677350338,NA
Endo_1,XIST,0.962254523640557,1.5016102817639,NA,NA,NA,NA,NA,NA
Endo_1,ZFHX3,1.24740600129734,1.1913871099341,1.27897698218722,1.7992150934299,NA,1.25114374059833,1.70009362706522,NA
Endo_1,RPS19,1.91183849015879,1.72106159251149,1.71713338029988,1.4765375574735,NA,1.84512843545391,1.27671872685348,NA
Endo_1,HSPA1B,0.752737327664508,0.443492300101182,0.352988452288959,1.23677119266627,NA,1.02145701354105,0.641525871851929,NA
Endo_1,ITGA1,0.592465853622228,1.79419108509995,1.84966927757734,2.05661995149132,NA,1.89462590739361,1.65902576541646,NA
Endo_1,DUSP1,1.6563524714008,1.50164436040799,3.09428392034528,1.95834062741711,NA,1.42072442958226,0.898148292246061,NA
Endo_1,ZBTB46,1.10909695233653,0.68942402564994,1.45846354508309,0.890982752183233,NA,0.989049889782418,1.48480846901213,NA
L2/3 IT_6,FAM19A1,2.36392451574428,2.45419962074573,2.2996359021081,2.17558111644528,1.82161995979552,2.47595459672509,2.01340288648125,2.27181568594746
L2/3 IT_6,CBLN2,2.15797701970975,2.22685681719344,2.49179685338599,2.36054036717649,2.30840171614419,2.32819588955746,2.23646955844822,2.27698565214439
L2/3 IT_6,LOC105378334,2.02543557748701,1.69878047215854,2.35588193635119,2.22898531743706,1.77081827611236,2.50062391298512,1.77595988278264,2.26710443362542
L2/3 IT_6,ENC1,1.88992437994413,1.79462237974576,1.73220532022101,1.57517092012792,1.68050835324199,1.82800950125918,1.68683979534154,1.91683963242791
L2/3 IT_6,LINC01378,1.80013238558225,2.25107689708322,1.74251314437623,1.9172960681326,2.27738394983684,1.84328966481528,2.00006051506437,1.54124890699179
L2/3 IT_6,LY86-AS1,1.68807608495568,1.8779261931805,1.63018314609032,1.54535635935926,1.4729969132199,1.71600760478434,1.50814806277771,1.52236489044912
L2/3 IT_6,MLIP,1.68068869452931,1.75803796756907,1.86693930293032,1.72249956838396,1.62231929022313,1.85388818385188,1.56692358346164,1.90847942240009
L2/3 IT_6,LOC284930,1.54580141196068,1.00329981810989,1.82711663769309,1.66641320349174,1.28359974319811,1.8408224466558,1.48142382666522,1.67419939473593
L2/3 IT_6,CUX2,1.54501392422661,1.33523102007852,1.55824833267402,1.60395987737198,1.37673503112242,1.63904390421915,1.6359227162307,1.59474463366325
L2/3 IT_6,TESPA1,1.5428991385379,1.30931913708562,1.7328814726749,1.60204753818209,1.67808657837894,1.59751849848809,1.69043399063592,1.61782506811609
L2/3 IT_6,LINC00507,1.35880436812654,0.882293320716094,1.49264885458534,1.23045295005162,1.27743077183776,1.53220380184838,1.25727213633144,1.57643610170993
L2/3 IT_6,HOPX,1.26609525741195,1.13261976014205,0.961580141538238,0.987307323210862,0.990103337740805,1.18260087118748,0.948478243841792,1.26450128914402
L2/3 IT_6,LOC105374524,1.18184138060592,1.12006417737699,1.39843855897182,1.35942614368656,1.16116731797046,1.53713243260738,1.06916638055666,0.596559718622427
L2/3 IT_6,MEIS2,1.16384715825594,0.919921402690263,1.12389722274825,0.848896604877167,1.0090586205457,0.950681286178325,1.16902092577062,1.39081322218505
L2/3 IT_6,LOC105377390,1.09630653696356,0.963832442691288,1.07928396701268,1.17337640501354,1.4520435273644,1.18055851558283,1.20973892289169,0.996512875060806
L2/3 IT_6,LINC00508,1.08703064635831,0.580694891037211,1.02633812386756,0.95650969254563,0.629307231201769,1.16958682210764,0.785711679546665,0.918178437564195
L2/3 IT_6,SMAD3,1.05413907824432,1.11285462432972,0.996964174870043,1.0206654975841,0.857262385694683,0.970452879601572,1.0376170431077,0.941937406794467
L2/3 IT_6,PDGFD,1.0465876658357,NA,0.718828263415942,NA,NA,0.807194042667166,0.487860359499882,1.0007724992509
L2/3 IT_6,ADAMTS3,0.972089843986402,1.33288959027288,1.16496460167043,0.930412879685733,0.90632491244287,1.25482922039259,0.712483890904111,0.312282189284407
L2/3 IT_6,CDH22,0.893048301843492,0.988853195097906,1.06950927786501,0.993431521392821,0.634915200798884,1.10677323766956,0.848426607487228,0.875535114653327
L2/3 IT_6,SLIT3,1.39506378279254,1.52053142557573,1.4001392277645,1.2726586574916,1.23577218485033,1.23651750643255,1.3528486488199,1.26413417233569
L2/3 IT_6,SATB2,1.35698926153435,1.44667722512042,1.48700378213372,1.41381234900932,1.31323718841415,1.54075284979358,1.29071786937812,1.22609617852023
L2/3 IT_6,CA10,1.34510051743101,1.9491099994244,1.50341374240043,1.87472006138093,1.55798028155354,1.673637595559,1.54890240962967,1.08243696179292
L2/3 IT_6,SLC38A11,0.719047720244908,NA,0.727168532876991,0.34740899374647,0.57014967720834,0.709203872751192,0.795051012330359,1.13296704262287
