area,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ACC,C1orf95,7.66E-51,0.338647912,0.54,0.137,3.85E-46
ACC,MIR137HG,7.04E-50,0.57715018,0.985,0.953,3.54E-45
ACC,MAP7,1.10E-49,0.449382584,0.99,0.989,5.53E-45
ACC,SRGAP1,3.26E-49,0.492636808,0.802,0.46,1.64E-44
ACC,TMEM2,5.02E-49,0.486893314,0.956,0.862,2.53E-44
ACC,ITGA6,6.10E-49,0.473681759,0.777,0.406,3.07E-44
ACC,NIN,1.01E-47,0.333595969,0.995,0.992,5.06E-43
ACC,MAP3K5,5.33E-47,0.501967717,0.984,0.956,2.68E-42
ACC,DOK6,5.09E-46,0.601903049,0.993,0.958,2.56E-41
ACC,LMF1,1.30E-45,0.592709581,0.996,0.96,6.55E-41
ACC,MYRIP,1.38E-45,0.580746302,0.981,0.891,6.92E-41
ACC,ATP2B4,1.67E-45,0.53812669,0.974,0.903,8.42E-41
ACC,C12orf42,5.34E-45,0.324791288,0.594,0.177,2.68E-40
ACC,LOC101929163,2.09E-44,0.59866212,0.913,0.628,1.05E-39
ACC,KCNMB4,2.30E-44,0.430418217,0.949,0.871,1.15E-39
ACC,GHR,3.74E-44,0.537528191,0.907,0.682,1.88E-39
ACC,PDE1C,1.16E-43,0.475144853,0.997,0.994,5.81E-39
ACC,CRIM1,3.37E-43,0.533321342,0.915,0.75,1.70E-38
ACC,CELF4,3.65E-43,0.547504551,0.991,0.956,1.83E-38
ACC,LOC101926953,1.37E-42,0.376888022,0.668,0.327,6.87E-38
ACC,LRP2,1.85E-42,0.447358201,0.823,0.554,9.32E-38
ACC,PTPRB,2.86E-42,0.473031298,0.934,0.822,1.44E-37
ACC,MCTP1,7.28E-42,0.525561022,0.996,0.991,3.66E-37
ACC,NDST3,1.10E-41,0.614593296,0.996,0.965,5.53E-37
ACC,LINGO2,2.07E-41,0.669326333,0.983,0.87,1.04E-36
ACC,GNG2,7.04E-41,0.464696873,0.896,0.599,3.54E-36
ACC,SAMD5,1.08E-40,0.57160149,0.626,0.263,5.45E-36
ACC,TMTC1,1.84E-40,0.50865075,0.996,0.994,9.27E-36
ACC,CBFB,2.02E-40,0.322413,0.745,0.416,1.02E-35
ACC,KIRREL3,6.87E-40,0.99126494,0.976,0.828,3.46E-35
ACC,ANKDD1A,3.12E-39,0.429006064,0.949,0.872,1.57E-34
ACC,PAPSS2,8.63E-39,0.280919457,0.572,0.182,4.34E-34
ACC,CEP112,1.57E-38,0.521901816,0.98,0.958,7.91E-34
ACC,ITGA9,2.15E-38,0.471022701,0.918,0.822,1.08E-33
ACC,MMD2,2.30E-38,0.445085473,0.835,0.501,1.15E-33
ACC,MTA3,3.52E-38,0.463292318,0.98,0.966,1.77E-33
ACC,MBOAT2,1.67E-36,0.404167994,0.979,0.963,8.38E-32
ACC,KIAA2012,2.84E-36,0.365080696,0.753,0.454,1.43E-31
ACC,LINC00607,3.29E-36,0.435136619,0.493,0.13,1.66E-31
ACC,GRIN2B,3.42E-36,0.379516852,0.999,0.998,1.72E-31
ACC,SSTR2,5.49E-36,0.393888207,0.889,0.803,2.76E-31
ACC,VWA3A,1.23E-35,0.440029619,0.973,0.914,6.20E-31
ACC,RSU1,3.85E-35,0.329459301,0.931,0.877,1.93E-30
ACC,LARGE,3.95E-35,0.454497781,0.999,0.997,1.99E-30
ACC,SASH1,6.14E-35,0.490898229,0.726,0.399,3.09E-30
ACC,OPCML,1.56E-34,0.489924365,1,0.999,7.85E-30
ACC,CDK17,3.37E-34,0.321257301,0.957,0.939,1.69E-29
ACC,LOC105371846,3.51E-34,0.332712382,0.604,0.304,1.77E-29
ACC,MYO16,4.40E-34,0.43300735,0.993,0.948,2.21E-29
ACC,IGSF11,4.99E-34,0.357325685,0.924,0.811,2.51E-29
ACC,PTPRA,1.41E-33,0.303013724,0.984,0.986,7.11E-29
ACC,FAM13A,1.51E-33,0.442705292,0.963,0.881,7.61E-29
ACC,RAP1GAP,1.61E-33,0.444416032,0.959,0.912,8.09E-29
ACC,RAB27B,1.82E-33,0.432062137,0.948,0.878,9.15E-29
ACC,FAM19A2,2.77E-33,0.566632772,0.877,0.601,1.39E-28
ACC,SLIT1,3.42E-33,0.431927902,0.982,0.889,1.72E-28
ACC,KCNK10,7.46E-33,0.367258866,0.935,0.827,3.75E-28
ACC,PTCH2,9.91E-33,0.316507689,0.844,0.701,4.98E-28
ACC,PITPNC1,1.05E-32,0.508322015,0.909,0.657,5.30E-28
ACC,ZBTB46,1.10E-32,0.334307796,0.8,0.536,5.52E-28
ACC,ASXL3,2.37E-32,0.410521083,0.969,0.924,1.19E-27
ACC,SHROOM3,3.23E-32,0.428424219,0.877,0.73,1.63E-27
ACC,ANKRD30BL,3.64E-32,0.475826242,0.998,0.993,1.83E-27
ACC,SORBS2,9.45E-32,0.375670573,0.993,0.98,4.75E-27
ACC,NPAS2,1.28E-31,0.504743315,0.991,0.947,6.42E-27
ACC,NPY1R,1.62E-31,0.272579476,0.594,0.267,8.13E-27
ACC,LOC101928278,1.92E-31,0.736323857,0.543,0.241,9.65E-27
ACC,SUSD4,6.52E-31,0.414518014,0.993,0.987,3.28E-26
ACC,NOS1AP,1.08E-30,0.366553397,0.984,0.977,5.42E-26
ACC,GAS7,1.44E-30,0.423850713,0.966,0.881,7.22E-26
ACC,MEG3,1.63E-30,0.373802114,1,1,8.18E-26
ACC,ZBBX,1.85E-30,0.27576473,0.814,0.619,9.32E-26
ACC,SYN2,2.02E-30,0.462396542,0.994,0.979,1.02E-25
ACC,ACTR3C,2.81E-30,0.379493938,0.969,0.963,1.42E-25
ACC,TIMP2,4.56E-30,0.278591363,0.729,0.434,2.29E-25
ACC,CELF2,4.64E-30,0.334572311,1,0.999,2.33E-25
ACC,PGAP1,1.11E-29,0.401737517,0.928,0.865,5.59E-25
ACC,RALYL,1.22E-29,0.292948912,0.999,1,6.14E-25
ACC,ATP8B4,3.13E-29,0.258728755,0.467,0.15,1.57E-24
ACC,SLC1A1,3.43E-29,0.322140636,0.92,0.846,1.72E-24
ACC,HLF,5.05E-29,0.319765314,0.801,0.619,2.54E-24
ACC,AGPAT4,9.91E-29,0.392351652,0.956,0.893,4.98E-24
ACC,CPNE4,1.29E-28,0.388215518,0.859,0.694,6.47E-24
ACC,STXBP5L,2.05E-28,0.351439335,1,0.999,1.03E-23
ACC,LOC105369508,2.12E-28,0.66671898,0.828,0.718,1.07E-23
ACC,PDE6B,2.51E-28,0.292326957,0.908,0.835,1.26E-23
ACC,DIAPH2,2.69E-28,0.383248877,0.992,0.983,1.35E-23
ACC,NAV3,3.34E-28,0.384221728,0.999,0.996,1.68E-23
ACC,NPIPB4,4.16E-28,0.313612013,0.999,0.996,2.09E-23
ACC,DNAH5,5.20E-28,0.251133802,0.718,0.548,2.61E-23
ACC,CAP2,6.21E-28,0.283825188,0.984,0.977,3.12E-23
ACC,RNF150,1.42E-27,0.36816172,0.987,0.982,7.12E-23
ACC,CIT,1.69E-27,0.388864747,0.961,0.911,8.52E-23
ACC,NRP2,4.50E-27,0.32012492,0.703,0.337,2.26E-22
ACC,FAM126A,6.56E-27,0.359392813,0.909,0.795,3.30E-22
ACC,SLIT3,1.04E-26,0.47382663,0.998,0.983,5.22E-22
ACC,HDAC9,1.20E-26,0.345950576,0.999,0.999,6.05E-22
ACC,USP43,1.25E-26,0.297956253,0.768,0.554,6.27E-22
ACC,DGKZ,1.58E-26,0.378639736,0.977,0.959,7.96E-22
ACC,SLC37A1,2.10E-26,0.2629969,0.837,0.708,1.06E-21
ACC,SLC8A2,2.36E-26,0.262903252,0.741,0.48,1.18E-21
ACC,PGM2L1,2.65E-26,0.330281575,0.958,0.955,1.33E-21
ACC,PACRG,4.16E-26,0.384916811,0.968,0.933,2.09E-21
ACC,SOBP,4.91E-26,0.364399178,0.981,0.978,2.47E-21
ACC,GRM7,1.40E-25,0.299045898,0.998,0.992,7.02E-21
ACC,SLC25A29,1.43E-25,0.325875977,0.93,0.852,7.21E-21
ACC,GRAMD1C,1.54E-25,0.298111505,0.81,0.607,7.75E-21
ACC,KCNIP1,1.57E-25,0.438744419,0.894,0.614,7.87E-21
ACC,ST6GAL2,1.64E-25,0.267640343,0.626,0.33,8.25E-21
ACC,CACHD1,1.90E-25,0.38561949,0.891,0.758,9.56E-21
ACC,LINC00673,3.62E-25,0.356169135,0.962,0.947,1.82E-20
ACC,NXN,4.06E-25,0.340183055,0.761,0.516,2.04E-20
ACC,AFF3,4.88E-25,0.313765038,0.997,0.997,2.45E-20
ACC,RNF165,6.47E-25,0.349919125,0.923,0.822,3.25E-20
ACC,ACTR3B,8.47E-25,0.283527512,0.945,0.928,4.26E-20
ACC,COL24A1,1.68E-24,0.355825902,0.998,0.987,8.44E-20
ACC,LINC01250,2.28E-24,0.382785338,0.95,0.911,1.15E-19
ACC,PDE2A,2.70E-24,0.272137742,0.924,0.856,1.36E-19
ACC,NCAM1,4.04E-24,0.276020799,0.998,0.996,2.03E-19
ACC,GRM1,4.22E-24,0.41253613,0.95,0.67,2.12E-19
ACC,DGKB,8.21E-24,0.295714117,0.998,0.992,4.13E-19
ACC,RIMBP2,9.94E-24,0.32978664,0.976,0.947,5.00E-19
ACC,FAM163A,1.18E-23,0.301483295,0.707,0.38,5.93E-19
ACC,DENND1A,1.22E-23,0.295216463,0.989,0.984,6.13E-19
ACC,LOC642776,1.32E-23,0.295781608,0.997,0.998,6.62E-19
ACC,OSBPL10,2.98E-23,0.302868333,0.94,0.889,1.50E-18
ACC,NELL2,3.94E-23,0.377701667,0.998,0.996,1.98E-18
ACC,CPE,5.38E-23,0.261457804,0.981,0.985,2.71E-18
ACC,PRKCG,5.46E-23,0.28481937,0.897,0.773,2.75E-18
ACC,MPPED1,5.66E-23,0.314846642,0.975,0.955,2.85E-18
ACC,SULF2,1.10E-22,0.378527036,0.984,0.933,5.54E-18
ACC,PRKAA2,1.11E-22,0.30807395,0.967,0.963,5.59E-18
ACC,LRRTM4,1.29E-22,0.272033773,1,0.998,6.47E-18
ACC,LSAMP-AS1,1.63E-22,0.29062088,0.621,0.396,8.19E-18
ACC,SERPINI1,1.79E-22,0.290712492,0.968,0.969,9.01E-18
ACC,SH3GL3,2.21E-22,0.299790368,0.945,0.905,1.11E-17
ACC,CSGALNACT1,2.64E-22,0.406009423,0.94,0.749,1.33E-17
ACC,ICA1L,2.66E-22,0.298594591,0.99,0.988,1.34E-17
ACC,EPHA6,2.76E-22,0.259030575,0.999,0.996,1.39E-17
ACC,AUTS2,2.78E-22,0.304409068,0.999,0.999,1.40E-17
ACC,GABRA5,3.12E-22,0.307870188,0.88,0.788,1.57E-17
ACC,LIPA,4.10E-22,0.301030602,0.871,0.752,2.06E-17
ACC,CREG2,4.26E-22,0.271073338,0.895,0.848,2.14E-17
ACC,LOC100132891,4.31E-22,0.392575405,0.867,0.674,2.17E-17
ACC,PDE9A,4.92E-22,0.288268344,0.879,0.659,2.47E-17
ACC,ENOX1,5.99E-22,0.28508223,0.998,0.998,3.01E-17
ACC,MAST3,6.26E-22,0.291307379,0.907,0.816,3.15E-17
ACC,CHRM5,6.49E-22,0.277806778,0.554,0.329,3.26E-17
ACC,GALNT16,6.51E-22,0.272010334,0.824,0.708,3.27E-17
ACC,MMP17,7.13E-22,0.277349121,0.799,0.635,3.58E-17
ACC,DIAPH3,7.35E-22,0.268515375,0.465,0.205,3.70E-17
ACC,PAK3,1.46E-21,0.273873993,0.997,0.996,7.35E-17
ACC,ADRA1A,2.82E-21,0.369721257,0.994,0.98,1.42E-16
ACC,ZNF831,3.08E-21,0.274097205,0.747,0.528,1.55E-16
ACC,ERICH1-AS1,4.43E-21,0.269923383,0.995,0.994,2.23E-16
ACC,LOC105377289,4.89E-21,0.252627164,0.749,0.557,2.46E-16
ACC,MAP2K1,7.32E-21,0.268063802,0.931,0.897,3.68E-16
ACC,SEPT11,8.01E-21,0.30023947,0.983,0.972,4.03E-16
ACC,C8orf34,9.24E-21,0.358947798,0.839,0.674,4.65E-16
ACC,KCNAB1,1.15E-20,0.305105899,0.761,0.567,5.79E-16
ACC,LINC00461,1.77E-20,0.283831,0.977,0.978,8.92E-16
ACC,NNAT,2.21E-20,0.400884765,0.709,0.531,1.11E-15
ACC,GPR63,2.32E-20,0.295703102,0.917,0.867,1.17E-15
ACC,ARFGEF3,2.47E-20,0.323933391,0.982,0.979,1.24E-15
ACC,ST3GAL4,3.51E-20,0.317932797,0.667,0.497,1.76E-15
ACC,GNG7,3.77E-20,0.266717379,0.859,0.774,1.90E-15
ACC,CCDC102B,3.94E-20,0.348859735,0.873,0.78,1.98E-15
ACC,RN7SK,4.34E-20,0.32880538,0.68,0.472,2.18E-15
ACC,HIVEP3,6.37E-20,0.372127309,0.993,0.992,3.20E-15
ACC,EXOC6,9.66E-20,0.261698923,0.966,0.964,4.86E-15
ACC,NECAB1,1.39E-19,0.339273628,0.976,0.923,6.98E-15
ACC,KLHL3,2.61E-19,0.255593876,0.966,0.96,1.31E-14
ACC,ANO3,3.26E-19,0.267273403,0.978,0.915,1.64E-14
ACC,XYLT1,3.97E-19,0.35797407,0.997,0.989,1.99E-14
ACC,ADAMTSL1,4.24E-19,1.116700016,0.597,0.438,2.13E-14
ACC,LRRN1,4.44E-19,0.282659562,0.861,0.765,2.23E-14
ACC,TMEM108,5.21E-19,0.316727812,0.996,0.994,2.62E-14
ACC,DGCR5,7.45E-19,0.343640463,0.976,0.949,3.75E-14
ACC,CRYBG3,7.55E-19,0.306314998,0.812,0.668,3.80E-14
ACC,NUAK1,7.78E-19,0.29934706,0.956,0.919,3.91E-14
ACC,ADRBK2,7.86E-19,0.311789526,0.957,0.934,3.95E-14
ACC,COL5A2,1.04E-18,0.355097176,0.981,0.849,5.23E-14
ACC,GABRB1,1.11E-18,0.295607269,0.991,0.966,5.57E-14
ACC,SRRM4,1.31E-18,0.367224511,0.993,0.965,6.57E-14
ACC,SVOP,1.71E-18,0.271405979,0.945,0.905,8.61E-14
ACC,ABR,2.05E-18,0.280356303,0.976,0.96,1.03E-13
ACC,HS3ST4,2.07E-18,0.405701991,0.559,0.391,1.04E-13
ACC,DGKG,2.51E-18,0.302005261,0.974,0.962,1.26E-13
ACC,ZDHHC14,2.66E-18,0.330678413,0.969,0.94,1.34E-13
ACC,PRKAG2,3.24E-18,0.271740107,0.995,0.993,1.63E-13
ACC,SEZ6L,4.49E-18,0.456594489,0.992,0.955,2.26E-13
ACC,GRM8,5.81E-18,0.295223723,0.999,0.994,2.92E-13
ACC,ARL15,6.01E-18,0.255277285,0.997,0.994,3.02E-13
ACC,LOC105377567,9.77E-18,0.291435134,0.985,0.943,4.91E-13
ACC,DLGAP2,1.11E-17,0.31047441,1,0.999,5.59E-13
ACC,NSMF,1.62E-17,0.26724301,0.799,0.645,8.15E-13
ACC,LRFN2,2.11E-17,0.262190044,0.918,0.844,1.06E-12
ACC,OPN4,2.20E-17,0.35356939,0.636,0.405,1.11E-12
ACC,KCNQ2,2.63E-17,0.262693864,0.934,0.884,1.32E-12
ACC,TOX,2.79E-17,0.368444756,0.999,0.99,1.40E-12
ACC,GPR176,3.76E-17,0.255750346,0.846,0.755,1.89E-12
ACC,TNR,6.08E-17,0.3282253,0.992,0.982,3.06E-12
ACC,KIAA1462,6.18E-17,0.296157168,0.773,0.498,3.11E-12
ACC,CSMD2,6.24E-17,0.293582409,0.984,0.981,3.14E-12
ACC,HIVEP1,7.64E-17,0.29297142,0.966,0.957,3.84E-12
ACC,NLGN4Y,8.10E-17,0.400478117,0.813,0.679,4.07E-12
ACC,ATP9A,1.19E-16,0.25177803,0.98,0.972,5.99E-12
ACC,DDAH1,1.26E-16,0.283648941,0.975,0.951,6.32E-12
ACC,TRIM36,1.46E-16,0.267717446,0.944,0.916,7.36E-12
ACC,GRM3,1.51E-16,0.3463846,0.92,0.867,7.58E-12
ACC,LOC100130987,2.62E-16,0.261601931,0.95,0.93,1.32E-11
ACC,LOC101927078,2.84E-16,0.276290993,0.69,0.516,1.43E-11
ACC,CACNA1B,3.05E-16,0.276670725,0.996,0.996,1.53E-11
ACC,GAREM,3.06E-16,0.285405338,0.949,0.942,1.54E-11
ACC,OVCH1-AS1,3.11E-16,0.258681721,0.64,0.475,1.56E-11
ACC,LOC105371832,3.23E-16,0.290988701,0.73,0.556,1.63E-11
ACC,KHDRBS3,5.69E-16,0.250799065,0.998,0.998,2.86E-11
ACC,TENM2,7.46E-16,0.283122253,1,0.995,3.75E-11
ACC,TTTY14,8.17E-16,0.370890869,0.822,0.677,4.11E-11
ACC,MGAT4C,8.43E-16,0.361226509,0.951,0.804,4.24E-11
ACC,PDIA6,9.16E-16,0.289984785,0.883,0.835,4.60E-11
ACC,LOC105369858,1.16E-15,0.362059404,0.751,0.644,5.82E-11
ACC,ADAMTSL3,1.47E-15,0.288640556,0.962,0.85,7.37E-11
ACC,SHANK1,1.62E-15,0.269663501,0.927,0.889,8.16E-11
ACC,SNCA,1.83E-15,0.288157518,0.96,0.912,9.18E-11
ACC,LINC01090,2.10E-15,0.477379197,0.395,0.22,1.06E-10
ACC,OTOGL,2.30E-15,0.34677261,0.809,0.63,1.16E-10
ACC,GABRA3,3.34E-15,0.296387445,0.939,0.902,1.68E-10
ACC,SEC24D,4.40E-15,0.263898422,0.934,0.847,2.21E-10
ACC,CES4A,7.00E-15,0.269906281,0.891,0.85,3.52E-10
ACC,FUT9,8.52E-15,0.273446498,0.991,0.989,4.29E-10
ACC,PTPRO,9.16E-15,0.286799082,0.99,0.977,4.61E-10
ACC,MEGF11,9.28E-15,0.257289783,0.64,0.49,4.67E-10
ACC,ZC3H12B,1.62E-14,0.349367726,0.991,0.986,8.15E-10
ACC,SYT7,1.79E-14,0.278939229,0.958,0.918,8.99E-10
ACC,NFIA,2.82E-14,0.318333382,0.952,0.819,1.42E-09
ACC,CACNG8,5.45E-14,0.274020965,0.97,0.953,2.74E-09
ACC,RYR3,5.76E-14,0.255018285,0.998,0.992,2.89E-09
ACC,CAMK2B,5.79E-14,0.26197028,0.99,0.98,2.91E-09
ACC,GRIN1,1.15E-13,0.301610512,0.979,0.958,5.79E-09
ACC,LMO4,1.27E-13,0.288479456,0.97,0.94,6.38E-09
ACC,LOC105379085,1.56E-13,0.269357438,0.682,0.54,7.86E-09
ACC,CAMK1D,1.91E-13,0.265949189,0.996,0.994,9.59E-09
ACC,PBX1,2.52E-13,0.270759298,0.997,0.997,1.27E-08
ACC,MAMLD1,2.85E-13,0.281591615,0.831,0.699,1.43E-08
ACC,LY6H,3.12E-13,0.301137379,0.831,0.734,1.57E-08
ACC,LOC105377574,7.12E-13,0.279103409,0.951,0.892,3.58E-08
ACC,ATP10A,4.71E-12,0.337071464,0.628,0.466,2.37E-07
ACC,ANKRD30B,7.22E-12,0.331675345,0.507,0.356,3.63E-07
ACC,ACAP3,1.67E-11,0.268780417,0.902,0.861,8.39E-07
ACC,LOC102724676,2.91E-11,0.30785016,0.874,0.794,1.46E-06
ACC,PCSK2,3.24E-11,0.305567441,0.988,0.984,1.63E-06
ACC,XKR4,8.18E-11,0.288243681,0.98,0.97,4.11E-06
ACC,CELF2-AS2,1.02E-10,0.362529689,0.731,0.674,5.15E-06
ACC,IGSF21,1.04E-10,0.312081051,0.989,0.977,5.24E-06
ACC,TMSB10,1.07E-10,0.266872473,0.771,0.694,5.36E-06
ACC,CTNNA3,2.87E-10,0.271497306,0.912,0.891,1.44E-05
ACC,KCND3,2.96E-10,0.270943283,0.949,0.916,1.49E-05
ACC,MEF2C,2.38E-09,0.253682671,0.998,0.996,0.000119505
ACC,LOC401478,6.84E-09,0.451535831,0.764,0.737,0.000344137
ACC,OR2AG2,2.09E-08,0.252896889,0.961,0.949,0.001050981
ACC,SEMA5A,5.13E-08,0.30770944,0.672,0.512,0.002578897
ACC,MPPED2,9.18E-08,0.265916183,0.961,0.937,0.004615799
ACC,C5orf17,8.26E-07,0.291748027,0.395,0.299,0.041540859
ACC,KCNQ1OT1,4.85E-05,0.269394347,0.973,0.974,1
ACC,SORCS3,5.04E-05,0.275229941,0.96,0.811,1
ACC,ND1,0.00411133,0.342666985,0.599,0.596,1
ACC,RNR1,0.004787999,0.305089196,0.749,0.729,1
DFC,GALNT13,6.66E-42,0.48596619,0.957,0.809,3.35E-37
DFC,FSTL5,1.01E-30,0.631600528,0.741,0.499,5.08E-26
DFC,GRIK3,4.12E-28,0.364548311,0.968,0.854,2.07E-23
DFC,ACTN4,5.99E-28,0.295733645,0.937,0.826,3.01E-23
DFC,LOC105378209,1.87E-26,0.385153316,0.561,0.249,9.41E-22
DFC,MIAT,1.27E-24,0.328736262,0.999,0.993,6.38E-20
DFC,EPHA10,5.35E-23,0.33940727,0.96,0.864,2.69E-18
DFC,SNX29,1.03E-22,0.320343276,0.993,0.983,5.17E-18
DFC,LINC00486,4.48E-22,0.423262121,0.978,0.972,2.25E-17
DFC,LINC01322,2.49E-20,0.334848381,0.928,0.837,1.25E-15
DFC,CBLN2,2.74E-20,0.393694392,0.998,0.966,1.38E-15
DFC,WBSCR17,2.62E-19,0.264463946,0.999,0.998,1.32E-14
DFC,LOC101927745,3.60E-19,0.508663022,0.932,0.762,1.81E-14
DFC,CABP1,5.89E-18,0.292897648,0.999,0.999,2.96E-13
DFC,EPB41L2,4.81E-17,0.288444371,0.993,0.987,2.42E-12
DFC,CLEC2L,8.03E-17,0.306940247,0.998,0.99,4.04E-12
DFC,SLC35F3,1.13E-16,0.298585378,0.999,0.996,5.69E-12
DFC,MAPK4,3.97E-16,0.29321534,0.97,0.928,2.00E-11
DFC,ZBTB7C,4.15E-16,0.288325652,0.766,0.571,2.09E-11
DFC,TMEM132C,6.06E-16,0.287441206,0.88,0.678,3.05E-11
DFC,GPC6,6.25E-16,0.482651152,0.996,0.922,3.14E-11
DFC,SEMA3E,8.55E-16,0.302254163,0.454,0.225,4.30E-11
DFC,SLC39A11,4.80E-15,0.259857701,0.993,0.989,2.42E-10
DFC,RBFOX3,1.31E-13,0.250097313,0.996,0.991,6.59E-09
DFC,CHST11,2.90E-13,0.262027247,0.907,0.86,1.46E-08
DFC,PROM1,6.19E-13,0.296580482,0.365,0.172,3.11E-08
DFC,TMTC1,8.60E-13,0.257528543,0.995,0.995,4.32E-08
DFC,RREB1,5.95E-10,0.268851198,0.778,0.521,2.99E-05
DFC,OTOGL,8.13E-10,0.310786423,0.847,0.693,4.09E-05
DFC,ANGPT1,2.69E-09,0.30079449,0.718,0.539,0.000135161
DFC,LOC105371124,5.01E-09,0.280042877,0.89,0.815,0.000252037
DFC,NCAM2,1.00E-08,0.273384025,0.998,0.994,0.000504536
DFC,LOC105373893,1.37E-08,0.291339337,0.743,0.619,0.000690456
DFC,LOC105374529,5.06E-08,0.308235618,0.901,0.873,0.002545831
DFC,LOC105379290,7.87E-08,0.257982096,0.816,0.704,0.00395508
DFC,LOC105371308,1.20E-07,0.269749651,0.438,0.319,0.006039837
DFC,CDH11,3.10E-07,0.2708106,0.957,0.904,0.015606719
DFC,LOC105378334,1.14E-06,0.305557432,0.67,0.6,0.057085026
DFC,TMTC2,4.30E-06,0.273387619,0.988,0.979,0.216035459
DFC,LINC00922,4.39E-06,0.498459157,0.449,0.267,0.220632889
DFC,FAM19A5,7.23E-06,0.299085383,0.926,0.896,0.363670883
DFC,LOC101930091,8.22E-06,0.276845118,0.917,0.902,0.413352346
