p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
0,2.43112955717574,0.774,0.032,0,Oligo,FA2H,V1
0,2.42706660630808,0.75,0.057,0,Oligo,SHROOM4,V1
0,2.40932239247108,0.756,0.019,0,Oligo,SLCO1A2,V1
0,2.40415818519255,0.814,0.186,0,Oligo,PLD1,V1
0,2.39439965107811,0.75,0.069,0,Oligo,GPR37,V1
0,2.39202365225916,0.732,0.009,0,Oligo,FOLH1,V1
0,2.34470941605784,0.698,0.019,0,Oligo,RNASE1,V1
0,2.33726822601731,0.72,0.014,0,Oligo,CARNS1,V1
0,2.32265917140605,0.736,0.098,0,Oligo,SCD,V1
0,2.31809016038043,0.742,0.125,0,Oligo,CDK18,V1
0,2.31348787078773,0.702,0.005,0,Oligo,TRIM59,V1
0,2.30128745463076,0.708,0.033,0,Oligo,LINC00639,V1
0,2.29546794079099,0.54,0.06,0,Oligo,LINC01170,V1
0,2.27725205142065,0.69,0.017,0,Oligo,PPP1R14A,V1
0,2.27687444447599,0.726,0.073,0,Oligo,ANLN,V1
0,2.20955572941125,0.74,0.049,0,Oligo,PLLP,V1
0,2.17032570073323,0.704,0.015,0,Oligo,MYRF,V1
0,2.1575267771657,0.716,0.06,0,Oligo,TMEM63A,V1
0,2.1463976206175,0.822,0.101,0,Oligo,DAAM2,V1
0,2.13982277719936,0.748,0.118,0,Oligo,ATP10B,V1
0,2.12973134064234,0.738,0.046,0,Oligo,PLA2G16,V1
0,2.12777104908109,0.702,0.112,0,Oligo,CAPN3,V1
0,2.12711410540474,0.732,0.105,0,Oligo,MEGF10,V1
0,2.10750731916762,0.642,0.04,0,Oligo,PRR5L,V1
0,2.10217158640269,0.68,0.115,0,Oligo,VRK2,V1
0,2.07354242862013,0.756,0.09,0,Oligo,RFTN2,V1
0,2.07084756070722,0.558,0.019,0,Oligo,ITGA2,V1
0,2.05816109490951,0.664,0.02,0,Oligo,MAL,V1
0,1.96646846350642,0.616,0.023,0,Oligo,EVI2A,V1
0,1.96146162815349,0.608,0.084,0,Oligo,LDB3,V1
0,1.9549999673529601,0.636,0.103,0,Oligo,HAPLN2,V1
0,1.94701602268429,0.66,0.043,0,Oligo,TTYH2,V1
0,1.94470379176707,0.636,0.069,0,Oligo,S100B,V1
0,1.93731955312187,0.63,0.049,0,Oligo,ERBB3,V1
0,1.91867415701674,0.58,0.085,0,Oligo,PIEZO2,V1
0,1.90659338705228,0.656,0.052,0,Oligo,PMP22,V1
0,1.90582829497627,0.69,0.094,0,Oligo,APOD,V1
0,1.89342866325232,0.608,0.047,0,Oligo,CD9,V1
0,1.88031828376391,0.596,0.019,0,Oligo,ASPA,V1
0,1.85515199307598,0.56,0.007,0,Oligo,NKX6-2,V1
0,1.83788362785327,0.502,0.02,0,Oligo,LRP2,V1
0,1.83651157235087,0.574,0.009,0,Oligo,ERMN,V1
0,1.8281138164254,0.564,0.007,0,Oligo,SH3TC2,V1
0,1.79633945799815,0.518,0.06,0,Oligo,LINC00320,V1
0,1.74442665580916,0.556,0.003,0,Oligo,TMEM235,V1
0,1.69287196500439,0.512,0.018,0,Oligo,TMEM98,V1
0,1.66144229167174,0.506,0.041,0,Oligo,NINJ2,V1
0,1.63299591919139,0.5,0.038,0,Oligo,LOC100130370,V1
0,1.62294717482114,0.5,0.015,0,Oligo,CDH19,V1
0,1.57276149544855,0.494,0.018,0,Oligo,HSPA2,V1
0,1.5724403920606,0.518,0.04,0,Oligo,SLC31A2,V1
0,1.54336157863335,0.488,0.033,0,Oligo,SEMA3B,V1
0,1.52371604394215,0.528,0.038,0,Oligo,KIAA1755,V1
0,1.5103474718849,0.418,0.005,0,Oligo,LOC105375483,V1
0,1.49822113729817,0.59,0.076,0,Oligo,HEPACAM,V1
0,1.48966855666471,0.484,0.05,0,Oligo,CPM,V1
0,1.3934714602522,0.41,0.015,0,Oligo,LINC00844,V1
0,1.38826169908198,0.4,0.026,0,Oligo,LOC101927199,V1
0,1.36913251442407,0.406,0.012,0,Oligo,LOC100506725,V1
0,1.34956272768108,0.534,0.057,0,Oligo,ZCCHC24,V1
0,1.29569121088355,0.41,0.003,0,Oligo,KLK6,V1
0,1.24230847380273,0.406,0.013,0,Oligo,CMTM5,V1
0,1.23359961888448,0.372,0.008,0,Oligo,CD22,V1
0,1.15725872931056,0.336,0.019,0,Oligo,LOC102724289,V1
0,1.06501282718776,0.338,0.007,0,Oligo,PPAP2C,V1
0,1.02185346114642,0.32,0.003,0,Oligo,TMEM125,V1
0,1.01484819366519,0.278,0.005,0,Oligo,LOC100507377,V1
0,1.00761647478676,0.286,0.005,0,Oligo,LOC255187,V1
2.04130269543274e-293,3.07193943388507,0.94,0.423,1.02638740830417e-293,Oligo,DPYD,V1
