Cell group,Covariate,Cell Type,Effect Size
Neurons,DLPFC,Lamp5_3,-0.624818752
Neurons,DLPFC,Lamp5_4,0.422033525
Neurons,DLPFC,Lamp5_1,0
Neurons,DLPFC,Lamp5_7,0
Neurons,DLPFC,Lamp5_5,0.553188722
Neurons,DLPFC,Lamp5_6,0
Neurons,DLPFC,Pax6_2,0
Neurons,DLPFC,Pax6_4,0
Neurons,DLPFC,Pax6_1,0
Neurons,DLPFC,Pax6_3,0
Neurons,DLPFC,Sncg_4,0
Neurons,DLPFC,Sncg_7,0
Neurons,DLPFC,Sncg_1,0
Neurons,DLPFC,Sncg_2,0.722735855
Neurons,DLPFC,Sncg_5,0.526185156
Neurons,DLPFC,Sncg_3,0
Neurons,DLPFC,Sncg_6,0
Neurons,DLPFC,Sncg_8,0
Neurons,DLPFC,Vip_28,0
Neurons,DLPFC,Vip_5,0
Neurons,DLPFC,Vip_25,0
Neurons,DLPFC,Vip_26,0
Neurons,DLPFC,Vip_29,0
Neurons,DLPFC,Vip_16,0
Neurons,DLPFC,Vip_7,0
Neurons,DLPFC,Vip_27,0
Neurons,DLPFC,Vip_8,0
Neurons,DLPFC,Vip_17,0
Neurons,DLPFC,Vip_21,0
Neurons,DLPFC,Vip_15,0
Neurons,DLPFC,Vip_23,0
Neurons,DLPFC,Vip_12,0
Neurons,DLPFC,Vip_24,0
Neurons,DLPFC,Vip_3,0
Neurons,DLPFC,Vip_22,0
Neurons,DLPFC,Vip_9,0
Neurons,DLPFC,Vip_18,0
Neurons,DLPFC,Vip_4,0
Neurons,DLPFC,Vip_14,0
Neurons,DLPFC,Vip_6,0
Neurons,DLPFC,Vip_10,0
Neurons,DLPFC,Vip_11,0
Neurons,DLPFC,Vip_20,0
Neurons,DLPFC,Vip_13,0
Neurons,DLPFC,Vip_2,0
Neurons,DLPFC,Vip_1,0
Neurons,DLPFC,Vip_19,0
Neurons,M1,L5/6 NP_4,0
Neurons,M1,L5/6 NP_2,0
Neurons,M1,L5/6 NP_3,1.476170538
Neurons,M1,L5/6 NP_6,1.790263508
Neurons,M1,L5/6 NP_1,0
Neurons,M1,L5/6 NP_5,0
Neurons,M1,L6 IT Car3_1,0
Neurons,M1,L6 IT Car3_2,0
Neurons,M1,L5 ET_4,0
Neurons,M1,L5 ET_3,0
Neurons,M1,L5 ET_1,2.407258157
Neurons,M1,L5 ET_2,0.690841868
Neurons,M1,L6b_4,0
Neurons,M1,L6b_3,0
Neurons,M1,L6b_6,-0.851613981
Neurons,M1,L6b_2,0
Neurons,M1,L6b_1,0
Neurons,M1,L6b_5,0
Neurons,M1,L6 CT_2,0
Neurons,M1,L6 CT_1,0.697120688
Neurons,M1,L6 CT_3,0.526112447
Neurons,M1,L6 IT_1,0
Neurons,M1,L6 IT_2,0.495453216
Neurons,M1,L2/3 IT_6,0
Neurons,M1,L2/3 IT_3,3.095726165
Neurons,M1,L2/3 IT_4,3.087601455
Neurons,M1,L2/3 IT_2,0
Neurons,M1,L2/3 IT_1,0
Neurons,M1,L2/3 IT_5,1.657863756
Neurons,M1,L4 IT_5,0.85710234
Neurons,M1,L4 IT_1,-0.977434583
Neurons,M1,L5 IT_6,-0.864756185
Neurons,M1,L5 IT_4,0
Neurons,M1,L5 IT_5,0
Neurons,M1,L5 IT_1,0
Neurons,M1,L5 IT_2,0
Neurons,M1,L5 IT_3,0
Neurons,M1,L4 IT_2,0
Neurons,M1,L4 IT_6,0
Neurons,M1,L4 IT_3,0
Neurons,M1,L4 IT_4,0
Neurons,M1,Chandelier_1,0
Neurons,M1,Pvalb_7,0
Neurons,M1,Pvalb_9,0
Neurons,M1,Pvalb_8,0
Neurons,M1,Pvalb_4,0
Neurons,M1,Pvalb_6,0.494746035
Neurons,M1,Pvalb_1,0
Neurons,M1,Pvalb_5,0
Neurons,M1,Pvalb_3,0
Neurons,M1,Sst_31,0
Neurons,M1,Sst_24,0
Neurons,M1,Pvalb_2,0
Neurons,M1,Sst_36,0
Neurons,M1,Sst_16,0
Neurons,M1,Sst_19,0
Neurons,M1,Sst_37,0
Neurons,M1,Sst_4,0
Neurons,M1,Sst_10,0
Neurons,M1,Sst_7,0
Neurons,M1,Sst_26,0
Neurons,M1,Sst_30,0
Neurons,M1,Sst_17,0
Neurons,M1,Sst_21,0
Neurons,M1,Sst_35,0
Neurons,M1,Sst_5,0
Neurons,M1,Sst_33,0
Neurons,M1,Sst_12,0
Neurons,M1,Sst_25,0
Neurons,M1,Sst_32,0
Neurons,M1,Sst_14,0
Neurons,M1,Sst_6,0
Neurons,M1,Sst_20,0
Neurons,M1,Sst_34,0
Neurons,M1,Sst_3,0
Neurons,M1,Sst_13,0
Neurons,M1,Sst_23,0
Neurons,M1,Sst_28,0
Neurons,M1,Sst_15,0
Neurons,M1,Sst_2,0
Neurons,M1,Sst_11,0
Neurons,M1,Sst_8,-0.689566732
Neurons,M1,Sst_1,0
Neurons,M1,Sst_22,0
Neurons,M1,Sst_18,0
Neurons,M1,Sst_29,0
Neurons,M1,Sst_27,0
Neurons,M1,Sst_9,0
Neurons,M1,Sst Chodl_1,0
Neurons,M1,Lamp5 Lhx6_1,0
Neurons,M1,Lamp5_2,0
Neurons,M1,Lamp5_3,0
Neurons,M1,Lamp5_4,0
Neurons,M1,Lamp5_1,0
Neurons,M1,Lamp5_7,0
Neurons,M1,Lamp5_5,0
Neurons,M1,Lamp5_6,0
Neurons,M1,Pax6_2,0
Neurons,M1,Pax6_4,0
Neurons,M1,Pax6_1,0
Neurons,M1,Pax6_3,0
Neurons,M1,Sncg_4,0
Neurons,M1,Sncg_7,0
Neurons,M1,Sncg_1,0
Neurons,M1,Sncg_2,0
Neurons,M1,Sncg_5,0
Neurons,M1,Sncg_3,0
Neurons,M1,Sncg_6,0
Neurons,M1,Sncg_8,0
Neurons,M1,Vip_28,0
Neurons,M1,Vip_5,0
Neurons,M1,Vip_25,0
Neurons,M1,Vip_26,0.71816758
Neurons,M1,Vip_29,0
Neurons,M1,Vip_16,0
Neurons,M1,Vip_7,0
Neurons,M1,Vip_27,0
Neurons,M1,Vip_8,0
Neurons,M1,Vip_17,0
Neurons,M1,Vip_21,0
Neurons,M1,Vip_15,0
Neurons,M1,Vip_23,0
Neurons,M1,Vip_12,0
Neurons,M1,Vip_24,0
Neurons,M1,Vip_3,0
Neurons,M1,Vip_22,0
Neurons,M1,Vip_9,0
Neurons,M1,Vip_18,0
Neurons,M1,Vip_4,0
Neurons,M1,Vip_14,0
Neurons,M1,Vip_6,0
Neurons,M1,Vip_10,0
Neurons,M1,Vip_11,0
Neurons,M1,Vip_20,0
Neurons,M1,Vip_13,0
Neurons,M1,Vip_2,0
Neurons,M1,Vip_1,0
Neurons,M1,Vip_19,0
Neurons,S1,L5/6 NP_4,0
Neurons,S1,L5/6 NP_2,0
Neurons,S1,L5/6 NP_3,1.26533139
Neurons,S1,L5/6 NP_6,0
Neurons,S1,L5/6 NP_1,0
Neurons,S1,L5/6 NP_5,-0.890132119
Neurons,S1,L6 IT Car3_1,0
Neurons,S1,L6 IT Car3_2,0
Neurons,S1,L5 ET_4,0
Neurons,S1,L5 ET_3,0
Neurons,S1,L5 ET_1,1.363321172
Neurons,S1,L5 ET_2,0
Neurons,S1,L6b_4,0
Neurons,S1,L6b_3,0
Neurons,S1,L6b_6,0
Neurons,S1,L6b_2,0
Neurons,S1,L6b_1,0
Neurons,S1,L6b_5,0
Neurons,S1,L6 CT_2,0
Neurons,S1,L6 CT_1,0
Neurons,S1,L6 CT_3,0
Neurons,S1,L6 IT_1,0
Neurons,S1,L6 IT_2,0
Neurons,S1,L2/3 IT_6,0
Neurons,S1,L2/3 IT_3,1.931712926
Neurons,S1,L2/3 IT_4,2.007396157
Neurons,S1,L2/3 IT_2,0
Neurons,S1,L2/3 IT_1,0.3080968
Neurons,S1,L2/3 IT_5,0.828508954
Neurons,S1,L4 IT_5,0
Neurons,S1,L4 IT_1,-0.205811163
Neurons,S1,L5 IT_6,-0.545297939
Neurons,S1,L5 IT_4,0
Neurons,S1,L5 IT_5,0
Neurons,S1,L5 IT_1,0
Neurons,S1,L5 IT_2,0.064467202
Neurons,S1,L5 IT_3,0
Neurons,S1,L4 IT_2,0
Neurons,S1,L4 IT_6,0
Neurons,S1,L4 IT_3,0
Neurons,S1,L4 IT_4,0
Neurons,S1,Chandelier_1,0.392441914
Neurons,S1,Pvalb_7,0
Neurons,S1,Pvalb_9,0
Neurons,S1,Pvalb_8,0
Neurons,S1,Pvalb_4,0
Neurons,S1,Pvalb_6,0
Neurons,S1,Pvalb_1,0
Neurons,S1,Pvalb_5,0
Neurons,S1,Pvalb_3,0
Neurons,S1,Sst_31,0
Neurons,S1,Sst_24,0
Neurons,S1,Pvalb_2,0
Neurons,S1,Sst_36,0
Neurons,S1,Sst_16,0
Neurons,S1,Sst_19,0
Neurons,S1,Sst_37,0
Neurons,S1,Sst_4,0
Neurons,S1,Sst_10,0
Neurons,S1,Sst_7,0
Neurons,S1,Sst_26,0
Neurons,S1,Sst_30,0
Neurons,S1,Sst_17,0
Neurons,S1,Sst_21,0
Neurons,S1,Sst_35,0
Neurons,S1,Sst_5,0
Neurons,S1,Sst_33,0
Neurons,S1,Sst_12,0
Neurons,S1,Sst_25,0
Neurons,S1,Sst_32,0
Neurons,S1,Sst_14,0
Neurons,S1,Sst_6,0
Neurons,S1,Sst_20,0
Neurons,S1,Sst_34,0
Neurons,S1,Sst_3,0
Neurons,S1,Sst_13,0
Neurons,S1,Sst_23,0
Neurons,S1,Sst_28,0
Neurons,S1,Sst_15,0
Neurons,S1,Sst_2,0
Neurons,S1,Sst_11,0
Neurons,S1,Sst_8,0
Neurons,S1,Sst_1,0
Neurons,S1,Sst_22,0
Neurons,S1,Sst_18,0
Neurons,S1,Sst_29,0
Neurons,S1,Sst_27,0
Neurons,S1,Sst_9,0
Neurons,S1,Sst Chodl_1,0
Neurons,S1,Lamp5 Lhx6_1,0
Neurons,S1,Lamp5_2,0
Neurons,S1,Lamp5_3,0
Neurons,S1,Lamp5_4,0
Neurons,S1,Lamp5_1,0
Neurons,S1,Lamp5_7,0
Neurons,S1,Lamp5_5,0
Neurons,S1,Lamp5_6,0
Neurons,S1,Pax6_2,0
Neurons,S1,Pax6_4,0
Neurons,S1,Pax6_1,0
Neurons,S1,Pax6_3,0
Neurons,S1,Sncg_4,0
Neurons,S1,Sncg_7,0
Neurons,S1,Sncg_1,0
Neurons,S1,Sncg_2,0
Neurons,S1,Sncg_5,0
Neurons,S1,Sncg_3,0
Neurons,S1,Sncg_6,0
Neurons,S1,Sncg_8,0
Neurons,S1,Vip_28,0
Neurons,S1,Vip_5,0
Neurons,S1,Vip_25,0
Neurons,S1,Vip_26,0
Neurons,S1,Vip_29,0
Neurons,S1,Vip_16,0
Neurons,S1,Vip_7,0
Neurons,S1,Vip_27,0
Neurons,S1,Vip_8,0
Neurons,S1,Vip_17,0
Neurons,S1,Vip_21,0
Neurons,S1,Vip_15,0
Neurons,S1,Vip_23,0
Neurons,S1,Vip_12,0
Neurons,S1,Vip_24,0
Neurons,S1,Vip_3,0
Neurons,S1,Vip_22,0
Neurons,S1,Vip_9,0
Neurons,S1,Vip_18,0
Neurons,S1,Vip_4,0
Neurons,S1,Vip_14,0
Neurons,S1,Vip_6,0
Neurons,S1,Vip_10,0
Neurons,S1,Vip_11,0
Neurons,S1,Vip_20,0
Neurons,S1,Vip_13,0
Neurons,S1,Vip_2,0
Neurons,S1,Vip_1,0
Neurons,S1,Vip_19,0
Neurons,MTG,L5/6 NP_4,0.723537264
Neurons,MTG,L5/6 NP_2,0
Neurons,MTG,L5/6 NP_3,0
Neurons,MTG,L5/6 NP_6,0
Neurons,MTG,L5/6 NP_1,0
Neurons,MTG,L5/6 NP_5,0.839123849
Neurons,MTG,L6 IT Car3_1,0
Neurons,MTG,L6 IT Car3_2,0
Neurons,MTG,L5 ET_4,0
Neurons,MTG,L5 ET_3,0.888468391
Neurons,MTG,L5 ET_1,0
Neurons,MTG,L5 ET_2,0
Neurons,MTG,L6b_4,0
Neurons,MTG,L6b_3,1.142533173
Neurons,MTG,L6b_6,0
Neurons,MTG,L6b_2,0
Neurons,MTG,L6b_1,0
Neurons,MTG,L6b_5,0
Neurons,MTG,L6 CT_2,0
Neurons,MTG,L6 CT_1,0
Neurons,MTG,L6 CT_3,0
Neurons,MTG,L6 IT_1,0
Neurons,MTG,L6 IT_2,0
Neurons,MTG,L2/3 IT_6,0.417663495
Neurons,MTG,L2/3 IT_3,0
Neurons,MTG,L2/3 IT_4,0
Neurons,MTG,L2/3 IT_2,0
Neurons,MTG,L2/3 IT_1,0
Neurons,MTG,L2/3 IT_5,0
Neurons,MTG,L4 IT_5,0
Neurons,MTG,L4 IT_1,1.734332496
Neurons,MTG,L5 IT_6,0
Neurons,MTG,L5 IT_4,0
Neurons,MTG,L5 IT_5,0
Neurons,MTG,L5 IT_1,0
Neurons,MTG,L5 IT_2,1.003355857
Neurons,MTG,L5 IT_3,0
Neurons,MTG,L4 IT_2,0
Neurons,MTG,L4 IT_6,0
Neurons,MTG,L4 IT_3,0
Neurons,MTG,L4 IT_4,0
Neurons,MTG,Chandelier_1,0
Neurons,MTG,Pvalb_7,0
Neurons,MTG,Pvalb_9,0
Neurons,MTG,Pvalb_8,0
Neurons,MTG,Pvalb_4,0.757108873
Neurons,MTG,Pvalb_6,0
Neurons,MTG,Pvalb_1,0
Neurons,MTG,Pvalb_5,0
Neurons,MTG,Pvalb_3,0.61457777
Neurons,MTG,Sst_31,0
Neurons,MTG,Sst_24,0
Neurons,MTG,Pvalb_2,0
Neurons,MTG,Sst_36,0
Neurons,MTG,Sst_16,0
Neurons,MTG,Sst_19,0
Neurons,MTG,Sst_37,0
Neurons,MTG,Sst_4,0
Neurons,MTG,Sst_10,0
Neurons,MTG,Sst_7,0
Neurons,MTG,Sst_26,0
Neurons,MTG,Sst_30,0
Neurons,MTG,Sst_17,0
Neurons,MTG,Sst_21,0
Neurons,MTG,Sst_35,0
Neurons,MTG,Sst_5,0
Neurons,MTG,Sst_33,0
Neurons,MTG,Sst_12,0
Neurons,MTG,Sst_25,0.751786954
Neurons,MTG,Sst_32,0.567303499
Neurons,MTG,Sst_14,0
Neurons,MTG,Sst_6,0
Neurons,MTG,Sst_20,0
Neurons,MTG,Sst_34,0
Neurons,MTG,Sst_3,0
Neurons,MTG,Sst_13,0
Neurons,MTG,Sst_23,0
Neurons,MTG,Sst_28,0
Neurons,MTG,Sst_15,0
Neurons,MTG,Sst_2,0
Neurons,MTG,Sst_11,0
Neurons,MTG,Sst_8,0
Neurons,MTG,Sst_1,0
Neurons,MTG,Sst_22,0
Neurons,MTG,Sst_18,0
Neurons,MTG,Sst_29,0
Neurons,MTG,Sst_27,0
Neurons,MTG,Sst_9,0
Neurons,MTG,Sst Chodl_1,0
Neurons,MTG,Lamp5 Lhx6_1,0
Neurons,MTG,Lamp5_2,0
Neurons,MTG,Lamp5_3,0
Neurons,MTG,Lamp5_4,0
Neurons,MTG,Lamp5_1,0
Neurons,MTG,Lamp5_7,0
Neurons,MTG,Lamp5_5,0
Neurons,MTG,Lamp5_6,0
Neurons,MTG,Pax6_2,0
Neurons,MTG,Pax6_4,0
Neurons,MTG,Pax6_1,0
Neurons,MTG,Pax6_3,0
Neurons,MTG,Sncg_4,0
Neurons,MTG,Sncg_7,0
Neurons,MTG,Sncg_1,0
Neurons,MTG,Sncg_2,0
Neurons,MTG,Sncg_5,0
Neurons,MTG,Sncg_3,0
Neurons,MTG,Sncg_6,0
Neurons,MTG,Sncg_8,0
Neurons,MTG,Vip_28,0
Neurons,MTG,Vip_5,0
Neurons,MTG,Vip_25,0
Neurons,MTG,Vip_26,0
Neurons,MTG,Vip_29,0
Neurons,MTG,Vip_16,0
Neurons,MTG,Vip_7,0
Neurons,MTG,Vip_27,0
Neurons,MTG,Vip_8,0
Neurons,MTG,Vip_17,0
Neurons,MTG,Vip_21,0
Neurons,MTG,Vip_15,0
Neurons,MTG,Vip_23,0.465767905
Neurons,MTG,Vip_12,0.534485347
Neurons,MTG,Vip_24,0.516356123
Neurons,MTG,Vip_3,0
Neurons,MTG,Vip_22,0
Neurons,MTG,Vip_9,0.745082601
Neurons,MTG,Vip_18,0
Neurons,MTG,Vip_4,0
Neurons,MTG,Vip_14,0
Neurons,MTG,Vip_6,0
Neurons,MTG,Vip_10,0
Neurons,MTG,Vip_11,0
Neurons,MTG,Vip_20,0
Neurons,MTG,Vip_13,0
Neurons,MTG,Vip_2,0.61881779
Neurons,MTG,Vip_1,0.495561793
Neurons,MTG,Vip_19,0
Neurons,A1,L5/6 NP_4,0
Neurons,A1,L5/6 NP_2,0
Neurons,A1,L5/6 NP_3,0
Neurons,A1,L5/6 NP_6,0
Neurons,A1,L5/6 NP_1,0
Neurons,A1,L5/6 NP_5,0
Neurons,A1,L6 IT Car3_1,0
Neurons,A1,L6 IT Car3_2,0
Neurons,A1,L5 ET_4,0
Neurons,A1,L5 ET_3,0.680069098
Neurons,A1,L5 ET_1,0
Neurons,A1,L5 ET_2,0
Neurons,A1,L6b_4,0
Neurons,A1,L6b_3,0.66098083
Neurons,A1,L6b_6,0
Neurons,A1,L6b_2,-0.205317376
Neurons,A1,L6b_1,0
Neurons,A1,L6b_5,0
Neurons,A1,L6 CT_2,0
Neurons,A1,L6 CT_1,0
Neurons,A1,L6 CT_3,0
Neurons,A1,L6 IT_1,0
Neurons,A1,L6 IT_2,0
Neurons,A1,L2/3 IT_6,0
Neurons,A1,L2/3 IT_3,0
Neurons,A1,L2/3 IT_4,0
Neurons,A1,L2/3 IT_2,0
Neurons,A1,L2/3 IT_1,0.758355733
Neurons,A1,L2/3 IT_5,0.871792374
Neurons,A1,L4 IT_5,0
Neurons,A1,L4 IT_1,0.691393158
Neurons,A1,L5 IT_6,0
Neurons,A1,L5 IT_4,0
Neurons,A1,L5 IT_5,0
Neurons,A1,L5 IT_1,0.877899891
Neurons,A1,L5 IT_2,0
Neurons,A1,L5 IT_3,0
Neurons,A1,L4 IT_2,0
Neurons,A1,L4 IT_6,0
Neurons,A1,L4 IT_3,0
Neurons,A1,L4 IT_4,0
Neurons,A1,Chandelier_1,0
Neurons,A1,Pvalb_7,0
Neurons,A1,Pvalb_9,0
Neurons,A1,Pvalb_8,0
Neurons,A1,Pvalb_4,0
Neurons,A1,Pvalb_6,0
Neurons,A1,Pvalb_1,0
Neurons,A1,Pvalb_5,0
Neurons,A1,Pvalb_3,0
Neurons,A1,Sst_31,0
Neurons,A1,Sst_24,0
Neurons,A1,Pvalb_2,0
Neurons,A1,Sst_36,0
