p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
6.559495247631449e-168,1.05736284428285,0.878,0.346,3.29817980546157e-163,Lamp5_1,PLCXD3,A1
1.6463866982956098e-167,1.05301033011419,0.962,0.593,8.278196957700179e-163,Lamp5_1,RAB3IP,A1
9.815099159030919e-167,1.05645186309601,0.97,0.459,4.935130008152339e-162,Lamp5_1,DLX6-AS1,A1
3.9225773826183394e-166,1.23508406538422,0.994,0.881,1.9723111337543296e-161,Lamp5_1,EXT1,A1
9.923381263535799e-164,1.12122175579282,0.992,0.703,4.989575333118439e-159,Lamp5_1,KIAA1211,A1
2.6700856382805996e-163,1.08901222668897,0.996,0.813,1.3425457597838699e-158,Lamp5_1,UNC5C,A1
5.4782428455751093e-163,1.14495285811666,0.982,0.596,2.7545152851836197e-158,Lamp5_1,CCDC85A,A1
4.7257007874506695e-157,1.09661911416626,0.976,0.651,2.37612961293807e-152,Lamp5_1,PIP5K1B,A1
9.718967063438388e-156,1.08960264228248,0.98,0.67,4.88679382916745e-151,Lamp5_1,BRINP2,A1
2.41023306773949e-155,1.08624966741929,0.972,0.739,1.2118892887900898e-150,Lamp5_1,ABI1,A1
5.636190257073759e-148,1.01661388032314,1,0.88,2.83393282315926e-143,Lamp5_1,DPP6,A1
9.879899794295579e-148,1.09081476042684,0.998,0.787,4.96771241556976e-143,Lamp5_1,DGKB,A1
7.124199599153539e-147,1.14593423299544,1,0.763,3.58211880045039e-142,Lamp5_1,PTPRM,A1
2.0092647123656695e-146,1.01083184219718,0.998,0.864,1.0102783900245798e-141,Lamp5_1,PRKCB,A1
2.3075861509605297e-141,1.02270740192377,0.99,0.674,1.1602773925644697e-136,Lamp5_1,MAP3K5,A1
3.1811239219653694e-141,1.64992024914069,0.83,0.37,1.5995009192034097e-136,Lamp5_1,SLC6A1-AS1,A1
4.6914193599982696e-141,1.12799700321956,0.988,0.741,2.3588925684007298e-136,Lamp5_1,NETO1,A1
1.89566542082677e-134,1.02291279454426,0.994,0.632,9.53159530245907e-130,Lamp5_1,FSTL5,A1
4.1779407519328697e-128,1.81510808093123,0.916,0.674,2.1007103894793698e-123,Lamp5_1,CDH13,A1
1.05156935585868e-127,1.00603658492254,0.982,0.778,5.28739587819303e-123,Lamp5_1,MCTP1,A1
1.45806949977543e-126,1.0024292597434,0.996,0.872,7.33131925182085e-122,Lamp5_1,CNTNAP5,A1
9.01585450092836e-51,1.12622422013988,0.558,0.272,4.5332618016117906e-46,Lamp5_1,RELN,A1
0,2.17414143725035,0.982,0.128,0,Lamp5_3,SV2C,A1
0,1.81715695038792,0.964,0.11,0,Lamp5_3,LAMP5,A1
0,1.62008490660358,0.818,0.071,0,Lamp5_3,LOC101927870,A1
0,1.33199168849375,0.845,0.042,0,Lamp5_3,NDNF,A1
0,1.2176431994265,0.864,0.081,0,Lamp5_3,LINC00298,A1
0,1.19788290013142,0.782,0.048,0,Lamp5_3,MYH11,A1
7.41569779087288e-293,1.63240829421913,0.85,0.105,3.728687006228989e-292,Lamp5_3,PDGFD,A1
9.56629494022217e-293,1.57055475161205,0.927,0.132,4.810028758893119e-292,Lamp5_3,BMP6,A1
2.02080292919559e-292,1.8685363370021,0.982,0.155,1.0160799208288399e-287,Lamp5_3,KIT,A1
4.2589370590054196e-246,1.77444198304184,0.955,0.163,2.1414361426385195e-241,Lamp5_3,EYA4,A1
1.3729898677183895e-235,2.25924332234783,0.932,0.183,6.903530353874809e-231,Lamp5_3,TRPC3,A1
6.8806831269056975e-224,4.19250301017953,1,0.272,3.459676283039449e-219,Lamp5_3,RELN,A1
1.3082634377419997e-214,2.85898728288365,1,0.265,6.578079391310538e-210,Lamp5_3,LINC00299,A1
5.345286758752789e-188,1.44088453072288,0.909,0.216,2.6876636351684898e-183,Lamp5_3,FAT1,A1
7.12557423300371e-185,1.00817054371545,0.827,0.155,3.5828099800966e-180,Lamp5_3,DDR2,A1
3.0435365785418595e-183,2.72840052386464,0.995,0.365,1.53032062705663e-178,Lamp5_3,FREM1,A1
7.030089428807099e-177,1.07955334401392,0.868,0.173,3.534799265698499e-172,Lamp5_3,TPD52L1,A1
1.0153379407709698e-171,1.39804748326363,0.918,0.225,5.105220699990489e-167,Lamp5_3,CBLN4,A1
8.3476346390228e-167,1.35995864631097,0.914,0.227,4.1972741728470494e-162,Lamp5_3,PAPSS2,A1
1.5897265094709797e-166,1.13880332713851,0.882,0.194,7.993303862271049e-162,Lamp5_3,KAL1,A1
2.7448036952918894e-164,1.64870157002925,0.955,0.226,1.3801147460297199e-159,Lamp5_3,FBXL7,A1
1.2682749861814299e-158,1.95207785527713,0.995,0.278,6.37701345801883e-154,Lamp5_3,CXCL14,A1
2.9932317314803297e-146,1.63732414101438,0.991,0.314,1.5050268469056297e-141,Lamp5_3,EGFR,A1
6.39815848573277e-142,2.05828270742206,1,0.41,3.2170580682112995e-137,Lamp5_3,MYO16,A1
1.6104350270254097e-141,2.31015943169189,1,0.497,8.09742835938648e-137,Lamp5_3,FGF13,A1
4.458167316570099e-141,2.62664082482613,1,0.712,2.2416111084446096e-136,Lamp5_3,CACNA2D1,A1
2.1178305199406198e-138,2.3015048067723902,0.995,0.482,1.0648663637313399e-133,Lamp5_3,ALK,A1
1.58015162425462e-137,2.32100256938271,0.995,0.494,7.945160381914668e-133,Lamp5_3,HS3ST5,A1
1.0043927155378199e-135,2.63252234611665,1,0.768,5.050187012995719e-131,Lamp5_3,INPP4B,A1
1.5433352861276398e-133,2.13222245233005,1,0.401,7.76004415217838e-129,Lamp5_3,ADARB2,A1
1.9315062283798897e-133,1.96428359457487,1,0.521,9.71180646691693e-129,Lamp5_3,GAD2,A1
2.9878274230720296e-133,1.9637454832702,1,0.877,1.50230950659485e-128,Lamp5_3,GRIN2A,A1
7.116056668668498e-133,2.0780586988488,1,0.645,3.5780244535732097e-128,Lamp5_3,FRAS1,A1
1.7164554207470497e-132,1.72495234189531,0.986,0.419,8.630509501058229e-128,Lamp5_3,TOX3,A1
8.961709394916579e-131,2.01181733301474,0.995,0.649,4.50603710085801e-126,Lamp5_3,SLC6A1,A1
1.78375624853033e-127,1.4618673398886,1,0.946,8.96890479323533e-123,Lamp5_3,FGF14,A1
7.62591874141162e-125,1.91347719090892,0.991,0.679,3.83438820236918e-120,Lamp5_3,NYAP2,A1
