Species,Stephan_column,EvoM1_variable,Stephan_value,status,unit_rescale_flag,closest_nonmatching,all_matching_sources,metadata_reference
Alouatta_caraya,Brain_weight,Brain_Mass.mg,55800.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Ateles_geoffroyi,Brain_mass,Brain_Mass.mg,106400.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Avahi_occidentalis,Brain_weight,Brain_Mass.mg,9670.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; Stephan_etal_1981_TableII,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Cebus_albifrons,Brain_mass,Brain_Mass.mg,79800.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; Stephan_etal_1970_Table3,Bauernfeind et al 2013
Cercocebus_agilis,Brain_mass,Brain_Mass.mg,95300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Cercocebus_agilis,Brain_weight,Brain_Mass.mg,95300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Cercopithecus_mitis,Brain_mass,Brain_Mass.mg,71600.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Colobus_angolensis,Brain_mass,Brain_Mass.mg,74400.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1,Bauernfeind et al 2013
Colobus_angolensis,Brain_weight,Brain_Mass.mg,74400.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Galagoides_demidoff,Brain_mass,Brain_Mass.mg,3300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Homo_sapiens,Brain_mass,Brain_Mass.mg,1406720.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Hylobates_lar,Brain_mass,Brain_Mass.mg,92000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
