Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc,config,run_tag
Capsula interna,Pagel's lambda (ML),-0.518,15463,19456,24481,7008,-1.2064643259738799,-1.77628353243398,-2.4932584958345494,10,25.5,merged_histol,merged_histological_anthro
Striatum,Brownian (BM),1,10943,14176,18364,28689,0.618580663667801,0.505887743698408,0.35989893911721005,19,36.3,merged_histol,merged_histological_anthro
Striatum,Pagel's lambda (ML),1.03,10384,13383,17248,28689,0.6380582264451872,0.5335214293161811,0.398792090865785,19,36.3,merged_histol,merged_histological_anthro
Area striata grey,Brownian (BM),1,19967,34895,60985,15464,-0.291225286361029,-1.25662208957184,-2.9438069475041,17,35.8,merged_histol,merged_histological_anthro
Area striata grey,Pagel's lambda (ML),1.09,19309,35962,66977,15464,-0.24865965076686602,-1.3255798554434597,-3.33130169676171,17,35.8,merged_histol,merged_histological_anthro
Neocortex grey,Brownian (BM),1,512200,736590,1059300,574360,0.10822517968113804,-0.28246618959814207,-0.8443215596447251,7,33.5,merged_histol,merged_histological_anthro
Neocortex grey,Pagel's lambda (ML),-0.608,105750,127910,154730,574360,0.8158840196964071,0.7772906366222151,0.7306075200297529,7,33.5,merged_histol,merged_histological_anthro
Mesencephalon,Brownian (BM),1,3307.8,3660.9,4051.6,8087,0.590970737878242,0.547313270282691,0.498996051775995,19,25.3,merged_histol,merged_histological_anthro
Mesencephalon,Pagel's lambda (ML),0.501,5330.3,5904,6539.4,8087,0.340878245543273,0.26993805406622495,0.191362686337184,19,25.3,merged_histol,merged_histological_anthro
Cerebellum,Brownian (BM),1,37755,46361,56930,136800,0.7240238203308741,0.6611105456863348,0.583855163214793,19,29.8,merged_histol,merged_histological_anthro
Cerebellum,Pagel's lambda (ML),1.05,35149,42900,52360,136800,0.7430662140812229,0.6864112348832179,0.6172635947591749,19,29.8,merged_histol,merged_histological_anthro
Hippocampus,Brownian (BM),1,2683.1,4142.3,6395,10287,0.7391826087541209,0.597341347083127,0.378362040988353,19,25.7,merged_histol,merged_histological_anthro
Hippocampus,Pagel's lambda (ML),-0.8150000000000001,18486,25448,35031,10287,-0.796970800495679,-1.4736867440631698,-2.4052451526012195,19,25.7,merged_histol,merged_histological_anthro
Nucleus dentatus cerebelli,Brownian (BM),1,1136.9,1901.1,3179,1166.9,0.0256870552395911,-0.6292034041664649,-1.7242825279308103,17,24.2,merged_histol,merged_histological_anthro
Nucleus dentatus cerebelli,Pagel's lambda (ML),1.07,1070.1,1875.8,3287.8,1166.9,0.0829158852338233,-0.6074662970561578,-1.81756913522622,17,24.2,merged_histol,merged_histological_anthro
Corpus geniculatum laterale,Brownian (BM),1,322.04,433.28999999999996,582.98,373.67,0.138164302654747,-0.15957473567596503,-0.5601739075787321,30,23.1,merged_all_anthro,merged_all_anthro
Corpus geniculatum laterale,Pagel's lambda (ML),0.9440000000000001,317.17,430.33,583.8599999999999,373.67,0.15120298696632506,-0.15162854452610303,-0.5625035010752238,30,23.1,merged_all_anthro,merged_all_anthro
Amygdala,Brownian (BM),1,1156.4,1399.4,1693.6,4545.8,0.7456216367016341,0.692152286324123,0.6274438848232269,27,22.2,merged_all_anthro,merged_all_anthro
Amygdala,Pagel's lambda (ML),0.9450000000000001,1194,1455.6,1774.6,4545.8,0.7373312200664449,0.679781451440976,0.6096227390739519,27,22.2,merged_all_anthro,merged_all_anthro
Pallidum,Brownian (BM),1,1775.3,2208.7,2747.9,4711,0.6231662757466447,0.531164269650599,0.41670044928230904,14,21.9,merged_all_anthro,merged_all_anthro
Pallidum,Pagel's lambda (ML),1.12,1364.7,1576.3,1820.7,4711,0.7103144860856598,0.6654014250203338,0.6135250090153669,14,21.9,merged_all_anthro,merged_all_anthro
Neocortex white,Brownian (BM),1,711620,1030600,1492500,413900,-0.7193101359833098,-1.4899414447704398,-2.6059860688483107,15,12.3,merged_all_anthro,merged_all_anthro
Neocortex white,Pagel's lambda (ML),-0.313,7.517e-42,1.0488000000000002e-41,1.4633000000000002e-41,413900,1,1,1,15,12.3,merged_all_anthro,merged_all_anthro
Insular cortex (grey),Brownian (BM),1,1596.3,2947.7,5443.1,6479,0.7536151497260759,0.545037894601275,0.15988942859630206,20,30.3,merged_all_anthro,merged_all_anthro
Insular cortex (grey),Pagel's lambda (ML),0.8390000000000001,1919.8,3644.4,6918.2,6479,0.703689973060764,0.4375091094144741,-0.06778702448898852,20,30.3,merged_all_anthro,merged_all_anthro
