"anatomy_group","anatomy_match_source","anatomy_rule_id","ROIGroup","ROIGroupCoarse","ROIGroupFine","dissection","n_obs_rows"
"Nucleus medial thalami","dissection","nucleus_medial_thalami","Thalamus","Thalamus","Thalamus","Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD",3396
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG",22134
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r",17491
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Superior Temporal Gyrus - STG",13196
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL",8423
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C",6320
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Paleocortex (PalCx) - Piriform cortex - Pir",4755
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43",3796
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",3653
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig",3617
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",3480
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg",3241
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38",3165
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46",3136
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40",3050
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Inferior temporal gyrus - ITG",2911
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC",2878
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7",2758
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C",2726
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25",2663
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C",2607
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45",2555
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",2486
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30",2427
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23",2376
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Frontal agranular insular cortex - FI",2338
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13",2279
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36",1948
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32",1922
"Occipital lobe","ROI fallback","occipital_cortex","Paleocortex","Cerebral cortex","Cerebral cortex","Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON",1432
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14",877
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON",535
"Occipital lobe","ROI fallback","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","",199
"Occipital lobe","dissection","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",2982
"Occipital lobe","dissection","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19",2886
"Occipital lobe","dissection","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C",2872
"Occipital lobe","dissection","occipital_cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex","Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",2760
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Periaqueductal gray and nearby nuclei - PAG",17187
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Inferior colliculus and nearby nuclei - IC",4290
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Periaqueductal gray and Dorsal raphe nucleus - PAG-DR",3406
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (RN) - Red Nucleus - RN",2973
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Superior colliculus and nearby nuclei - SC",2741
"Substantia nigra","ROI fallback","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Pretectal region - PTR",2285
"Substantia nigra","dissection","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Substantia Nigra - SN",50837
"Substantia nigra","dissection","substantia_nigra","Midbrain","Midbrain","Midbrain","Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",37737
"Vermis","ROI fallback","vermis","Hindbrain","Cerebellum","Cerebellum","Cerebellum (CB) - Cerebellar deep nuclei - CbDN",28652
"Vermis","ROI fallback","vermis","Hindbrain","Cerebellum","Cerebellum","Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL",3218
"Vermis","dissection","vermis","Hindbrain","Cerebellum","Cerebellum","Cerebellum (CB) - Cerebellar Vermis - CBV",17133
