mode,Species,stephan_species,pair_note,label,stephan_var,wide_var,unit_scale,role,stephan_value,wide_value,on_tree,status,rel,pct_diff,ratio,anomaly
raw,Colobus angolensis,Colobus angolensis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,103,103,NA,same,0,0,1,NA
raw,Daubentonia madagascariensis,Daubentonia madagascariensis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,58.5,58.5,NA,same,0,0,1,NA
raw,Erythrocebus patas,Erythrocebus patas,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,267,266.8,NA,rounding,7.490636704119424e-4,-0.07490636704119424,0.9992509363295881,NA
raw,Eulemur fulvus,Eulemur fulvus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,51.8,51.8,NA,same,0,0,1,NA
raw,Galago senegalensis,Galago senegalensis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,16,16,NA,same,0,0,1,NA
raw,Galagoides demidoff,Galagoides demidoff,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,10.9,10.9,NA,same,0,0,1,NA
raw,Gorilla gorilla,Gorilla gorilla,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,308.5,300.1,NA,DIFFERENT,0.027228525121555842,-2.722852512155584,0.9727714748784442,NA
raw,Homo sapiens,Homo sapiens,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,335,335,NA,same,0,0,1,NA
raw,Hylobates lar,Hylobates lar,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,166.2,166.2,NA,same,0,0,1,NA
raw,Hylobates muelleri,Hylobates muelleri,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,162,161.6,NA,rounding,0.002469135802469171,-0.2469135802469171,0.9975308641975308,NA
raw,Indri indri,Indri indri,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,94.5,94.5,NA,same,0,0,1,NA
raw,Lagothrix lagotricha,Lagothrix lagotricha,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,164,164,NA,same,0,0,1,NA
raw,Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,15.6,15.6,NA,same,0,0,1,NA
raw,Lophocebus albigena,Lophocebus albigena,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,182,182,NA,same,0,0,1,NA
raw,Loris tardigradus,Loris tardigradus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,24.6,24.6,NA,same,0,0,1,NA
raw,Macaca fascicularis,Macaca fascicularis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,91.9,91.9,NA,same,0,0,1,NA
raw,Macaca mulatta,Macaca mulatta,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,158,158,NA,same,0,0,1,NA
raw,Microcebus murinus,Microcebus murinus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,7.1,7.07,NA,rounding,0.004225352112675967,-0.42253521126759663,0.9957746478873241,NA
raw,Miopithecus talapoin,Miopithecus talapoin,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,109,109,NA,same,0,0,1,NA
raw,Nasalis larvatus,Nasalis larvatus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,157,156.6,NA,rounding,0.002547770700636979,-0.2547770700636979,0.9974522292993631,NA
raw,Nycticebus coucang,Nycticebus coucang,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,35.9,35.9,NA,same,0,0,1,NA
raw,Otolemur crassicaudatus,Otolemur crassicaudatus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,23.2,23.2,NA,same,0,0,1,NA
raw,Pan paniscus,Pan paniscus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,275.1,282.3,NA,DIFFERENT,0.025504782146652458,2.6172300981461243,1.0261723009814612,NA
raw,Pan troglodytes,Pan troglodytes,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,250.7,344,NA,DIFFERENT,0.27122093023255817,37.21579577183886,1.3721579577183887,NA
raw,Papio anubis,Papio anubis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,395,395,NA,same,0,0,1,NA
raw,Perodicticus potto,Perodicticus potto,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,24.3,24.3,NA,same,0,0,1,NA
raw,Piliocolobus badius,Piliocolobus badius,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,128,128,NA,same,0,0,1,NA
raw,Pithecia monachus,Pithecia monachus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,76.3,76.3,NA,same,0,0,1,NA
raw,Plecturocebus moloch,Plecturocebus moloch,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,54.2,54.2,NA,same,0,0,1,NA
raw,Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,NA,259.1,NA,volumes_wide_only,NA,NA,NA,NA
raw,Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,259.1,259.1,NA,same,0,0,1,NA
raw,Propithecus verreauxi,Propithecus verreauxi,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,64.5,64.5,NA,same,0,0,1,NA
raw,Pygathrix nemaeus,Pygathrix nemaeus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,115,114.8,NA,rounding,0.0017391304347826335,-0.17391304347826333,0.9982608695652173,NA
raw,Saguinus midas,Saguinus midas,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,36,36.8,NA,DIFFERENT,0.021739130434782532,2.2222222222222143,1.0222222222222221,NA
raw,Saguinus oedipus,Saguinus oedipus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,34.2,34.2,NA,same,0,0,1,NA
raw,Saimiri sciureus,Saimiri sciureus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,62.9,62.9,NA,same,0,0,1,NA
raw,Tarsius syrichta,Tarsius syrichta,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,20.8,20.8,NA,same,0,0,1,NA
raw,Varecia variegata,Varecia variegata,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,68.9,68.9,NA,same,0,0,1,NA
raw,Alouatta seniculus,Alouatta seniculus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,413,413,NA,same,0,0,1,NA
raw,Aotus trivirgatus,Aotus trivirgatus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,201,201,NA,same,0,0,1,NA
raw,Callithrix jacchus,Callithrix jacchus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,113,113,NA,same,0,0,1,NA
raw,Cebus albifrons,Cebus albifrons,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,502,502,NA,same,0,0,1,NA
raw,Cercopithecus ascanius,Cercopithecus ascanius,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,601,601,NA,same,0,0,1,NA
raw,Cheirogaleus major,Cheirogaleus major,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,99.4,99.4,NA,same,0,0,1,NA
raw,Cheirogaleus medius,Cheirogaleus medius,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,63.2,63.2,NA,same,0,0,1,NA
raw,Daubentonia madagascariensis,Daubentonia madagascariensis,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,473,473,NA,same,0,0,1,NA
raw,Eulemur fulvus,Eulemur fulvus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,251,251,NA,same,0,0,1,NA
raw,Galagoides demidoff,Galagoides demidoff,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,50.2,50.2,NA,same,0,0,1,NA
raw,Homo sapiens,Homo sapiens,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,3015,3015,NA,same,0,0,1,NA
raw,Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,133,133,NA,same,0,0,1,NA
raw,Microcebus murinus,Microcebus murinus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,36.4,36.4,NA,same,0,0,1,NA
raw,Piliocolobus badius,Piliocolobus badius,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,479,479,NA,same,0,0,1,NA
raw,Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,NA,1400,NA,volumes_wide_only,NA,NA,NA,NA
raw,Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,1400,1400,NA,same,0,0,1,NA
raw,Propithecus verreauxi,Propithecus verreauxi,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,251,251,NA,same,0,0,1,NA
raw,Saimiri sciureus,Saimiri sciureus,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,227,227,NA,same,0,0,1,NA
raw,Tarsius syrichta,Tarsius syrichta,NA,Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,49.8,49.8,NA,same,0,0,1,NA
raw,Ateles geoffroyi,Ateles geoffroyi,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,807,807,NA,same,0,0,1,NA
raw,Avahi laniger,Avahi laniger,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,74.5,NA,NA,Stephan_only,NA,NA,NA,NA
raw,Avahi occidentalis,Avahi occidentalis,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,NA,74.5,NA,volumes_wide_only,NA,NA,NA,NA
raw,Cebuella pygmaea,Cebuella pygmaea,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,25.8,NA,NA,Stephan_only,NA,NA,NA,NA
raw,Cebus albifrons,Cebus albifrons,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,567,567,NA,same,0,0,1,NA
raw,Cercopithecus ascanius,Cercopithecus ascanius,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,405,405,NA,same,0,0,1,NA
raw,Cheirogaleus major,Cheirogaleus major,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,31.6,31.6,NA,same,0,0,1,NA
raw,Eulemur fulvus,Eulemur fulvus,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,212,212,NA,same,0,0,1,NA
raw,Galagoides demidoff,Galagoides demidoff,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,17,17,NA,same,0,0,1,NA
raw,Gorilla gorilla,Gorilla gorilla,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,2604,2604,NA,same,0,0,1,NA
raw,Homo sapiens,Homo sapiens,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,4711,4711,NA,same,0,0,1,NA
raw,Hylobates lar,Hylobates lar,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,715,715,NA,same,0,0,1,NA
raw,Lagothrix lagotricha,Lagothrix lagotricha,NA,Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,845,845,NA,same,0,0,1,NA
