"Species","variable","col_Stephan","col_wide","Stephan","volumes_wide","pct_diff","status","on_tree","role"
"Tarsius_syrichta","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",137,,,"Stephan_only","yes","study3"
"Avahi_laniger","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",38,,,"Stephan_only","yes","study3"
"Callithrix_pygmaea","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",11,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",2146,,,"Stephan_only","yes","study3"
"Pongo_abelii","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",1158,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",1505,,,"Stephan_only","yes","study3"
"Avahi_occidentalis","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",,38,,"volumes_wide_only","yes","study3"
"Avahi_laniger","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",5.94,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",178,,,"Stephan_only","yes","study3"
"Avahi_occidentalis","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",,5.94,,"volumes_wide_only","yes","study3"
"Lagothrix_lagotricha","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",63.8,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",1.09,,,"Stephan_only","yes","study3"
"Avahi_laniger","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",105,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",2471,,,"Stephan_only","yes","study3"
"Avahi_occidentalis","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",,105,,"volumes_wide_only","yes","study3"
"Lagothrix_lagotricha","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",612,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",16.7,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Striatum","Striatum","Striatum_Vol.mm3",14567,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Striatum","Striatum","Striatum_Vol.mm3",11500,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Striatum","Striatum","Striatum_Vol.mm3",4947,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Striatum","Striatum","Striatum_Vol.mm3",920,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Striatum","Striatum","Striatum_Vol.mm3",133,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",9129,,,"Stephan_only","yes","study3"
"Pan_paniscus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",11606.5,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",8233.7,,,"Stephan_only","yes","study3"
"Symphalangus_syndactylus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",5468.9,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",4856,,,"Stephan_only","yes","study3"
"Macaca_fascicularis","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",2713.3,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",1201,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",349,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",138300,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",49147,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",1631,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",4352,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",4000,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",1582,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",530,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",197,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",69249,,,"Stephan_only","yes","study3"
"Pan_paniscus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",,44175,,"volumes_wide_only","yes","study3"
"Pongo_pygmaeus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",42900,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",11268,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",1622,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",428,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",4781,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",2700,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",1586,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",588,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",153,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",534.6,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",108.57,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",21.24,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",3.37,,,"Stephan_only","yes","study3"
