Species,Stephan_column,Stephan_value,status,hunt_rank,hunt_species_match,hunt_file,hunt_sheet,hunt_rowtext
Pongo_pygmaeus,Body_weight,57050,value_differs,3,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Dysgranular_volume_L,1057,value_differs,1,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Dysgranular_volume_L,1057,value_differs,2,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Dysgranular_volume_L,1057,value_differs,3,no,Frahm Scans/Frahm scans work/Rajavee Arora/Stephan indiv data from Frahm (2).xlsx,Data,3199 | 0117 | NA | Microcebus murinus | 87 | F | NA | 57.5 | 1720 | 1660.232 | NA | 12.156000000000001 | 18.84 | 1629.2360000000001 | 113.208 | 224.71
Pongo_pygmaeus,FI_volume_L,60,value_differs,1,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,FI_volume_L,60,value_differs,2,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,FI_volume_L,60,value_differs,3,no,Frahm Scans/Frahm scans work/Rajavee Arora/Stephan indiv data from Frahm (2).xlsx,Data,3287 | 0156 | NA | Callithrix jacchus | 2543 | M | NA | 350 | 8050 | 7770.27 | NA | 56.015000000000001 | 36.527000000000001 | 7677.7280000000001 | 376
Pongo_pygmaeus,Total_insula_volume_L,1505,value_differs,1,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Total_insula_volume_L,1505,value_differs,2,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Total_insula_volume_L,1505,value_differs,3,no,Frahm Scans/Frahm scans work/Rajavee Arora/Stephan indiv data from Frahm New (3).xlsx,Data,3433 | 0190 | NA | Cercopithecus ascanius | 219 | F | NA | 3300 | 61500 | 59362.934000000001 | NA | 219.94 | 850.71 | 58292.285000000003 | 1498.079 | 
