Species,Stephan_column,Stephan_value,candidate_reference,candidate_source,candidate_variable,candidate_value,candidate_year,search_tier,tier_rank,match_quality,pct_difference,scale,prior_contributions,candidate_file,candidate_sheet,candidate_cell,evidence_context,structure_context_match
Avahi_laniger,Brain_mass,9600,Stephan_etal_1970_Table2,Stephan_etal_1970_Table2,Brain_Mass.mg,9670,1970,evom1_all_volume_tables,3,near_perfect,0.7238883143743536,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Avahi laniger; Variable=Brain_Mass.mg; key_rule=crosswalk_exact,TRUE
Callithrix_pygmaea,LGN_Sousa,16.9,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Corpus_geniculatum_laterale_Vol.mm3,16.9,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Callithrix pygmaea; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Callithrix_pygmaea,ASG_Sousa,363,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Area_striata_grey_matter_Vol.mm3,363,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Callithrix pygmaea; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Callithrix_pygmaea,ASG_Sousa,363,Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,363,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Callithrix pygmaea; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Callithrix_pygmaea,Brain_mass,4200,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Brain_Mass.mg,4150,1998,evom1_all_volume_tables,3,close_same_structure,1.1904761904761905,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Callithrix pygmaea; Variable=Brain_Mass.mg; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,LGN_Sousa,137,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Corpus_geniculatum_laterale_Vol.mm3,137,2010,metadata_tables,1,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Cebus albifrons; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,LGN_Sousa,137,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Corpus_geniculatum_laterale_Vol.mm3,137,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,LGN_Sousa,137,Stephan_etal_1984_Table1,Stephan_etal_1984_Table1,Corpus_geniculatum_laterale_Vol.mm3,137,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,LGN_Sousa,137,Stephan_etal_1981_TableIX,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,137,1981,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,ASG_Sousa,3764,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Area_striata_grey_matter_Vol.mm3,3800,2010,metadata_tables,1,near_perfect,0.9473684210526315,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Cebus albifrons; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
