Species,Stephan_column,EvoM1_variable,structure_key_rule,Stephan_value,status,resolution_method,preferred_reference,preferred_source_prior_contributions,unit_rescale_flag,merge_deviation_flag,closest_nonmatching,fallback_match_detail,fallback_candidate_sources,all_matching_sources,metadata_reference
Alouatta_seniculus,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,crosswalk_exact,0.87,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 866 (FrontalMotor_white_matter_Vol.mm3; 0.46%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,Smaers et al 2017
Alouatta_seniculus,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,crosswalk_exact,1.08,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 1077 (FrontalMotor_grey_matter_Vol.mm3; 0.28%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Alouatta_seniculus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,87.4,resolved_fallback_metadata,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 87 (Corpus_geniculatum_laterale_Vol.mm3; 0.46%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Stephan_etal_1984_Table1; Stephan_etal_1981_TableIX; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv],Stephan_etal_1984_Table1; deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Stephan_etal_1981_TableIX,de Sousa et al 2010; de Sousa et al 2013
Alouatta_seniculus,Other.cortical.association.areas.Gray,AssociationCortex_grey_matter_Vol.mm3,crosswalk_exact,12.39,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 12394 (AssociationCortex_grey_matter_Vol.mm3; 0.03%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Alouatta_seniculus,Other.cortical.association.areas.White,AssociationCortex_white_matter_Vol.mm3,crosswalk_exact,4.21,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 4212 (AssociationCortex_white_matter_Vol.mm3; 0.05%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Alouatta_seniculus,Prefrontal.Gray,PrefrontalCortex_grey_matter_Vol.mm3,crosswalk_exact,1.02,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 1015 (PrefrontalCortex_grey_matter_Vol.mm3; 0.49%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2,Smaers et al 2017
Alouatta_seniculus,Prefrontal.White,PrefrontalCortex_white_matter_Vol.mm3,crosswalk_exact,0.18,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 177 (PrefrontalCortex_white_matter_Vol.mm3; 1.67%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Alouatta_seniculus,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,crosswalk_exact,0.54,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,Smaers_etal_2017_TableS1part1 = 543 (Area_striata_white_matter_Vol.mm3; 0.55%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Frahm_etal_1984_Table1; Smaers_etal_2017 [restricted: Smaers.csv],Frahm_etal_1984_Table1; Smaers_etal_2017_TableS1part1,Smaers et al 2017
Aotus_trivirgatus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,996,resolved_fallback_metadata,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 1000 (Area_striata_grey_matter_Vol.mm3; 0.40%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1,de Sousa et al 2010
Aotus_trivirgatus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,32.9,resolved_fallback_metadata,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 33 (Corpus_geniculatum_laterale_Vol.mm3; 0.30%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Stephan_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv],Stephan_etal_1984_Table1; deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1,de Sousa et al 2010; de Sousa et al 2013
Ateles_geoffroyi,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,3753,resolved_fallback_restricted,restricted_documents_near_perfect,deSousa_etal_2010 [restricted: Visual_volumes.xlsx],0,1000,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010 [restricted: Visual_volumes.xlsx] = 3.753 (0.00%; scale 1000; restricted_checks/deSousa_etal_2010/comparison/Visual_volumes.xlsx R28C5; 0 prior contributions),deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx],de Sousa et al 2010
Ateles_geoffroyi,Brain_mass,Brain_Mass.mg,crosswalk_exact,106400,resolved_unique,direct_same_structure_unique,Bauernfeind_etal_2013_Table1,181,1000,,NA,,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Ateles_geoffroyi,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,crosswalk_exact,1.59,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 1586 (FrontalMotor_white_matter_Vol.mm3; 0.25%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,Smaers et al 2017
Ateles_geoffroyi,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,crosswalk_exact,3.12,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 3119 (FrontalMotor_grey_matter_Vol.mm3; 0.03%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Ateles_geoffroyi,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,151,resolved_fallback_metadata,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Stephan_etal_1981_TableIX; Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 151 (Corpus_geniculatum_laterale_Vol.mm3; 0.00%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Stephan_etal_1984_Table1; Stephan_etal_1981_TableIX; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981_TableIX; Stephan_etal_1984_Table1; deSousa_etal_2010_SupTable2,de Sousa et al 2010; de Sousa et al 2013
Ateles_geoffroyi,Other.cortical.association.areas.Gray,AssociationCortex_grey_matter_Vol.mm3,crosswalk_exact,32.93,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 32933 (AssociationCortex_grey_matter_Vol.mm3; 0.01%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Ateles_geoffroyi,Other.cortical.association.areas.White,AssociationCortex_white_matter_Vol.mm3,crosswalk_exact,10.33,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 10332 (AssociationCortex_white_matter_Vol.mm3; 0.02%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1,Smaers et al 2017
Ateles_geoffroyi,Prefrontal.Gray,PrefrontalCortex_grey_matter_Vol.mm3,crosswalk_exact,2.77,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 2773 (PrefrontalCortex_grey_matter_Vol.mm3; 0.11%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2,Smaers et al 2017
Ateles_geoffroyi,Prefrontal.White,PrefrontalCortex_white_matter_Vol.mm3,crosswalk_exact,0.29,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,NA,Smaers_etal_2017_TableS1part1 = 286 (PrefrontalCortex_white_matter_Vol.mm3; 1.38%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2,Smaers et al 2017
Ateles_geoffroyi,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,crosswalk_exact,0.99,resolved_fallback_metadata,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,Smaers_etal_2017_TableS1part1 = 985 (Area_striata_white_matter_Vol.mm3; 0.51%; scale 0.001; 0 prior contributions),Smaers_etal_2017_TableS1part1; Frahm_etal_1984_Table1; Smaers_etal_2017 [restricted: Smaers.csv],Frahm_etal_1984_Table1; Smaers_etal_2017_TableS1part1,Smaers et al 2017
Avahi_laniger,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,475,resolved_fallback_restricted,restricted_documents_near_perfect,deSousa_etal_2010 [restricted: deSousa_2010.csv],0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010 [restricted: deSousa_2010.csv] = 475 (0.00%; scale 1; restricted_checks/deSousa_etal_2010/comparison/deSousa_2010.csv R9C2; 0 prior contributions),deSousa_etal_2010_SupTable2; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: deSousa_2010.csv]; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; deSousa_etal_2010 [restricted: deSousa_2010.csv],de Sousa et al 2010
Avahi_laniger,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,crosswalk_exact,7,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 7 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C9; 181 prior contributions),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Body_mass,Body_Mass.g,crosswalk_exact,1030,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,Stephan_etal_1981_TableII = 1285 (19.8%),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 1030 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C6; 181 prior contributions),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Brain_mass,Brain_Mass.mg,crosswalk_exact,9600,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,Stephan_etal_1981_TableII = 10490 (8.5%),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 9600 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C7; 181 prior contributions),Stephan_etal_1970_Table2; Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1970_Table2; Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Capsula_interna,Capsula_interna_Vol.mm3,crosswalk_exact,105,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 105 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C36; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,crosswalk_exact,18,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 18 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C10; 181 prior contributions),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Epithalamus,Epithalamus_Vol.mm3,crosswalk_exact,6.52,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 6.52 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C30; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,crosswalk_exact,13,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 13 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C12; 181 prior contributions),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Hypothalamus,Hypothalamus_Vol.mm3,crosswalk_exact,137,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 137 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C32; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,27.6,likely_fallback_metadata,metadata_tables_close_same_structure,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Stephan_etal_1981_TableIX; Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 29 (Corpus_geniculatum_laterale_Vol.mm3; 4.83%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Stephan_etal_1984_Table1; Stephan_etal_1981_TableIX; deSousa_etal_2010 [restricted: deSousa_2010.csv]; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981_TableIX; Stephan_etal_1984_Table1; deSousa_etal_2010_SupTable2,de Sousa et al 2010; de Sousa et al 2013
Avahi_laniger,Nucleus_subthalamicus,Nucleus_subthalamicus_Vol.mm3,crosswalk_exact,5.94,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 5.94 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C35; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,Pallidum,Pallidum_Vol.mm3,crosswalk_exact,74.5,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 74.5 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C34; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981; Zilles and Rehkamper 1988
Avahi_laniger,Subthalamus,Subthalamus_Vol.mm3,crosswalk_exact,80.5,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 80.5 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C33; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,Thalamus,Thalamus_Vol.mm3,crosswalk_exact,489,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 489 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C31; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_laniger,Total_insula_volume_L,Insula_left_Vol.mm3,crosswalk_exact,38,resolved_fallback_restricted,restricted_documents_near_perfect,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],181,,,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv] = 38 (0.00%; scale 1; restricted_checks/Bauernfeind_etal_2013/comparison/Bauernfeind_2013.csv R10C13; 181 prior contributions),Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv]; Matano_etal_1985_a [restricted: Matano_1985a.csv],Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],Bauernfeind et al 2013
Avahi_laniger,Tractus_opticus,Tractus_opticus_Vol.mm3,crosswalk_exact,38.3,resolved_fallback_restricted,restricted_documents_near_perfect,Stephan_etal_1981 [restricted: Stephan_1981.csv],1384,,,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv] = 38.3 (0.00%; scale 1; restricted_checks/Stephan_etal_1981/comparison/Stephan_1981.csv R10C37; 1384 prior contributions),Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan_etal_1981 [restricted: Stephan_1981.csv],Stephan et al 1981
Avahi_occidentalis,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,450,resolved_fallback_restricted,restricted_documents_near_perfect,deSousa_etal_2010 [restricted: deSousa_2010.csv],0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010 [restricted: deSousa_2010.csv] = 450 (0.00%; scale 1; restricted_checks/deSousa_etal_2010/comparison/deSousa_2010.csv R10C2; 0 prior contributions),Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: deSousa_2010.csv]; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: deSousa_2010.csv],de Sousa et al 2010
Avahi_occidentalis,Brain_weight,Brain_Mass.mg,crosswalk_exact,9670,resolved_multiple,direct_same_structure_multiple,Stephan_etal_1981_TableII,162,1000,,NA,,,Bauernfeind_etal_2013_Table1; Stephan_etal_1981_TableII; Stephan_etal_1988_TABLE1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Avahi_occidentalis,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,29.3,resolved_fallback_evom1,evom1_all_volume_tables_near_perfect,Stephan_etal_1984_Table1,0,,,Evo-M1 value matches Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,Stephan_etal_1984_Table1 = 29.3 (Corpus_geniculatum_laterale_Vol.mm3; 0.00%; scale 1; 0 prior contributions),Stephan_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv],Stephan_etal_1984_Table1,de Sousa et al 2010; de Sousa et al 2013
