Species,Species_evo,Stephan_column,EvoM1_variable,structure_key_rule,Stephan_value,status,preferred_reference,preferred_citation,all_matching_sources,n_candidate_sources,metadata_reference,unit_rescale_flag,merge_deviation_flag,closest_nonmatching,resolution_method,fallback_candidate_sources,fallback_match_detail,preferred_source_prior_contributions,source_cutoff_year
Alouatta_seniculus,Alouatta seniculus,Amygdala,Amygdala_Vol.mm3,crosswalk_exact,413,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Body_weight,Body_Mass.g,crosswalk_exact,6400,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,5,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA,direct_same_structure_multiple,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Body_weight_1985a,Body_Mass.g,crosswalk_exact,6400,resolved_multiple,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,5,NA,,,NA,direct_same_structure_multiple,,,220,2019
Alouatta_seniculus,Alouatta seniculus,Brain_weight,Brain_Mass.mg,crosswalk_exact,52000,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,2,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA,direct_same_structure_multiple,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Brainvol,NA,no_defensible_volume_key,50193.05,metadata_only,NA,NA,,0,de Sousa et al 2010; Stephan et al 1981,,,NA,metadata_only_no_volume_crosswalk,,,0,2019
Alouatta_seniculus,Alouatta seniculus,Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,crosswalk_exact,41.4,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,crosswalk_exact,0.6,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,crosswalk_exact,113.79,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA,direct_same_structure_unique,,,220,2019
Alouatta_seniculus,Alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,crosswalk_exact,5699,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,crosswalk_exact,94.9,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,crosswalk_exact,318,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Corpus.pineale,Corpus_pineal_Vol.mm3,crosswalk_exact,0.25,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,103,2019
Alouatta_seniculus,Alouatta seniculus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,crosswalk_exact,0.4,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,103,2019
Alouatta_seniculus,Alouatta seniculus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,crosswalk_exact,0.37,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,103,2019
Alouatta_seniculus,Alouatta seniculus,Diencephalon,Diencephalon_Vol.mm3,crosswalk_exact,3344,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,crosswalk_exact,0.87,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1 = 866 (FrontalMotor_white_matter_Vol.mm3; 0.46%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,crosswalk_exact,1.08,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 1077 (FrontalMotor_grey_matter_Vol.mm3; 0.28%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Hippocampus,Hippocampus_Vol.mm3,crosswalk_exact,1320,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Interpositus_cerebellar_nuclei,Interpositus_cerebellar_nuclei_Vol.mm3,crosswalk_exact,26.57,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA,direct_same_structure_unique,,,220,2019
Alouatta_seniculus,Alouatta seniculus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,crosswalk_exact,87.4,resolved_fallback_metadata,deSousa_etal_2010_SupTable2,de Sousa et al. 2010 (J Hum Evol 58:281-292),Stephan_etal_1984_Table1; deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Stephan_etal_1981_TableIX,2,de Sousa et al 2010; de Sousa et al 2013,,,Evo-M1 value matches Stephan_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Stephan_etal_1984_Table1; Stephan_etal_1981_TableIX; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv],deSousa_etal_2010_SupTable2 = 87 (Corpus_geniculatum_laterale_Vol.mm3; 0.46%; scale 1; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Lateral_cerebellar_nuclei,Lateral_cerebellar_nuclei_Vol.mm3,crosswalk_exact,59.75,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA,direct_same_structure_unique,,,220,2019
Alouatta_seniculus,Alouatta seniculus,Lobus_piriformis,Lobus_piriformis_Vol.mm3,crosswalk_exact,827,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Medial_cerebellar_nuclei,Medial_cerebellar_nuclei_Vol.mm3,crosswalk_exact,27.47,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA,direct_same_structure_unique,,,220,2019
Alouatta_seniculus,Alouatta seniculus,Medulla_oblongata,Medulla_oblongata_Vol.mm3,crosswalk_exact,1593,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Meninges_hypophysis_nerves_etc,NA,no_defensible_volume_key,568,metadata_only,NA,NA,,0,Stephan et al 1981,,,NA,metadata_only_no_volume_crosswalk,,,0,2019
Alouatta_seniculus,Alouatta seniculus,Mesencephalon,Mesencephalon_Vol.mm3,crosswalk_exact,986,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,crosswalk_exact,21791,resolved_unique,Frahm_etal_1982_Table2,"Frahm, Stephan & Stephan 1982 (J Hirnforsch 23:375-389)",Frahm_etal_1982_Table2,1,Frahm et al 1992; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,46,2019
Alouatta_seniculus,Alouatta seniculus,NeoWG,Neocortex_Vol.mm3,crosswalk_exact,31660,resolved_multiple,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Frahm_etal_1982_Table2; Stephan_etal_1981_TableVI,2,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_multiple,,,215,2019
Alouatta_seniculus,Alouatta seniculus,NeoW_Frahm,Neocortex_white_matter_Vol.mm3,crosswalk_exact,9869,resolved_unique,Frahm_etal_1982_Table2,"Frahm, Stephan & Stephan 1982 (J Hirnforsch 23:375-389)",Frahm_etal_1982_Table2,1,Frahm et al 1992; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,46,2019
Alouatta_seniculus,Alouatta seniculus,Nucleus.habenularis.medialis,Nucleus_habenularis_medialis_Vol.mm3,crosswalk_exact,3.3,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,103,2019
Alouatta_seniculus,Alouatta seniculus,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,crosswalk_exact,1.72,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,103,2019
Alouatta_seniculus,Alouatta seniculus,Nucleus_amygdalae_basalis_parsmagnocellularis,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,crosswalk_exact,30.7,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,crosswalk_exact,0,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Other.cortical.association.areas.Gray,AssociationCortex_grey_matter_Vol.mm3,crosswalk_exact,12.39,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 12394 (AssociationCortex_grey_matter_Vol.mm3; 0.03%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Other.cortical.association.areas.White,AssociationCortex_white_matter_Vol.mm3,crosswalk_exact,4.21,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 4212 (AssociationCortex_white_matter_Vol.mm3; 0.05%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Palaeocortex,Palaeocortex_Vol.mm3,crosswalk_exact,488,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,100,2019
Alouatta_seniculus,Alouatta seniculus,Prefrontal.Gray,PrefrontalCortex_grey_matter_Vol.mm3,crosswalk_exact,1.02,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Smaers_etal_2011_SupplementaryTable2; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 1015 (PrefrontalCortex_grey_matter_Vol.mm3; 0.49%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Prefrontal.White,PrefrontalCortex_white_matter_Vol.mm3,crosswalk_exact,0.18,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Smaers_etal_2017_TableS1part1,0,Smaers et al 2017,,,NA,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 177 (PrefrontalCortex_white_matter_Vol.mm3; 1.67%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,crosswalk_exact,0.54,resolved_fallback_metadata,Smaers_etal_2017_TableS1part1,"Smaers et al. 2017 (Curr Biol 27:714-720, Table S1)",Frahm_etal_1984_Table1; Smaers_etal_2017_TableS1part1,1,Smaers et al 2017,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,metadata_tables_near_perfect,Smaers_etal_2017_TableS1part1; Frahm_etal_1984_Table1; Smaers_etal_2017 [restricted: Smaers.csv],Smaers_etal_2017_TableS1part1 = 543 (Area_striata_white_matter_Vol.mm3; 0.55%; scale 0.001; 0 prior contributions),0,2019
Alouatta_seniculus,Alouatta seniculus,Schizocortex,Schizo_cortex_Vol.mm3,crosswalk_exact,510,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Septum,Septum_Vol.mm3,crosswalk_exact,200,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Striatum,Striatum_Vol.mm3,crosswalk_exact,2829,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,215,2019
Alouatta_seniculus,Alouatta seniculus,Telencephalon,Telencephalon_Vol.mm3,crosswalk_exact,37388,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,crosswalk_exact,49009,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,243,2019
Alouatta_seniculus,Alouatta seniculus,Ventricles,Ventricles_Vol.mm3,crosswalk_exact,616,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,243,2019
Aotus_trivirgatus,Aotus trivirgatus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,996,resolved_fallback_metadata,deSousa_etal_2010_SupTable2,de Sousa et al. 2010 (J Hum Evol 58:281-292),Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1,1,de Sousa et al 2010,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2; Frahm_etal_1998_Table1; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],deSousa_etal_2010_SupTable2 = 1000 (Area_striata_grey_matter_Vol.mm3; 0.40%; scale 1; 0 prior contributions),0,2019
Aotus_trivirgatus,Aotus trivirgatus,Amygdala,Amygdala_Vol.mm3,crosswalk_exact,201,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,100,2019
Aotus_trivirgatus,Aotus trivirgatus,Body_weight,Body_Mass.g,crosswalk_exact,830,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,5,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA,direct_same_structure_multiple,,,243,2019
Aotus_trivirgatus,Aotus trivirgatus,Body_weight_1985a,Body_Mass.g,crosswalk_exact,830,resolved_multiple,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,5,NA,,,NA,direct_same_structure_multiple,,,220,2019
Aotus_trivirgatus,Aotus trivirgatus,Brain_weight,Brain_Mass.mg,crosswalk_exact,17100,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII; Stephan_etal_1988_TABLE1,2,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA,direct_same_structure_multiple,,,243,2019
Aotus_trivirgatus,Aotus trivirgatus,Brainvol,NA,no_defensible_volume_key,16505.79,metadata_only,NA,NA,,0,de Sousa et al 2010; Stephan et al 1981,,,NA,metadata_only_no_volume_crosswalk,,,0,2019
Aotus_trivirgatus,Aotus trivirgatus,Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,crosswalk_exact,56,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,215,2019
Aotus_trivirgatus,Aotus trivirgatus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,crosswalk_exact,0.22,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,215,2019
Aotus_trivirgatus,Aotus trivirgatus,Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,crosswalk_exact,41.45,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA,direct_same_structure_unique,,,220,2019
Aotus_trivirgatus,Aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,crosswalk_exact,1873,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,1,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA,direct_same_structure_unique,,,243,2019
Aotus_trivirgatus,Aotus trivirgatus,Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,crosswalk_exact,54.5,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
Aotus_trivirgatus,Aotus trivirgatus,Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,crosswalk_exact,147,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,1,Stephan et al 1981,,,NA,direct_same_structure_unique,,,100,2019
