rcmr_term,match_column,match_value,match_mode,rule_label,matched_pattern
Frontal lobe,dissection,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Hippocampus,ROIGroup,Hippocampus,exact_ci,exact rCMR term,Hippocampus
Hippocampus,ROIGroup,Hippocampus,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,ROIGroupCoarse,Hippocampus,exact_ci,exact rCMR term,Hippocampus
Hippocampus,ROIGroupCoarse,Hippocampus,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,ROIGroupFine,Hippocampus,exact_ci,exact rCMR term,Hippocampus
Hippocampus,ROIGroupFine,Hippocampus,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Body of hippocampus (HiB) - Rostral CA1-2,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Body of hippocampus (HiB) - Rostral CA1-CA3,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Body of hippocampus (HiB) - Rostral CA3,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Body of hippocampus (HiB) - Rostral DG-CA4,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Head of hippocampus (HiH) - Subicular cortex - Sub,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Head of hippocampus (HiH) - Uncal CA1,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Head of hippocampus (HiH) - Uncal CA1-CA3,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Head of hippocampus (HiH) - Uncal CA2-CA3,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Head of hippocampus (HiH) - Uncal DG-CA4,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Hippocampus,dissection,Tail of Hippocampus (HiT) - Subicular cortex - Sub,regex_ci,hippocampus group or dissection pattern,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex
Insular lobe,dissection,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b)
Insular lobe,dissection,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b)
Insular lobe,dissection,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,regex_ci,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b)
Nucleus accumbens,dissection,Basal nuclei (BN) - Nucleus Accumbens - NAC,regex_ci,nucleus accumbens pattern,Accumbens|Nucleus Accumbens|\bNAC\b
Nucleus dentatus cerebelli,dissection,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,regex_ci,dentate or cerebellar deep nuclei pattern,Dentate nucleus|Nucleus dentatus|Cerebellar deep nuclei|\bCbDN\b
Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,regex_ci,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b
Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,regex_ci,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b
Nucleus ruber,dissection,Midbrain (RN) - Red Nucleus - RN,regex_ci,red nucleus exact dissection,^Midbrain \(RN\) - Red Nucleus - RN$
Nucleus subthalamicus,dissection,Thalamus (THM) - Subthalamic nucleus and nearby - STH,regex_ci,subthalamic pattern,Subthalamic|\bSTH\b
Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b)
Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b)
Occipital lobe,dissection,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b)
Occipital lobe,dissection,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,regex_ci,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b)
Pallidum,dissection,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,regex_ci,pallidum pattern,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b
Pallidum,dissection,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,regex_ci,pallidum pattern,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b
Parietal lobe,dissection,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,regex_ci,cortical parietal pattern,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b)
Parietal lobe,dissection,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,regex_ci,cortical parietal pattern,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b)
Parietal lobe,dissection,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,regex_ci,cortical parietal pattern,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b)
Parietal lobe,dissection,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,regex_ci,cortical parietal pattern,^Cerebral cortex \(Cx\).*?(parietal|postcentral|supramarginal|supraparietal|somatosensory|operculum|\bPoCG\b|\bSMG\b|\bSPL\b|\bPaO\b|\bS1C\b|\bA40\b|\bA43\b|\bA5\b|\bA7\b)
Putamen,dissection,Basal nuclei (BN) - Putamen - Pu,regex_ci,putamen pattern,Putamen|\bPu\b
Substantia nigra,dissection,Midbrain (M) - Substantia Nigra - SN,regex_ci,substantia nigra pattern,Substantia Nigra|\bSN\b
Substantia nigra,dissection,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",regex_ci,substantia nigra pattern,Substantia Nigra|\bSN\b
Temporal lobe,dissection,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Temporal lobe,dissection,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,regex_ci,cortical temporal pattern,^Cerebral cortex \(Cx\).*?(temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|auditory|\bTTG\b|\bSTG\b|\bMTG\b|\bITG\b|\bTP\b|\bA1C\b|\bA35\b|\bA36\b|\bA38\b|\bLEC\b|\bMEC\b|\bFuGt\b|\bPPH\b|\bAPH\b|\bPRG\b)
Vermis,dissection,Cerebellum (CB) - Cerebellar Vermis - CBV,regex_ci,vermis pattern,Vermis|Cerebellar Vermis|\bCBV\b
