"Species","on_tree","in_Stephan","in_volumes_wide","Preferred_brain_volume_Stephan","Preferred_brain_volume_volumes_wide","Preferred_brain_volume_pct_diff","Preferred_brain_volume_status","Corpus_geniculatum_laterale_Stephan","Corpus_geniculatum_laterale_volumes_wide","Corpus_geniculatum_laterale_pct_diff","Corpus_geniculatum_laterale_status","Amygdala_Stephan","Amygdala_volumes_wide","Amygdala_pct_diff","Amygdala_status","Pallidum_Stephan","Pallidum_volumes_wide","Pallidum_pct_diff","Pallidum_status","Neocortex_white_Stephan","Neocortex_white_volumes_wide","Neocortex_white_pct_diff","Neocortex_white_status","Insular_cortex_grey_Stephan","Insular_cortex_grey_volumes_wide","Insular_cortex_grey_pct_diff","Insular_cortex_grey_status","Nucleus_subthalamicus_Luysi_Stephan","Nucleus_subthalamicus_Luysi_volumes_wide","Nucleus_subthalamicus_Luysi_pct_diff","Nucleus_subthalamicus_Luysi_status","Capsula_interna_Stephan","Capsula_interna_volumes_wide","Capsula_interna_pct_diff","Capsula_interna_status","Striatum_Stephan","Striatum_volumes_wide","Striatum_pct_diff","Striatum_status","Area_striata_grey_Stephan","Area_striata_grey_volumes_wide","Area_striata_grey_pct_diff","Area_striata_grey_status","Neocortex_grey_Stephan","Neocortex_grey_volumes_wide","Neocortex_grey_pct_diff","Neocortex_grey_status","Mesencephalon_Stephan","Mesencephalon_volumes_wide","Mesencephalon_pct_diff","Mesencephalon_status","Cerebellum_Stephan","Cerebellum_volumes_wide","Cerebellum_pct_diff","Cerebellum_status","Hippocampus_Stephan","Hippocampus_volumes_wide","Hippocampus_pct_diff","Hippocampus_status","Nucleus_dentatus_cerebelli_Stephan","Nucleus_dentatus_cerebelli_volumes_wide","Nucleus_dentatus_cerebelli_pct_diff","Nucleus_dentatus_cerebelli_status"
"Homo_sapiens","yes","yes","yes",1357820,1357820,0,"same",335,335,0,"same",3015,3015,0,"same",4711,4711,0,"same",421819,421819,0,"same",6165,6479,5.09,"DIFFERENT",469,469,0,"same",7008,7008,0,"same",28689,28689,0,"same",15247.5,14787,-3.02,"DIFFERENT",584706,584706,0,"same",8087,8087,0,"same",137421,137016.666666667,-0.29,"rounding",10287,10287,0,"same",1166.9,1166.9,0,"same"
"Hylobates_lar","yes","yes","yes",88803,88803,0,"same",166.2,166.2,0,"same",,,,"both_missing",715,715,0,"same",19154,19154,0,"same",289,289,0,"same",61.6,61.6,0,"same",693,693,0,"same",4784,4784,0,"same",4086.7,4574,11.92,"DIFFERENT",46646,46646,0,"same",1459,1459,0,"same",12078,11625,-3.75,"DIFFERENT",2673,2673,0,"same",141.08,141.08,0,"same"
"Hylobates_muelleri","yes","yes","yes",98263,98263,0,"same",162,161.6,-0.25,"rounding",,,,"both_missing",,,,"both_missing",,,,"both_missing",539,539,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Indri_indri","yes","yes","yes",32481,32481,0,"same",94.5,94.5,0,"same",,,,"both_missing",,,,"both_missing",4223,4223,0,"same",167,167,0,"same",,,,"both_missing",,,,"both_missing",1855,1855,0,"same",1648,1648,0,"same",15891,15891,0,"same",978,978,0,"same",5504,5504,0,"same",1520,1520,0,"same",56.31,56.31,0,"same"
"Leontopithecus_rosalia","yes","yes","yes",12259,12259,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",37,37,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Lophocebus_albigena","yes","yes","yes",106660,106660,0,"same",182,182,0,"same",,,,"both_missing",674,674,0,"same",,,,"both_missing",536,536,0,"same",52.4,52.4,0,"same",708,708,0,"same",4146,4146,0,"same",5420,5420,0,"same",,,,"both_missing",1770,1770,0,"same",10726,11700,9.08,"DIFFERENT",1485,1485,0,"same",113.33,113.33,0,"same"
"Loris_tardigradus","yes","yes","yes",6612,6612,0,"same",24.6,24.6,0,"same",,,,"both_missing",41.4,41.4,0,"same",,,,"both_missing",12,12,0,"same",3.79,3.79,0,"same",46.3,46.3,0,"same",351,351,0,"same",529,529,0,"same",,,,"both_missing",220,220,0,"same",728,728,0,"same",191,191,0,"same",5.76,5.76,0,"same"
"Macaca_maura","yes","yes","yes",80405,80405,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",492,492,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Pan_paniscus","yes","yes","yes",339766.6667,339766.666666667,0,"same",275.1,282.3,2.62,"DIFFERENT",,,,"both_missing",,,,"both_missing",,,,"both_missing",1690,1690.33333333333,0.02,"rounding",,,,"both_missing",,,,"both_missing",,,,"both_missing",11606.5,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,44175,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Pan_troglodytes","yes","yes","yes",330790,330790,0,"same",250.7,344,37.22,"DIFFERENT",,,,"both_missing",1951,1951,0,"same",118996,118996,0,"same",1601,1600.66666666667,-0.02,"rounding",127,127,0,"same",2510,2510,0,"same",12246,12246,0,"same",8268.3,10593,28.12,"DIFFERENT",172597,172597,0,"same",3739,3739,0,"same",43663,47100,7.87,"DIFFERENT",3779,3779,0,"same",455.83,455.83,0,"same"
"Perodicticus_potto","yes","yes","yes",11100,11100,0,"same",24.3,24.3,0,"same",,,,"both_missing",107,107,0,"same",,,,"both_missing",31,31,0,"same",8.19,8.19,0,"same",107,107,0,"same",712,712,0,"same",495,495,0,"same",,,,"both_missing",391,391,0,"same",1699,1699,0,"same",607,607,0,"same",12.25,12.25,0,"same"
"Piliocolobus_badius","yes","yes","yes",72394,72394,0,"same",128,128,0,"same",479,479,0,"same",521,521,0,"same",14331,14331,0,"same",241,241,0,"same",31.9,31.9,0,"same",460,460,0,"same",3217,3217,0,"same",3053,3053,0,"same",36575,36575,0,"same",1333,1333,0,"same",8648,8648,0,"same",1671,1671,0,"same",98.52,98.52,0,"same"
"Pithecia_pithecia","yes","yes","yes",28958,28958,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",279,279,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Pongo_abelii","yes","yes","-",333880,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",1158,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Pongo_pygmaeus","yes","yes","-",347970,,,"Stephan_only",259.1,,,"Stephan_only",1400,,,"Stephan_only",1800,,,"Stephan_only",81500,,,"Stephan_only",1505,,,"Stephan_only",,,,"both_missing",,,,"both_missing",11500,,,"Stephan_only",8233.7,,,"Stephan_only",138300,,,"Stephan_only",4000,,,"Stephan_only",42900,,,"Stephan_only",2700,,,"Stephan_only",,,,"both_missing"
"Saguinus_geoffroyi","yes","yes","yes",10135,10135,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",23,23,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Saguinus_oedipus","yes","yes","yes",8938.2,8938.2,0,"same",34.2,34.2,0,"same",,,,"both_missing",73.2,73.2,0,"same",,,,"both_missing",26,26,0,"same",4.45,4.45,0,"same",62.7,62.7,0,"same",453,453,0,"same",807,807,0,"same",,,,"both_missing",333,333,0,"same",984,984,0,"same",262,262,0,"same",8.8,8.8,0,"same"
"Symphalangus_syndactylus","yes","yes","yes",133880,133880,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",416,416,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",5468.9,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Trachypithecus_francoisi","yes","yes","yes",98552,98552,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",625,625,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Varecia_variegata","yes","yes","yes",30405,30405,0,"same",68.9,68.9,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",100,100,0,"same",,,,"both_missing",,,,"both_missing",1591,1591,0,"same",1745,1745,0,"same",,,,"both_missing",1018,1018,0,"same",4286,4286,0,"same",1404,1404,0,"same",37.45,37.45,0,"same"
"Alouatta_seniculus","yes","yes","yes",50193.05,37400,-25.49,"DIFFERENT",87.4,87.4,0,"same",413,413,0,"same",,,,"both_missing",9869,9869,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",2829,2829,0,"same",1918,1918,0,"same",21791,21791,0,"same",986,986,0,"same",5699,4150,-27.18,"DIFFERENT",1320,1320,0,"same",59.75,59.75,0,"same"
"Aotus_trivirgatus","yes","yes","yes",16505.79,19125,15.87,"DIFFERENT",32.9,32.9,0,"same",201,201,0,"same",,,,"both_missing",2174,2174,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",862,862,0,"same",996,996,0,"same",7776,7776,0,"same",409,409,0,"same",1873,1750,-6.57,"DIFFERENT",539,539,0,"same",17.02,17.02,0,"same"
"Avahi_occidentalis","yes","yes","yes",9124,9256.8,1.46,"DIFFERENT",29.3,29.3,0,"same",,,,"both_missing",,74.5,,"volumes_wide_only",777,777,0,"same",,38,,"volumes_wide_only",,5.94,,"volumes_wide_only",,105,,"volumes_wide_only",478,478,0,"same",450,450,0,"same",3666,3666,0,"same",345,345,0,"same",1383,1383,0,"same",476,476,0,"same",11.3,11.3,0,"same"
"Callimico_goeldii","yes","yes","yes",10510,10510,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",493,493,0,"same",,,,"both_missing",,,,"both_missing",340,340,0,"same",1240,1240,0,"same",281,281,0,"same",,,,"both_missing"
"Callithrix_jacchus","yes","yes","yes",7335.91,7241,-1.29,"DIFFERENT",25.1,25.1,0,"same",113,113,0,"same",,,,"both_missing",807.1,807.1,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",372,372,0,"same",566,566,0,"same",3564,3564,0,"same",295,295,0,"same",757,757,0,"same",221,221,0,"same",7.93,7.93,0,"same"
"Cercopithecus_ascanius","yes","yes","yes",64671.81,63505,-1.8,"DIFFERENT",147,147,0,"same",601,601,0,"same",405,405,0,"same",13052,13052,0,"same",,,,"both_missing",25.7,25.7,0,"same",421,421,0,"same",2827,2827,0,"same",4272,4272,0,"same",32114,32114,0,"same",1162,1162,0,"same",5828,5828,0,"same",1189,1189,0,"same",67.67,67.67,0,"same"
"Cheirogaleus_major","yes","yes","yes",6563.71,6373,-2.91,"DIFFERENT",21.5,21.5,0,"same",99.4,99.4,0,"same",31.6,31.6,0,"same",,,,"both_missing",,,,"both_missing",2.27,2.27,0,"same",48.6,48.6,0,"same",327,327,0,"same",433,433,0,"same",,,,"both_missing",241,241,0,"same",947,947,0,"same",347,347,0,"same",9.95,9.95,0,"same"
"Cheirogaleus_medius","yes","yes","yes",3030.89,2961,-2.31,"DIFFERENT",10.8,10.8,0,"same",63.2,63.2,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",145,145,0,"same",199,199,0,"same",,,,"both_missing",145,145,0,"same",437,437,0,"same",174,174,0,"same",4.27,4.27,0,"same"
"Daubentonia_madagascariensis","yes","yes","yes",43581.08,42611,-2.23,"DIFFERENT",58.5,58.5,0,"same",473,473,0,"same",,,,"both_missing",5053,5053,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",2765,2765,0,"same",1113,1113,0,"same",17074,17074,0,"same",897,897,0,"same",6461,6461,0,"same",1776,1776,0,"same",61.03,61.03,0,"same"
"Erythrocebus_patas","yes","yes","yes",103167,89000,-13.73,"DIFFERENT",267,266.8,-0.07,"rounding",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",3624,3624,0,"same",,,,"both_missing",,,,"both_missing",1621,1621,0,"same",8738,7900,-9.59,"DIFFERENT",1591,1591,0,"same",126.31,126.31,0,"same"
"Eulemur_fulvus","yes","yes","yes",22490.35,22106,-1.71,"DIFFERENT",51.8,51.8,0,"same",251,251,0,"same",212,212,0,"same",3035,3035,0,"same",,,,"both_missing",13.9,13.9,0,"same",248,248,0,"same",1215,1215,0,"same",1253,1253,0,"same",9172,9172,0,"same",590,590,0,"same",3328,3328,0,"same",752,752,0,"same",32.05,32.05,0,"same"
"Galago_senegalensis","yes","yes","yes",4633.2,4512,-2.62,"DIFFERENT",16,16,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",210,210,0,"same",301,301,0,"same",,,,"both_missing",205,205,0,"same",672,672,0,"same",261,261,0,"same",4.4,4.4,0,"same"
"Lagothrix_lagotricha","yes","yes","yes",97490.35,,,"Stephan_only",164,,,"Stephan_only",,,,"both_missing",845,,,"Stephan_only",16727,,,"Stephan_only",,,,"both_missing",63.8,,,"Stephan_only",612,,,"Stephan_only",4947,,,"Stephan_only",4856,,,"Stephan_only",49147,,,"Stephan_only",1582,,,"Stephan_only",11268,,,"Stephan_only",1586,,,"Stephan_only",108.57,,,"Stephan_only"
"Lepilemur_ruficaudatus","yes","yes","yes",7335.91,7175,-2.19,"DIFFERENT",15.6,15.6,0,"same",133,133,0,"same",55.2,55.2,0,"same",476.6,476.6,0,"same",,,,"both_missing",2.91,2.91,0,"same",63,63,0,"same",366,366,0,"same",326,326,0,"same",2805,2805,0,"same",260,260,0,"same",1165,1165,0,"same",392,392,0,"same",9.35,9.35,0,"same"
"Macaca_fascicularis","yes","yes","yes",55598.46,55600,0,"rounding",91.9,91.9,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",2713.3,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Macaca_mulatta","yes","yes","yes",89768.34,84880,-5.45,"DIFFERENT",158,158,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",4032,4032,0,"same",5343,5343,0,"same",,,,"both_missing",1380,1380,0,"same",8965,7233.33333333333,-19.32,"DIFFERENT",1353,1353,0,"same",106.94,106.94,0,"same"
"Microcebus_murinus","yes","yes","yes",1718.15,1680,-2.22,"DIFFERENT",7.1,7.07,-0.42,"rounding",36.4,36.4,0,"same",10.7,10.7,0,"same",65.31,65.31,0,"same",,,,"both_missing",0.65,0.65,0,"same",9.08,9.08,0,"same",85.7,85.7,0,"same",136,136,0,"same",674.2,674.2,0,"same",85.2,85.2,0,"same",234,234,0,"same",100,100,0,"same",2.11,2.11,0,"same"
"Miopithecus_talapoin","yes","yes","yes",38610.04,37776,-2.16,"DIFFERENT",109,109,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",1908,1908,0,"same",2339,2339,0,"same",,,,"both_missing",826,826,0,"same",3374,3374,0,"same",705,705,0,"same",33.84,33.84,0,"same"
"Nasalis_larvatus","yes","yes","yes",92797,92797,0,"same",157,156.6,-0.25,"rounding",,,,"both_missing",550,550,0,"same",,,,"both_missing",,,,"both_missing",37.2,37.2,0,"same",564,564,0,"same",3735,3735,0,"same",,,,"both_missing",,,,"both_missing",1556,1556,0,"same",12113,12113,0,"same",1966,1966,0,"same",149.33,149.33,0,"same"
"Nycticebus_coucang","yes","yes","yes",12065.64,11755,-2.57,"DIFFERENT",35.9,35.9,0,"same",,,,"both_missing",,,,"both_missing",1240,1240,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",760,760,0,"same",696,696,0,"same",4952,4952,0,"same",345,345,0,"same",1310,1310,0,"same",566,566,0,"same",14.03,14.03,0,"same"
"Otolemur_crassicaudatus","yes","yes","yes",9942.08,9668,-2.76,"DIFFERENT",23.2,23.2,0,"same",,,,"both_missing",63.3,63.3,0,"same",,,,"both_missing",,,,"both_missing",4.1,4.1,0,"same",74.6,74.6,0,"same",556,556,0,"same",479,479,0,"same",,,,"both_missing",384,384,0,"same",1414,1414,0,"same",461,461,0,"same",9.64,9.64,0,"same"
"Papio_anubis","yes","yes","yes",194015.44,190957,-1.58,"DIFFERENT",395,395,0,"same",,,,"both_missing",1147,1147,0,"same",54416,54416,0,"same",,,,"both_missing",94.7,94.7,0,"same",1257,1257,0,"same",7182,7182,0,"same",10001,10001,0,"same",85726,85726,0,"same",2711,2711,0,"same",18683,18683,0,"same",3398,3398,0,"same",220.35,220.35,0,"same"
"Pithecia_monachus","yes","yes","yes",33783.78,32867,-2.71,"DIFFERENT",76.3,76.3,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",1918,1918,0,"same",1679,1679,0,"same",,,,"both_missing",745,745,0,"same",3908,3908,0,"same",834,834,0,"same",53.67,53.67,0,"same"
"Plecturocebus_moloch","yes","yes","yes",18339.77,,,"Stephan_only",54.2,,,"Stephan_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",920,,,"Stephan_only",1201,,,"Stephan_only",,,,"both_missing",530,,,"Stephan_only",1622,,,"Stephan_only",588,,,"Stephan_only",21.24,,,"Stephan_only"
"Propithecus_verreauxi","yes","yes","yes",25772.2,25194,-2.24,"DIFFERENT",64.5,64.5,0,"same",251,251,0,"same",263,263,0,"same",3335,3335,0,"same",,,,"both_missing",20,20,0,"same",324,324,0,"same",1411,1411,0,"same",1106,1106,0,"same",9835,9835,0,"same",780,780,0,"same",3957,3957,0,"same",1043,1043,0,"same",39.46,39.46,0,"same"
"Pygathrix_nemaeus","yes","yes","yes",72530,72530,0,"same",115,114.8,-0.17,"rounding",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",3166,3166,0,"same",,,,"both_missing",,,,"both_missing",1345,1345,0,"same",8063,8063,0,"same",2295,2295,0,"same",137.05,137.05,0,"same"
"Saguinus_midas","yes","yes","yes",9942.08,9569,-3.75,"DIFFERENT",36,36.8,2.22,"DIFFERENT",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",471,471,0,"same",841,841,0,"same",,,,"both_missing",332,332,0,"same",1061,1061,0,"same",280,280,0,"same",7.75,7.75,0,"same"
"Saimiri_sciureus","yes","yes","yes",23166.02,23100,-0.28,"rounding",62.9,62.9,0,"same",227,227,0,"same",169,169,0,"same",3710,3710,0,"same",,,,"both_missing",11.5,11.5,0,"same",132,132,0,"same",1042,1042,0,"same",1884,1884,0,"same",11832,11832,0,"same",526,526,0,"same",2260,2050,-9.29,"DIFFERENT",352,352,0,"same",27.2,27.2,0,"same"
"Tarsius_syrichta","yes","yes","-",3474.9,,,"Stephan_only",20.8,,,"Stephan_only",49.8,,,"Stephan_only",16.1,,,"Stephan_only",137,,,"Stephan_only",,,,"both_missing",1.09,,,"Stephan_only",16.7,,,"Stephan_only",133,,,"Stephan_only",349,,,"Stephan_only",1631,,,"Stephan_only",197,,,"Stephan_only",428,,,"Stephan_only",153,,,"Stephan_only",3.37,,,"Stephan_only"
"A._l._occidentalis","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Atelerix_algirus","PRUNED","-","yes",,2859,,"volumes_wide_only",,5.02,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,63.6,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,140,,"volumes_wide_only",,,,"both_missing",,436.7,,"volumes_wide_only",,153,,"volumes_wide_only",,358,,"volumes_wide_only",,227,,"volumes_wide_only",,,,"both_missing"
"Ateles_paniscus","PRUNED","-","yes",,90700,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,10366.6666666667,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Avahi_laniger_laniger","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"C._medius","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"C._mitis","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Callicebus_moloch","PRUNED","-","yes",,17944,,"volumes_wide_only",,54.2,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,920,,"volumes_wide_only",,1201,,"volumes_wide_only",,,,"both_missing",,530,,"volumes_wide_only",,1622,,"volumes_wide_only",,588,,"volumes_wide_only",,21.24,,"volumes_wide_only"
