dissection,ROIGroup,ROIGroupCoarse,ROIGroupFine,roi
Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB,Hindbrain,Pons,Pons,Human PB
Pons (Pn) - Pontine reticular formation - PnRF,Hindbrain,Pons,Pons,Human PnRF
Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN,Hindbrain,Pons,Pons,Human PnAN
Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN,Hindbrain,Pons,Pons,Human PnEN
Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg,Hindbrain,Pons,Pons,Human DTg
Spinal cord - SpC,Spinal cord,Spinal cord,Spinal cord,Human SpC
Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,Hippocampus,Hippocampus,Hippocampus,Human CA1C-CA3C
Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,Hippocampus,Hippocampus,Hippocampus,Human CA4C-DGC
Tail of Hippocampus (HiT) - Subicular cortex - Sub,Hippocampus,Hippocampus,Hippocampus,Human Sub
Thalamus (THM) - Anterior nuclear complex - ANC,Thalamus,Thalamus,Thalamus,Human ANC
Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA,Thalamus,Thalamus,Thalamus,Human VA
Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN,Thalamus,Thalamus,Thalamus,Human VLN
Thalamus (THM) - Subthalamic nucleus and nearby - STH,Thalamus,Thalamus,Thalamus,Human STH
Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf,Thalamus,Thalamus,Thalamus,Human CM-Pf
Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM,Thalamus,Thalamus,Thalamus,Human CM
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,Thalamus,Thalamus,Thalamus,Human Pul
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL,Thalamus,Thalamus,Thalamus,Human LP-VPL
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP,Thalamus,Thalamus,Thalamus,Human LP
Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL,Thalamus,Thalamus,Thalamus,Human VPL
Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,Thalamus,Thalamus,Thalamus,Human MD-Re
Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,Thalamus,Thalamus,Thalamus,Human MD
Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),Thalamus,Thalamus,Thalamus,Human LG
Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),Thalamus,Thalamus,Thalamus,Human MG
