"obs_dataset","roi","n_obs_rows","anatomy_id","anatomy_group","is_cerebral_cortex","is_neocortex","is_telencephalon","mapping_status"
"neuronal","Human Ig",35320,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human LEC",29867,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human LG",40261,"lateral_geniculate_nucleus","Corpus geniculatum laterale",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human La",24564,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human M1C",110256,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human MD",17520,"medial_thalamic_nuclei","Nucleus medial thalami",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human MD-Re",8943,"medial_thalamic_nuclei","Nucleus medial thalami",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human MEC",46882,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human MG",10535,"medial_geniculate_nucleus","Corpus geniculatum mediale",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human MTG",85167,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human NAC",27412,"nucleus_accumbens","Nucleus accumbens",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human Pro",25291,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human Pu",30741,"putamen","Putamen",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human RN",1741,"red_nucleus","Nucleus ruber",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human S1C",35462,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human SC",27166,"superior_colliculus","Colliculus superior",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human SEP",20519,"basal_forebrain","Basal forebrain",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human SI",33370,"basal_forebrain","Basal forebrain",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human SN",8668,"substantia_nigra","Substantia nigra",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human STG",27369,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human STH",603,"subthalamic_nucleus","Nucleus subthalamicus",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human Sub",27795,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human TF",29413,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human TH-TL",32254,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human V1C",30612,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human V2",29656,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A23",32983,,,,,,"unmapped"
"neuronal","Human A24",28504,,,,,,"unmapped"
"neuronal","Human A29-A30",31651,,,,,,"unmapped"
"neuronal","Human ANC",25035,,,,,,"unmapped"
"neuronal","Human AON",29263,,,,,,"unmapped"
"neuronal","Human CM",6035,,,,,,"unmapped"
"neuronal","Human CM-Pf",16021,,,,,,"unmapped"
"neuronal","Human Cla",27929,,,,,,"unmapped"
"neuronal","Human DTg",18015,,,,,,"unmapped"
"neuronal","Human ETH",22279,,,,,,"unmapped"
"neuronal","Human HTHma",9025,,,,,,"unmapped"
"neuronal","Human HTHma-HTHtub",16517,,,,,,"unmapped"
"neuronal","Human HTHpo",13257,,,,,,"unmapped"
"neuronal","Human HTHpo-HTHso",18008,,,,,,"unmapped"
"neuronal","Human HTHso",9544,,,,,,"unmapped"
"neuronal","Human HTHso-HTHtub",15506,,,,,,"unmapped"
"neuronal","Human HTHtub",11007,,,,,,"unmapped"
"neuronal","Human IO",10519,,,,,,"unmapped"
"neuronal","Human LP",12564,,,,,,"unmapped"
"neuronal","Human LP-VPL",1481,,,,,,"unmapped"
"neuronal","Human MN",17416,,,,,,"unmapped"
"neuronal","Human MoAN",15630,,,,,,"unmapped"
"neuronal","Human MoRF-MoEN",14034,,,,,,"unmapped"
"neuronal","Human MoSR",7169,,,,,,"unmapped"
"neuronal","Human PAG",16607,,,,,,"unmapped"
"neuronal","Human PAG-DR",10688,,,,,,"unmapped"
"neuronal","Human PB",15580,,,,,,"unmapped"
"neuronal","Human PN",18286,,,,,,"unmapped"
"neuronal","Human PTR",23590,,,,,,"unmapped"
"neuronal","Human Pir",32186,,,,,,"unmapped"
"neuronal","Human PnAN",13698,,,,,,"unmapped"
"neuronal","Human PnEN",25272,,,,,,"unmapped"
"neuronal","Human PnRF",16190,,,,,,"unmapped"
"neuronal","Human Pul",30508,,,,,,"unmapped"
"neuronal","Human SN-RN",11373,,,,,,"unmapped"
"neuronal","Human SpC",6038,,,,,,"unmapped"
"neuronal","Human VA",4263,,,,,,"unmapped"
"neuronal","Human VLN",14529,,,,,,"unmapped"
"neuronal","Human VPL",2324,,,,,,"unmapped"
"nonneuronal","Human A13",2279,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A14",877,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A19",2886,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A1C",2607,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A25",2663,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A32",2016,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A35-36",72,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A35-A36",1948,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A35r",17491,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A38",3165,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A40",3050,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A43",3796,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A44-A45",2555,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A46",3136,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A5-A7",2758,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human BL",4596,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human BM",4806,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human BNST",3656,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1-3",814,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1C-CA3C",4448,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1R-CA2R",1569,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1R-CA2R-CA3R",7010,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1U",24394,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA1U-CA2U-CA3U",5917,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA2U-CA3U",1185,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA3R",3276,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CA4C-DGC",19743,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CBL",3218,"cerebellar_cortex","Cerebellar cortex",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human CBV",17133,"vermis","Vermis",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human CEN",12647,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CMN",3966,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human CaB",2787,"caudate_nucleus","Caudatum",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human CbDN",28652,"dentate_nucleus","Nucleus dentatus cerebelli",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human CoA",2476,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human DGR-CA4Rpy",14520,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human DGU-CA4Upy",13331,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human FI",2338,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human GPe",33090,"pallidum","Pallidum",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human GPi",32242,"pallidum","Pallidum",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human Gpe",2478,"pallidum","Pallidum",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human IC",4290,"inferior_colliculus","Colliculus inferior",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human ITG",2911,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human Idg",3241,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human Ig",3617,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human LEC",2878,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human LG",8595,"lateral_geniculate_nucleus","Corpus geniculatum laterale",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human La",4420,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human M1C",6320,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human MD",3396,"medial_thalamic_nuclei","Nucleus medial thalami",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human MD-Re",4439,"medial_thalamic_nuclei","Nucleus medial thalami",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human MEC",3480,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human MG",3691,"medial_geniculate_nucleus","Corpus geniculatum mediale",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human MTG",22134,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human NAC",2720,"nucleus_accumbens","Nucleus accumbens",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human Pro",2760,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human Pu",3675,"putamen","Putamen",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human RN",2973,"red_nucleus","Nucleus ruber",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human S1C",2726,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human SC",2741,"superior_colliculus","Colliculus superior",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human SEP",20296,"basal_forebrain","Basal forebrain",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human SI",4835,"basal_forebrain","Basal forebrain",FALSE,FALSE,TRUE,"mapped"
"nonneuronal","Human SN",50837,"substantia_nigra","Substantia nigra",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human STG",13196,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human STH",19559,"subthalamic_nucleus","Nucleus subthalamicus",FALSE,FALSE,FALSE,"mapped"
"nonneuronal","Human Sub",13773,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"nonneuronal","Human TF",2486,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human TH-TL",8423,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human V1C",2872,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human V2",2982,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"nonneuronal","Human A23",2409,,,,,,"unmapped"
"nonneuronal","Human A24",3653,,,,,,"unmapped"
"nonneuronal","Human A29-A30",2427,,,,,,"unmapped"
"nonneuronal","Human ANC",6272,,,,,,"unmapped"
"nonneuronal","Human AON",1967,,,,,,"unmapped"
"nonneuronal","Human CM",6909,,,,,,"unmapped"
"nonneuronal","Human CM-Pf",8333,,,,,,"unmapped"
"nonneuronal","Human Cla",12236,,,,,,"unmapped"
"nonneuronal","Human DTg",8080,,,,,,"unmapped"
"nonneuronal","Human ETH",2048,,,,,,"unmapped"
"nonneuronal","Human HTHma",1074,,,,,,"unmapped"
"nonneuronal","Human HTHma-HTHtub",2211,,,,,,"unmapped"
"nonneuronal","Human HTHpo",1722,,,,,,"unmapped"
"nonneuronal","Human HTHpo-HTHso",2019,,,,,,"unmapped"
"nonneuronal","Human HTHso",3013,,,,,,"unmapped"
"nonneuronal","Human HTHso-HTHtub",1247,,,,,,"unmapped"
"nonneuronal","Human HTHtub",2166,,,,,,"unmapped"
"nonneuronal","Human IO",11015,,,,,,"unmapped"
"nonneuronal","Human LP",13608,,,,,,"unmapped"
"nonneuronal","Human LP-VPL",16179,,,,,,"unmapped"
"nonneuronal","Human MN",10739,,,,,,"unmapped"
"nonneuronal","Human MoAN",11580,,,,,,"unmapped"
"nonneuronal","Human MoRF-MoEN",9086,,,,,,"unmapped"
"nonneuronal","Human MoSR",6454,,,,,,"unmapped"
"nonneuronal","Human PAG",17187,,,,,,"unmapped"
"nonneuronal","Human PAG-DR",3406,,,,,,"unmapped"
"nonneuronal","Human PB",8575,,,,,,"unmapped"
"nonneuronal","Human PN",15355,,,,,,"unmapped"
"nonneuronal","Human PTR",2285,,,,,,"unmapped"
"nonneuronal","Human Pir",4755,,,,,,"unmapped"
"nonneuronal","Human PnAN",9651,,,,,,"unmapped"
"nonneuronal","Human PnEN",22144,,,,,,"unmapped"
"nonneuronal","Human PnRF",33322,,,,,,"unmapped"
"nonneuronal","Human Pul",15945,,,,,,"unmapped"
"nonneuronal","Human SN-RN",37737,,,,,,"unmapped"
"nonneuronal","Human SpC",18152,,,,,,"unmapped"
"nonneuronal","Human VA",4310,,,,,,"unmapped"
"nonneuronal","Human VLN",12582,,,,,,"unmapped"
"nonneuronal","Human VPL",4553,,,,,,"unmapped"
