Species,Preferred_brain_volume,raw_region,Region_volume,Structure,rCMRGlc
Cebus_albifrons,77027,Cerebellum,7871,Cerebellum,29.7507692307692
Cebus_albifrons,77027,Hippocampus,890,Hippocampus,25.7
Cebus_albifrons,77027,Lateral_cerebellar_nuclei,99.52,Nucleus dentatus cerebelli,24.2
Cercocebus_agilis,91988,LGN_Sousa,,Corpus geniculatum laterale,23.1
Cercocebus_agilis,91988,Amygdala,,Amygdala,22.2
Cercocebus_agilis,91988,Pallidum,,Pallidum,21.9
Cercocebus_agilis,91988,NeoW_Frahm,,Neocortex white,12.3
Cercocebus_agilis,91988,Total_insula_volume_L,379,Insular cortex (grey),30.3
Cercocebus_agilis,91988,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Cercocebus_agilis,91988,Capsula_interna,,Capsula interna,25.5
Cercocebus_agilis,91988,Striatum,,Striatum,36.2663366336634
Cercocebus_agilis,91988,ASG_Sousa,,Area striata grey,35.8
Cercocebus_agilis,91988,NeoG_Frahm,,Neocortex grey,33.5
Cercocebus_agilis,91988,Mesencephalon,,Mesencephalon,25.2727272727273
Cercocebus_agilis,91988,Cerebellum,,Cerebellum,29.7507692307692
Cercocebus_agilis,91988,Hippocampus,,Hippocampus,25.7
Cercocebus_agilis,91988,Lateral_cerebellar_nuclei,,Nucleus dentatus cerebelli,24.2
Cercopithecus_ascanius,64671.81,LGN_Sousa,147,Corpus geniculatum laterale,23.1
Cercopithecus_ascanius,64671.81,Amygdala,601,Amygdala,22.2
Cercopithecus_ascanius,64671.81,Pallidum,405,Pallidum,21.9
Cercopithecus_ascanius,64671.81,NeoW_Frahm,13052,Neocortex white,12.3
Cercopithecus_ascanius,64671.81,Total_insula_volume_L,,Insular cortex (grey),30.3
Cercopithecus_ascanius,64671.81,Nucleus_subthalamicus,25.7,Nucleus subthalamicus Luysi,25.2
Cercopithecus_ascanius,64671.81,Capsula_interna,421,Capsula interna,25.5
Cercopithecus_ascanius,64671.81,Striatum,2827,Striatum,36.2663366336634
