Species,Preferred_brain_volume,LGN_Sousa,Amygdala,Pallidum,NeoW_Frahm,Total_insula_volume_L,Nucleus_subthalamicus,Capsula_interna,Striatum,ASG_Sousa,NeoG_Frahm,Mesencephalon,Cerebellum,Hippocampus,Lateral_cerebellar_nuclei,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Schizocortex,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Tractus_opticus,Palaeocortex,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,Pons,Body_mass,Brain_mass,Brain_volume,Granular_volume_L,Dysgranular_volume_L,Agranular_volume_L,FI_volume_L,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale,Prefrontal.Gray,Other.cortical.association.areas.Gray,Frontal.motor.Gray,Primary.visual.White.Smaers,Prefrontal.White,Other.cortical.association.areas.White,Frontal.motor,Species_Matano1985a,code_Matano1985a,Body_weight_1985a,Cerebellar_nuclei_total,Interpositus_cerebellar_nuclei,Medial_cerebellar_nuclei,Number_cerebellar_nuclei
Homo_sapiens,1357820,335,3015,4711,421819,6165,469,7008,28689,15247.5,584706,8087,137421,10287,1166.9,Homo sapiens,_0280,65000,1330000,18732,13205,1251847,9622,33319,1063399,114,0,9032,2610,6142,1006525,133,18222,3555,5180,823,6016,592,0,2424,246,1258397.68,10477.9,70100,1406720,1357820,1873.8,2960.2,1200.6,444.6,1,177,35.8,22.4,72.8,45.9,1,0.52,0.51,17,142,0.02,46.32,271.89,29.01,5.44,28.14,258.22,29.76,Homo sapiens,3553,65000,1513.78,190.48,156.4,2
Hylobates_lar,88803,166.2,,715,19154,289,61.6,693,4784,4086.7,46646,1459,12078,2673,141.08,Hylobates lar,_0271,5700,102000,555,395,97505,2251,5716,76001,43.9,0,1264,302,1136,65800,31.2,3226,629,777,302,,,,,,102316.6,1167.9,5340,92000,88803,117,131,40,,1,59.3,14.9,5.53,24.5,14.5,,,,,,,2.59,28.42,2.74,1.18,0.51,12.92,1.74,Hylobates lar,3539,5700,242.09,65.6,35.41,1
Hylobates_muelleri,98263,162,,,,539,,,,,,,,,,,Bauernfeind,5710,101800,,,,,,,,,,,,,,,,,,,,,,,,,5710,101800,98263,111,286,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indri_indri,32481,94.5,,,4223,167,,,1855,1648,15891,978,5504,1520,56.31,Indri indri,_0133,6250,38300,330,354,36285,1342,2911,25551,168,2.32,838,205,848,20114,,,,,,,,,,,36969.11,186.3,5830,33700,32481,50,85,33,,,,,,,,1,4.96,0.55,7.15,5.63,0.37,,,,,,,,lndri indri,3249,6250,141.3,46.96,38.03,2
Leontopithecus_rosalia,12259,,,,,37,,,,,,,,,,,Bauernfeind,598,12700,,,,,,,,,,,,,,,,,,,,,,,,,598,12700,12259,4,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophocebus_albigena,106660,182,,674,,536,52.4,708,4146,5420,,1770,10726,1485,113.33,Lophocebus albigena,_0209,7900,104000,742,2041,97603,2708,5351,77049,121,0,1639,294,630,68733,27.9,2933,681,726,308,,,,,,100386.1,873.3,8250,110500,106660,171,270,95,,1,87.1,16.2,10,35.6,25.2,1,1.69,0.66,6,11.9,0.23,2.31,29.1,3.93,1.41,0.42,17.09,3.06,Cercocebus albigena,3407,7900,232.63,74.6,44.7,2
Loris_tardigradus,6612,24.6,,41.4,,12,3.79,46.3,351,529,,220,728,191,5.76,Loris tardigradus,_0137,322,6600,51.6,50.4,6269,233,538,4551,85.8,2.3,256,41.1,99.7,3524,3.21,348,80.9,45.2,15.7,,,,,,6370.66,28.9,264,6900,6612,3,6,3,,1,8.45,1.61,1.22,3.55,2.08,1,0.82,0.21,1.15,0.34,0.1,,,,,,,,Loris tardigradus,3253,322,17.99,5.58,6.65,2
Macaca_maura,80405,,,,,492,,,,,,,,,,,Bauernfeind,6050,83300,,,,,,,,,,,,,,,,,,,,,,,,,6050,83300,80405,181,240,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan_paniscus,339766.6667,275.1,,,,1690,,,,11606.5,,,,,,,Bauernfeind,37133.33333,352000,,,,,,,,,,,,,,,,,,,,,,,338803.09,,37133.33333,352000,339766.6667,260.666667,934.333333,351,144.666667,,,,,,,,,,,,,7.96,,8.36,,2.06,,5.24,,,,,,,
Pan_troglodytes,330790,250.7,,1951,118996,1601,127,2510,12246,8268.3,172597,3739,43663,3779,455.83,Pan troglodytes,_0277,46000,405000,1899,6924,382103,5817,15392,313493,257,0,2750,851,2018,291592,53.6,7987,1739,2078,630,,,,,,319670.71,3990.6,46503.33333,342700,330790,667.333333,703.666667,164.666667,65.666667,1,118,23.5,9.65,54.7,29.8,3,2.7,0.61,9.4,38,0.39,14.21,112.75,13.41,4,4.61,76.6,12.78,Pan troglodytes,3549,46000,601.42,87.27,58.32,1
Perodicticus_potto,11100,24.3,,107,,31,8.19,107,712,495,,391,1699,607,12.25,Perodicticus potto,_0139,1150,14000,127,174,13212,680,1024,9418,310,2.74,661,114,328,6683,10.4,587,160,116,19.5,,,,,,13513.51,77.7,1250,11500,11100,16,10,4,,2,17.3,2.86,2.66,7.87,3.88,5,2.27,0.22,3.77,1.76,0.26,,,,,,,,Perodicticus potto,3259,1150,29.44,8.43,8.76,2
Piliocolobus_badius,72394,128,479,521,14331,241,31.9,460,3217,3053,36575,1333,8648,1671,98.52,Piliocolobus badius,_0246,7000,78000,455,1016,73818,2007,3945,57885,51.3,0,937,288,814,50906,22.3,2164,484,553,201,458,114,0,365,45.5,75289.58,646.4,7050,75000,72394,72,116,53,,2,57.3,8.68,10,24.1,14.5,1,2.26,0.45,4.54,7.31,0.27,1.59,22.63,2.26,0.93,0.2,9.67,1.32,Colobus badius,3477,7000,190.92,57.76,34.64,2
Pithecia_pithecia,28958,,,,,279,,,,,,,,,,,Bauernfeind,1580,30000,,,,,,,,,,,,,,,,,,,,,,,,,1580,30000,28958,40,135,104,,,,,,,,,,,,,,0.6,9.24,0.82,0.45,0.08,4.2,0.5,,,,,,,
Pongo_abelii,333880,,,,,1158,,,,,,,,,,,Bauernfeind,35600,345900,,,,,,,,,,,,,,,,,,,,,,,,,35600,345900,333880,218.5,599.5,321.5,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pongo_pygmaeus,347970,259.1,1400,1800,81500,1505,,,11500,8233.7,138300,4000,42900,2700,,,Bauernfeind_Zilles,57050,336000,,,,5500,13500,238300,,,3800,600,,219800,,,,,,2400,,,,,371299.87,4300,57050,360500,347970,199,1057,188,60,,,,,,,,,,,,,8.6,76.92,6.35,,2.52,,4.75,,,,,,,
Saguinus_geoffroyi,10135,,,,,23,,,,,,,,,,,Bauernfeind,482,10500,,,,,,,,,,,,,,,,,,,,,,,,,482,10500,10135,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguinus_oedipus,8938.2,34.2,,73.2,,26,4.45,62.7,453,807,,333,984,262,8.8,Saguinus oedipus,_0164,380,10000,62.6,52.8,9537,413,754,7052,19.1,0.41,256,60.5,107,5894,4.93,410,152,77.6,50.5,,,,,,9652.51,50.9,418,9300,8938.2,7,13,6,,2,18.4,2.98,3.63,7.25,4.49,1,1.08,0.17,1.55,0.39,0.09,,,,,,,,Saguinus oedipus,3311,380,24.6,7.19,8.61,2
Symphalangus_syndactylus,133880,,,,,416,,,,5468.9,,,,,,,Bauernfeind,11900,138700,,,,,,,,,,,,,,,,,,,,,,,133880.31,,11900,138700,133880,198,147,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypithecus_francoisi,98552,,,,,625,,,,,,,,,,,Bauernfeind,7700,102100,,,,,,,,,,,,,,,,,,,,,,,,,7700,102100,98552,249,217,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varecia_variegata,30405,68.9,,,,100,,,1591,1745,,1018,4286,1404,37.45,Varecia variegata,_0124,3000,31500,299,393,29713,1420,2529,20461,369,5.27,985,206,608,15293,,,,,,,,,,,30405.41,168.8,3550,31500,30405,44,44,12,,,,,,,,1,3.51,0.74,5.35,4.46,0.2,,,,,,,,Varecia variegata,3227,3000,94.67,28.83,28.39,1
Alouatta_seniculus,50193.05,87.4,413,,9869,,,,2829,1918,21791,986,5699,1320,59.75,Alouatta sp.,_0179,6400,52000,616,568,49009,1593,3344,37388,41.4,0.6,827,200,510,31660,,,,,,488,94.9,0,318,30.7,50193.05,,,,,,,,,,,,,,,1,1.72,0.37,3.3,0.25,0.4,1.02,12.39,1.08,0.54,0.18,4.21,0.87,Alouatta seniculus,,6400,113.79,26.57,27.47,2
Aotus_trivirgatus,16505.79,32.9,201,,2174,,,,862,996,7776,409,1873,539,17.02,Aotus trivirgatus,_0171,830,17100,105,206,16195,686,1098,12128,56,0.22,394,83.8,243,9950,,,,,,203,54.5,0.2,147,15.7,16505.79,112.1,,,,,,,,,,,,,,1,0.96,0.16,3.21,1.55,0.14,,,,,,,,Aotus trivirgatus,3325,830,41.45,11.42,13.01,2
Avahi_occidentalis,9124,29.3,,,777,,,,478,450,3666,345,1383,476,11.3,Avahi occidentalis,_0131,860,9670,73.7,137,9124,508,861,6026,70.1,2.55,265,69.3,222,4443,,,,,,,,,,,,60.3,,,,,,,,2,18.1,3.1,3.32,6.86,4.81,1,0.99,0.19,2.04,0.65,0.09,,,,,,,,Avahi l. occidentalis,3244,860,29.66,10.18,8.18,1
Callimico_goeldii,10510,,,,,,,,493,,,340,1240,281,,Callimico goeldii,_0166,480,11000,47.9,59.5,10510,460,739,7733,27,0.51,253,63.5,138,6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_jacchus,7335.91,25.1,113,,807.1,,,,372,566,3564,295,757,221,7.93,Callithrix jacchus,_0151,280,7600,52,42.9,7241,318,554,5318,22.8,0.33,191,49.8,90,4371,,,,,,99.3,28.3,0.2,84.6,8.57,7335.91,38.8,,,,,,,,,,,,,,1,0.44,0.13,1.63,0.49,0.08,,,,,,,,Callithrix jacchus,3287,280,20.96,5.44,7.59,2
Cercopithecus_ascanius,64671.81,147,601,405,13052,,25.7,421,2827,4272,32114,1162,5828,1189,67.67,Cercopithecus ascanius,_0231,3400,67000,240,927,63505,1632,3605,51279,99.5,0,1052,251,694,45166,17.9,1916,410,431,320,450,136,0,465,48.9,64671.81,520.2,,,,,,,,1,52,8.21,5.88,20.8,17.2,1,2.13,0.51,4.23,4.66,0.22,1.15,16.06,1.35,0.83,0.16,8.3,0.93,Cercopithecus ascanius,3433,3400,143.98,41.7,34.61,2
Cheirogaleus_major,6563.71,21.5,99.4,31.6,,,2.27,48.6,327,433,,241,947,347,9.95,Cheirogaleus major,_0111,450,6800,83.4,108,6373,382,489,4314,158,4.04,332,58.9,149,2938,4.83,271,101,33.8,18,233,34.1,0.85,65.3,7.32,6563.71,27.4,,,,,,,,1,11.1,1.86,1.78,4.18,3.27,1,0.92,0.26,1.75,0.79,0.03,,,,,,,,Cheirogaleus major,3203,450,19.45,3.85,5.65,2
Cheirogaleus_medius,3030.89,10.8,63.2,,,,,,145,199,,145,437,174,4.27,Cheirogaleus medius,_0112,177,3140,24.6,45.2,2961,202,235,1941,102,2.66,198,32.5,65.3,1221,,,,,,135,23.3,0.47,39.8,,3030.89,13,,,,,,,,,,,,,,1,0.39,0.17,1.06,0.69,0.04,,,,,,,,Cheirogaleus medius,3205,177,9.45,1.94,3.24,1
Daubentonia_madagascariensis,43581.08,58.5,473,,5053,,,,2765,1113,17074,897,6461,1776,61.03,Daubentonia madagasc.,_0136,2800,45150,392,578,42611,1517,3539,30196,685,8.31,1538,254,1044,22127,,,,,,1065,122,3.53,351,24.9,43581.08,304.8,,,,,,,,,,,,,,1,2.65,0.59,7.75,3.32,1.83,,,,,,,,Daubentonia madagasc.,3251,2800,126.08,36.11,28.94,1
Erythrocebus_patas,103167,267,,,,,,,3624,,,1621,8738,1591,126.31,Erythrocebus patas,_0234,7800,108000,561,519,103167,2616,5423,84770,51.8,0,1339,330,693,77141,,,,,,,,,,,,814.5,,,,,,,,,,,,,,,,,,,,1.56,,2.55,,0.27,,1.85,Erythrocebus patas,3473,7800,295.09,95.07,73.71,2
Eulemur_fulvus,22490.35,51.8,251,212,3035,,13.9,248,1215,1253,9172,590,3328,752,32.05,Eulemur fulvus,_0118,1400,23300,194,190,22106,909,1713,15566,207,3.21,641,119,422,12207,12.2,1028,239,225,108,389,71.7,1.37,179,19.6,22490.35,136.9,,,,,,,,1,31.1,6.22,5.9,9.75,9.27,4,1.4,0.53,4.02,1.85,0.17,,,,,,,,Lemur fulvus,3215,1400,86.28,27.58,26.65,2
Galago_senegalensis,4633.2,16,,,,,,,210,301,,205,672,261,4.4,Galago senegalensis,_0143,186,4800,40.2,81.4,4512,254,382,2997,79.2,2.58,163,35.7,107,2139,,,,,,,,,,,4633.2,21,,,,,,,,,,,,,,1,0.59,0.07,1,0.74,0.04,,,,,,,,Galago senegalensis,3265,186,12.6,3.77,4.43,2
Lagothrix_lagotricha,97490.35,164,,845,16727,,63.8,612,4947,4856,49147,1582,11268,1586,108.57,Lagothrix lagotricha,_0186,5200,101000,1090,897,95503,2110,5721,74822,73.4,1.43,1395,266,680,65873,31,2959,624,909,203,,,,,,97490.35,,,,,,,,,2,53,9.07,6.94,23,14.1,2,2.6,0.58,7.01,10.6,0.89,1.89,24.19,2.43,1.23,0.23,12.5,1.63,Lagothrix lagothricha,3379,5200,212.95,60.23,44.15,2
Lepilemur_ruficaudatus,7335.91,15.6,133,55.2,476.6,,2.91,63,366,326,2805,260,1165,392,9.35,Lepilemur ruficaudatus,_0117,915,7600,76.5,84.1,7175,449,593,4708,113,2.72,302,56.7,194,3282,4.89,337,114,58.1,20.7,170,42.5,0.62,90.4,7.18,7335.91,26.2,,,,,,,,1,14.9,2.11,2.3,5.92,4.47,1,0.89,0.12,1.75,0.73,0.13,,,,,,,,Lepilemur ruficaudatus,3239,915,23.07,6.41,7.31,1
Macaca_fascicularis,55598.46,91.9,,,,,,,,2713.3,,,,,,,Zilles,2900,57600,,,,,,,,,,,,,,,,,,,,,,,55598.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_mulatta,89768.34,158,,,,,,,4032,5343,,1380,8965,1353,106.94,Macaca mulatta,_0202,7800,93000,834,1038,87896,1992,4480,71080,84.3,0,1220,271,639,63482,,,,,,,,,,,89768.34,639.2,,,,,,,,,,,,,,1,2.83,0.36,7.66,12.4,0.27,,,,,,,,Macaca mulatta,3391,7800,235.31,75.13,53.24,2
Microcebus_murinus,1718.15,7.1,36.4,10.7,65.31,,0.65,9.08,85.7,136,674.2,85.2,234,100,2.11,Microcebus murinus,_0114,54,1780,11.3,26.6,1680,99.1,134,1129,43,1.62,103,15.3,40.1,740,1.44,78.3,29.8,11.4,6.17,66.8,12.1,0.26,24.3,,1718.15,5.9,,,,,,,,2,4.02,0.68,0.76,1.5,1.08,1,0.27,0.06,0.46,0.14,0.02,,,,,,,,Microcebus murinus,3199,54,4.74,1.14,1.49,2
Miopithecus_talapoin,38610.04,109,,,,,,,1908,2339,,826,3374,705,33.84,Miopithecus talapoin,_0232,1200,40000,262,572,37776,1035,2375,30166,27.8,0,706,133,259,26427,,,,,,,,,,,38610.04,273.7,,,,,,,,,,,,,,3,0.87,0.19,2.07,2.03,0.22,1.02,12.22,0.91,0.71,0.15,4.64,0.55,Miopithecus talapoin,3469,1200,78.95,26.42,18.69,2
Nasalis_larvatus,92797,157,,550,,,37.2,564,3735,,,1556,12113,1966,149.33,Nasalis larvatus,_0243,14000,97000,591,241,92797,2945,5310,70873,30.3,0,1268,333,855,62685,29.6,3036,671,587,304,,,,,,,967.4,,,,,,,,1,86.2,12.6,14.8,33.6,25.2,,,,,,,0.81,,1.75,,0.07,,0.93,Nasalis larvatus,3499,14000,340.36,105.48,85.55,1
Nycticebus_coucang,12065.64,35.9,,,1240,,,,760,696,4952,345,1310,566,14.03,Nycticebus coucang,_0138,800,12500,142,169,11755,528,1077,8495,159,4.28,510,92,212,6192,,,,,,,,,,,12065.64,63.8,,,,,,,,,,,,,,1,1.34,0.18,2.04,1.83,0.15,,,,,,,,Nycticebus coucang,3255,800,33.75,8.76,10.96,2
Otolemur_crassicaudatus,9942.08,23.2,,63.3,,,4.1,74.6,556,479,,384,1414,461,9.64,Otolemur crassicaudatus,_0141,850,10300,147,128,9668,540,785,6545,166,2.52,386,70,181,4723,5.71,437,127,67.4,33.9,,,,,,9942.08,54.5,,,,,,,,1,19.9,2.85,2.87,7.16,7.01,1,0.7,0.09,1.64,1.02,0.1,,,,,,,,Otolemur crassicaudatus,3267,850,25.9,6.63,9.63,2
Papio_anubis,194015.44,395,,1147,54416,,94.7,1257,7182,10001,85726,2711,18683,3398,220.35,Papio anubis,_0212,25000,201000,1081,1977,190957,5297,9280,154987,287,0,2111,559,1309,140142,65.4,4788,1076,1241,601,,,,,,194015.44,2177.7,,,,,,,,1,107,14.4,10.5,48.1,33.9,1,1.86,0.41,12.7,51.1,0.35,3.92,45.24,4.69,3.74,0.85,33.84,3.33,Papio anubis,3415,25000,379.04,99.91,58.78,2
Pithecia_monachus,33783.78,76.3,,,,,,,1918,1679,,745,3908,834,53.67,Pithecia monachus,_0174,1500,35000,631,286,32867,1009,2285,24920,34.8,0.85,675,140,289,21028,,,,,,,,,,,33783.78,,,,,,,,,,,,,,,1,1.31,0.3,2.53,0.06,0.19,,,,,,,,Pithecia monachus,3341,1500,109.36,31.78,23.91,2
Plecturocebus_moloch,18339.77,54.2,,,,,,,920,1201,,530,1622,588,21.24,Callicebus moloch,_0172,900,19000,279,242,17944,787,1375,13465,19.2,0.33,454,86.4,234,11163,,,,,,,,,,,18339.77,105.9,,,,,,,,,,,,,,1,0.89,0.14,2.66,2.9,0.15,,,,,,,,Callicebus moloch,3327,900,61.41,19.47,20.7,2
Propithecus_verreauxi,25772.2,64.5,251,263,3335,,20,324,1411,1106,9835,780,3957,1043,39.46,Propithecus verreauxi,_0132,3480,26700,231,347,25194,1223,2195,17040,147,3.4,664,159,443,13170,14.6,1341,328,283,125,292,78.7,0.92,172,18.8,25772.2,169.3,,,,,,,,1,43.2,8.18,7.37,15.3,12.4,1,1.6,0.51,3.65,3.26,0.36,,,,,,,,Propithecus verreauxi,3247,3480,97.12,30.94,26.72,2
Pygathrix_nemaeus,72530,115,,,,,,,3166,,,1345,8063,2295,137.05,Pygathrix nemaeus,_0242,7500,77000,911,883,72530,2206,4727,56189,10.7,0,942,290,723,48763,,,,,,,,,,,,708.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygathrix nemaeus,3493,7500,265.75,80.76,47.94,1
Saguinus_midas,9942.08,36,,,,,,,471,841,,332,1061,280,7.75,Saguinus midas,_0165,340,10300,251,122,9569,428,692,7055,17.3,0.29,243,40.9,120,5883,,,,,,,,,,,9942.08,45.7,,,,,,,,,,,,,,1,0.56,0.08,1.18,0.22,0.1,,,,,,,,Saguinus midas,3305,340,21.57,6.94,6.88,2
Saimiri_sciureus,23166.02,62.9,227,169,3710,,11.5,132,1042,1884,11832,526,2260,352,27.2,Saimiri sciureus,_0192,660,24000,299,295,22572,722,1430,17635,26.8,0.99,413,90.6,168,15541,8.86,731,207,180,117,186,45.9,0,181,15,23166.02,135.2,,,,,,,,1,29.4,4.43,6.26,11.4,7.31,5,0.6,0.26,2.77,2.71,0.14,,,,,,,,Saimiri sciureus,3335,660,73.22,21.93,24.09,2
Tarsius_syrichta,3474.9,20.8,49.8,16.1,137,,1.09,16.7,133,349,1631,197,428,153,3.37,Tarsius syrichta,_0147,125,3600,24.1,58,3393,207,303,2258,18.8,0.82,92.7,23.3,69,1768,2.53,175,42.5,17.1,15.5,39.1,11.1,0.08,38.7,5.35,3474.9,16.5,,,,,,,,1,7.69,0.76,1.16,3.36,2.41,3,0.41,0.05,1.13,2.03,0.11,,,,,,,,Tarsius spp.,3282,125,8.06,1.82,2.87,4
