"input_species","binomial","status","on_trees","matched_tip","matched_via","match_source","order_assigned","order_source","note"
"Galago_senegalensis","Galago senegalensis","matched_direct",TRUE,"Galago_senegalensis","Galago senegalensis","accepted_name","Primates","tree_tip_crosswalk",""
"Galagoides_demidoff","Galagoides demidoff","matched_synonym",TRUE,"Galagoides_demidovii","Galagoides demidovii","tree_tip_crosswalk","Primates","tree_tip_crosswalk","reached via ""Galagoides demidovii"" (tree_tip_crosswalk)"
"Gorilla_gorilla","Gorilla gorilla","matched_direct",TRUE,"Gorilla_gorilla","Gorilla gorilla","accepted_name","Primates","tree_tip_crosswalk",""
"Homo_sapiens","Homo sapiens","matched_direct",TRUE,"Homo_sapiens","Homo sapiens","accepted_name","Primates","tree_tip_crosswalk",""
"Hylobates_lar","Hylobates lar","matched_direct",TRUE,"Hylobates_lar","Hylobates lar","accepted_name","Primates","tree_tip_crosswalk",""
"Hylobates_muelleri","Hylobates muelleri","matched_direct",TRUE,"Hylobates_muelleri","Hylobates muelleri","accepted_name","Primates","tree_tip_crosswalk",""
"Indri_indri","Indri indri","matched_direct",TRUE,"Indri_indri","Indri indri","accepted_name","Primates","tree_tip_crosswalk",""
"Lagothrix_lagotricha","Lagothrix lagotricha","matched_direct",TRUE,"Lagothrix_lagotricha","Lagothrix lagotricha","accepted_name","Primates","Upham_tip_table",""
"Leontopithecus_rosalia","Leontopithecus rosalia","matched_direct",TRUE,"Leontopithecus_rosalia","Leontopithecus rosalia","accepted_name","Primates","tree_tip_crosswalk",""
"Lepilemur_ruficaudatus","Lepilemur ruficaudatus","matched_direct",TRUE,"Lepilemur_ruficaudatus","Lepilemur ruficaudatus","accepted_name","Primates","tree_tip_crosswalk",""
"Lophocebus_albigena","Lophocebus albigena","matched_direct",TRUE,"Lophocebus_albigena","Lophocebus albigena","accepted_name","Primates","tree_tip_crosswalk",""
"Loris_tardigradus","Loris tardigradus","matched_direct",TRUE,"Loris_tardigradus","Loris tardigradus","accepted_name","Primates","tree_tip_crosswalk",""
"Macaca_fascicularis","Macaca fascicularis","matched_direct",TRUE,"Macaca_fascicularis","Macaca fascicularis","accepted_name","Primates","tree_tip_crosswalk",""
"Macaca_maura","Macaca maura","matched_direct",TRUE,"Macaca_maura","Macaca maura","accepted_name","Primates","tree_tip_crosswalk",""
"Macaca_mulatta","Macaca mulatta","matched_direct",TRUE,"Macaca_mulatta","Macaca mulatta","accepted_name","Primates","tree_tip_crosswalk",""
"Microcebus_murinus","Microcebus murinus","matched_direct",TRUE,"Microcebus_murinus","Microcebus murinus","accepted_name","Primates","tree_tip_crosswalk",""
"Miopithecus_talapoin","Miopithecus talapoin","matched_direct",TRUE,"Miopithecus_talapoin","Miopithecus talapoin","accepted_name","Primates","tree_tip_crosswalk",""
"Nasalis_larvatus","Nasalis larvatus","matched_direct",TRUE,"Nasalis_larvatus","Nasalis larvatus","accepted_name","Primates","tree_tip_crosswalk",""
"Nycticebus_coucang","Nycticebus coucang","matched_direct",TRUE,"Nycticebus_coucang","Nycticebus coucang","accepted_name","Primates","tree_tip_crosswalk",""
"Otolemur_crassicaudatus","Otolemur crassicaudatus","matched_direct",TRUE,"Otolemur_crassicaudatus","Otolemur crassicaudatus","accepted_name","Primates","tree_tip_crosswalk",""
"Pan_paniscus","Pan paniscus","matched_direct",TRUE,"Pan_paniscus","Pan paniscus","accepted_name","Primates","tree_tip_crosswalk",""
"Pan_troglodytes","Pan troglodytes","matched_direct",TRUE,"Pan_troglodytes","Pan troglodytes","accepted_name","Primates","tree_tip_crosswalk",""
"Papio_anubis","Papio anubis","matched_direct",TRUE,"Papio_anubis","Papio anubis","accepted_name","Primates","tree_tip_crosswalk",""
"Perodicticus_potto","Perodicticus potto","matched_direct",TRUE,"Perodicticus_potto","Perodicticus potto","accepted_name","Primates","tree_tip_crosswalk",""
"Piliocolobus_badius","Piliocolobus badius","matched_synonym",TRUE,"Procolobus_badius","Procolobus badius","tree_tip_crosswalk","Primates","tree_tip_crosswalk","reached via ""Procolobus badius"" (tree_tip_crosswalk)"
"Pithecia_monachus","Pithecia monachus","matched_direct",TRUE,"Pithecia_monachus","Pithecia monachus","accepted_name","Primates","tree_tip_crosswalk",""
"Pithecia_pithecia","Pithecia pithecia","matched_direct",TRUE,"Pithecia_pithecia","Pithecia pithecia","accepted_name","Primates","tree_tip_crosswalk",""
"Plecturocebus_moloch","Plecturocebus moloch","matched_synonym",TRUE,"Callicebus_moloch","Callicebus moloch","species_display_aliases","Primates","tree_tip_crosswalk","reached via ""Callicebus moloch"" (species_display_aliases)"
"Pongo_abelii","Pongo abelii","matched_direct",TRUE,"Pongo_abelii","Pongo abelii","accepted_name","Primates","Upham_tip_table",""
"Pongo_pygmaeus","Pongo pygmaeus","matched_direct",TRUE,"Pongo_pygmaeus","Pongo pygmaeus","accepted_name","Primates","tree_tip_crosswalk",""
"Propithecus_verreauxi","Propithecus verreauxi","matched_direct",TRUE,"Propithecus_verreauxi","Propithecus verreauxi","accepted_name","Primates","tree_tip_crosswalk",""
"Pygathrix_nemaeus","Pygathrix nemaeus","matched_direct",TRUE,"Pygathrix_nemaeus","Pygathrix nemaeus","accepted_name","Primates","tree_tip_crosswalk",""
"Saguinus_geoffroyi","Saguinus geoffroyi","matched_direct",TRUE,"Saguinus_geoffroyi","Saguinus geoffroyi","accepted_name","Primates","tree_tip_crosswalk",""
"Saguinus_midas","Saguinus midas","matched_direct",TRUE,"Saguinus_midas","Saguinus midas","accepted_name","Primates","tree_tip_crosswalk",""
"Saguinus_oedipus","Saguinus oedipus","matched_direct",TRUE,"Saguinus_oedipus","Saguinus oedipus","accepted_name","Primates","tree_tip_crosswalk",""
"Saimiri_sciureus","Saimiri sciureus","matched_direct",TRUE,"Saimiri_sciureus","Saimiri sciureus","accepted_name","Primates","tree_tip_crosswalk",""
"Symphalangus_syndactylus","Symphalangus syndactylus","matched_direct",TRUE,"Symphalangus_syndactylus","Symphalangus syndactylus","accepted_name","Primates","tree_tip_crosswalk",""
"Tarsius_syrichta","Tarsius syrichta","matched_direct",TRUE,"Tarsius_syrichta","Tarsius syrichta","accepted_name","Primates","tree_tip_crosswalk",""
"Trachypithecus_francoisi","Trachypithecus francoisi","matched_direct",TRUE,"Trachypithecus_francoisi","Trachypithecus francoisi","accepted_name","Primates","tree_tip_crosswalk",""
"Varecia_variegata","Varecia variegata","matched_direct",TRUE,"Varecia_variegata","Varecia variegata","accepted_name","Primates","tree_tip_crosswalk",""
