roi,dissection,n
Human CBV,Cerebellum (CB) - Cerebellar Vermis - CBV,71874
Human CEN,Amygdaloid complex (AMY) - Central nuclear group - CEN,42699
Human CM,Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM,12944
Human CM-Pf,Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf,24354
Human CMN,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,38331
Human CaB,Basal nuclei (BN) - Body of the Caudate - CaB,32678
Human CbDN,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,52045
Human Cla,Claustrum - Cla,40165
Human CoA,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,10778
Human DGR-CA4Rpy,Body of hippocampus (HiB) - Rostral DG-CA4,40191
Human DGU-CA4Upy,Head of hippocampus (HiH) - Uncal DG-CA4,35350
Human DTg,Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg,26095
Human ETH,Epithalamus - ETH,24327
Human FI,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,34949
Human GPe,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,47376
Human GPe,,976
Human GPi,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,33968
Human Gpe,,2478
Human HTHma,Hypothalamus (HTH) - mammillary region of HTH (HTHma),10099
Human HTHma-HTHtub,Hypothalamus (HTH) - mammillary region of HTH (HTHma) - tuberal region of HTH - HTHtub,18728
Human HTHpo,Hypothalamus (HTH) - preoptic region of HTH - HTHpo,14979
Human HTHpo-HTHso,"Hypothalamus (HTH) - preoptic region of HTH - HTHpo (medial preoptic nucleus, MPN) - supraoptic region of HTH - HTHso (paraventricular nucleus, PV)",20027
Human HTHso,Hypothalamus (HTH) - supraoptic region of HTH - HTHso,12557
Human HTHso-HTHtub,"Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial hypothalamic nucleus, VMH)",9488
Human HTHso-HTHtub,"Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial and dorsomedial hypothalamic nucleic nuclei, VMH, DMH)",7265
Human HTHtub,Hypothalamus (HTH) - tuberal region of hypothalamus - HTHtub,13173
Human IC,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,32306
Human IO,Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO,21534
Human ITG,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,29522
Human Idg,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,39696
Human Ig,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,38937
Human LEC,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,32745
Human LG,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),48856
Human LP,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP,26172
Human LP-VPL,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL,17660
Human La,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,28984
Human M1C,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,116576
Human MD,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,20916
Human MD-Re,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,13382
Human MEC,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",50362
Human MG,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),14226
Human MN,Hypothalamus (HTH) - mammillary region of HTH (HTHma) - mammillary nucleus - MN,28155
Human MTG,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,107301
Human MoAN,Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN,27210
Human MoRF-MoEN,Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN,23120
Human MoSR,Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR,13623
Human NAC,Basal nuclei (BN) - Nucleus Accumbens - NAC,30132
Human PAG,Midbrain (M) - Periaqueductal gray and nearby nuclei - PAG,33794
Human PAG-DR,Midbrain (M) - Periaqueductal gray and Dorsal raphe nucleus - PAG-DR,14094
Human PB,Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB,21693
Human PB,,2462
Human PN,Pons (Pn) - Pontine Nucleus - PN,33641
Human PTR,Midbrain (M) - Pretectal region - PTR,25875
Human Pir,Paleocortex (PalCx) - Piriform cortex - Pir,36941
Human PnAN,Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN,23349
Human PnEN,Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN,47416
Human PnRF,Pons (Pn) - Pontine reticular formation - PnRF,49512
Human Pro,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",28051
Human Pu,Basal nuclei (BN) - Putamen - Pu,34416
Human Pul,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,46453
Human RN,Midbrain (RN) - Red Nucleus - RN,4714
Human S1C,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,38188
Human SC,Midbrain (M) - Superior colliculus and nearby nuclei - SC,29907
Human SEP,Basal forebrain (BF) - septal nuclei - SEP,40815
Human SI,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,38205
Human SN,Midbrain (M) - Substantia Nigra - SN,59505
Human SN-RN,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",49110
Human STG,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,40565
Human STH,Thalamus (THM) - Subthalamic nucleus and nearby - STH,20162
Human SpC,Spinal cord - SpC,24190
Human Sub,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
Human Sub,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
Human TF,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",31899
Human TH-TL,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,40677
Human V1C,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,33484
Human V2,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",32638
Human VA,Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA,8573
Human VLN,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN,27111
Human VPL,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL,6877
