Species,Body_Mass.g,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Pongo sp.,46325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717.25,254.75,353.2,1562.75,828.25,400.75,208.75,2738.5,1331.5,340925,1400,NA,8400,NA,NA,NA,NA,NA,44600,5200,NA,49800,NA,NA,259.1,NA,NA,NA,13500,42960,6353,4745,2700,NA,NA,NA,NA,5500,4000,269233.3333333333,129900,NA,NA,81500,NA,NA,NA,NA,2400,NA,600,11500,238300,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA,462.5,4133.333333333333,133.33333333333334,734.5,192,1407,57.75,39.75,18,1300,4300,1000
Potamogale velox,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4160,NA,NA,NA,NA,NA,NA,3878,NA,NA,NA,NA,NA,NA,86,2.31,NA,NA,NA,605,NA,NA,NA,0.00309,0.00174,0.089,298,NA,NA,NA,298,NA,NA,194,NA,756,254,1054,NA,NA,NA,NA,NA,1.45,1.1,NA,NA,145,51.4,134,1964,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propithecus verreauxi,3480,86.6,43.3,24.8,12.4,14.74,7.37,30.6,15.3,16.36,8.18,NA,NA,26700,NA,NA,NA,NA,NA,NA,25194,251,1355,1106,131,974,249,147,3.4,NA,NA,97.12,3957,78.7,172,64.5,3.26,0.357,0.507,2195,NA,NA,NA,1043,30.94,39.46,664,26.72,1223,780,13170,9835,1428,8407,3335,18.8,3.65,1.6,0.921,292,443,159,1411,17040,169.3,231,324,14.6,328,20,263,283,1341,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pygathrix nemaeus,7500,125,62.5,36.4,18.2,24.4,12.2,36.2,18.1,28,14,NA,NA,77000,NA,NA,NA,NA,NA,NA,72530,NA,NA,NA,NA,NA,NA,10.7,0,NA,NA,265.75,8063,NA,NA,114.8,NA,NA,NA,4727,NA,NA,NA,2295,80.76,137.05,942,47.94,2206,1345,48763,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,290,3166,56189,708.5,911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchocyon cirnei,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6100,NA,NA,NA,NA,NA,NA,5680,NA,NA,NA,NA,NA,NA,426,0.666,NA,NA,NA,798,NA,NA,NA,1.41,0.403,0.0576,524,NA,NA,NA,582,NA,NA,705,NA,507,523,1089,NA,NA,NA,NA,NA,2.09,0.937,NA,NA,220,81.5,222,3328,NA,97.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. oedipus,380,36.8,18.4,8.98,4.49,7.26,3.63,14.5,7.25,5.96,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus geoffroyi,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,10.5,18,9,18,9,46,23,10135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,340,31.6,15.8,7.2,3.6,6.56,3.28,11.4,5.7,6.42,3.21,NA,NA,10300,NA,NA,NA,NA,NA,NA,9569,NA,1061,841,NA,NA,220,17.3,0.29,NA,NA,21.57,1061,NA,NA,36.8,0.216,0.0994,0.0795,692,NA,NA,NA,280,6.94,7.75,243,6.88,428,332,5883,NA,NA,NA,NA,NA,1.18,0.559,NA,NA,120,40.9,471,7055,45.7,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,380,36.8,18.4,8.98,4.49,7.26,3.63,14.5,7.25,5.96,2.98,12,6,10000,26,13,14,7,52,26,8938.2,NA,977,807,NA,NA,170,19.1,0.406,NA,NA,24.6,984,NA,NA,34.2,0.392,0.0921,0.167,754,NA,NA,NA,262,7.19,8.8,256,8.61,413,333,5894,NA,NA,NA,NA,NA,1.55,1.08,NA,NA,107,60.5,453,7052,50.9,62.6,62.7,4.93,152,4.45,73.2,77.6,410,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,660,58.8,29.4,14.62,7.31,12.52,6.26,22.8,11.4,8.86,4.43,NA,NA,24000,NA,NA,NA,NA,NA,NA,23100,227,2326,1884,175,1709,442,26.8,0.985,1150,875,73.22,2050,45.9,181,62.9,2.71,0.143,0.255,1430,NA,NA,NA,352,21.93,27.2,413,24.09,722,526,15541,11832,1275,10557,3710,15,2.77,0.598,0,186,168,90.6,1042,17635,135.2,299,132,8.86,207,11.5,169,180,731,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus apella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66450,NA,NA,NA,NA,NA,NA,NA,NA,4650,1825,NA,6450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setifer setosus,248,7.5,3.75,2.28,1.14,0.966,0.483,2.88,1.44,1.378,0.689,NA,NA,1510,NA,NA,NA,NA,NA,NA,1404,67.2,NA,NA,NA,NA,NA,209,0.534,NA,NA,4.19,142,30.9,36.2,1.05,0.445,0.0031,0.06,99.7,NA,NA,NA,99.2,1.78,1.21,336,1.2,183,75.7,134.1,116.7,37.48,79.23,17.4,7.46,0.426,0.329,2.71,269,41.9,26,56.6,903,NA,21.3,8.57,1.62,38.3,0.316,5.49,5.81,41.5,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solenodon paradoxus,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4670,NA,NA,NA,NA,NA,NA,4282,NA,NA,NA,NA,NA,NA,465,0.218,NA,NA,NA,753,NA,NA,NA,1.27,0.0435,0.083,269,NA,NA,NA,296,NA,NA,689,NA,466,206,661,NA,NA,NA,NA,NA,2.08,0.87,NA,NA,156,65.4,255,2486,NA,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex araneus,10.3,1.236,0.618,0.332,0.166,0.191,0.0955,0.498,0.249,0.214,0.107,NA,NA,200,NA,NA,NA,NA,NA,NA,188,7.19,NA,NA,NA,NA,NA,15.7,0.0776,NA,NA,0.58,20.4,3.29,3.9,0.07,0.0102,1.2e-4,0.00326,13.7,NA,NA,NA,20.6,0.18,0.21,32.7,0.18,27.1,10.8,26.36,24.82,5.189,19.63,1.536,0.704,0.0749,0.115,NA,25.6,6.83,3.2,10.5,116,NA,1.17,0.61,0.264,5.17,0.105,0.979,1.09,7.25,0.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex minutus,5.3,0.82,0.41,0.232,0.116,0.1426,0.0713,0.348,0.174,0.0964,0.0482,NA,NA,110,NA,NA,NA,NA,NA,NA,103,3.34,NA,NA,NA,NA,NA,8.65,0.0202,NA,NA,0.35,11,1.78,1.56,0.06,0.00359,2.65e-4,0.00284,8.69,NA,NA,NA,10.5,0.13,0.13,17.2,0.09,17,5.91,12.65,11.81,2.436,9.371,0.844,0.549,0.0586,0.07,0.174,13.9,3.62,2.02,6.02,60.7,NA,0.46,0.288,0.161,3.07,0.0569,0.65,0.707,3.92,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suncus murinus,35.5,2.06,1.03,0.648,0.324,0.334,0.167,0.876,0.438,0.2,0.1,NA,NA,380,NA,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,NA,34.2,0.182,NA,NA,1.06,44.8,NA,NA,0.18,0.0628,0.00223,0.0148,26,NA,NA,NA,31.2,0.38,0.44,56.2,0.23,50.5,24.2,54.13,50.59,14.07,36.51,3.54,NA,0.168,0.201,NA,NA,12.6,5.5,14.8,209,NA,4.6,1.18,0.53,9.67,0.116,1.58,1.7,12.3,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symphalangus syndactylus,11900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,71,138.7,294,147,396,198,832,416,133880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talpa europaea,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,953,NA,NA,NA,NA,NA,NA,59.6,0.291,NA,NA,NA,174,NA,NA,NA,0.0497,0.0102,0.00857,80.4,NA,NA,NA,86.8,NA,NA,112,NA,95.4,49.8,181,NA,NA,NA,NA,NA,0.366,0.33,NA,NA,39.6,15,60.2,554,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarsius sp.,125,15.38,7.69,4.82,2.41,2.32,1.16,6.72,3.36,1.518,0.759,NA,NA,3600,NA,NA,NA,NA,NA,NA,3393,49.8,370,349,41.2,307,21.3,18.8,0.82,NA,NA,8.06,428,11.1,38.7,20.8,2.03,0.114,0.0482,303,NA,NA,NA,153,1.82,3.37,92.7,2.87,207,197,1768,1631,236.3,1395,137,5.35,1.13,0.405,0.0752,39.1,69,23.3,133,2258,16.5,24.1,16.7,2.53,42.5,1.09,16.1,17.1,175,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarsius spp.,125,15.38,7.69,4.82,2.41,2.32,1.16,6.72,3.36,1.518,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenrec ecaudatus,832,15.18,7.59,4.7,2.35,2.66,1.33,5.36,2.68,2.46,1.23,NA,NA,2570,NA,NA,NA,NA,NA,NA,2315,88.1,NA,NA,NA,NA,NA,314,0.715,NA,NA,9.82,309,39.9,48.1,1.46,0.48,0.0112,0.124,153,NA,NA,NA,146,4.43,3.33,464,2.06,313,132,270.9,235.4,72.81,162.5,35.51,8.9,0.988,0.704,3.18,364,76.5,36.9,98.1,1407,2.51,65.3,13.2,2.7,51.4,0.481,11,11.5,62.1,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus francoisi,7700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,160,102.1,434,217,498,249,1250,625,98552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupaia glis,170,20.2,10.1,5.24,2.62,4.14,2.07,6.54,3.27,4.32,2.16,NA,NA,3200,NA,NA,NA,NA,NA,NA,2999,76.5,179,169,19.6,149,10.2,131.5,2.41,NA,NA,12.46,376,24.2,52.3,12.9,0.393,0.0804,0.0608,275,NA,NA,NA,152,3.4,5.13,269,3.93,219,256,1036,941.4,126.8,814.6,94.83,4.27,0.947,0.454,1.71,182,114,27.5,140,1873,13.8,38.2,24.6,1.98,47.5,1.39,17.2,18.6,153,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupaia minor,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580,NA,NA,NA,NA,NA,NA,2430,NA,164,152,NA,NA,12.5,94.3,2.28,NA,NA,NA,308,NA,NA,9.88,NA,NA,NA,251,NA,NA,NA,132,NA,NA,205,NA,173,249,774,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,26.1,124,1449,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urogale everetti,275,25,12.5,7.18,3.59,4.66,2.33,9.36,4.68,3.82,1.91,NA,NA,4280,NA,NA,NA,NA,NA,NA,3997,NA,136,123,15.5,108,12.7,184,2.1,NA,NA,15.07,513,NA,NA,9.98,1.42,0.0572,0.136,394,NA,NA,NA,173,3.94,7,362,4.13,355,307,1338,1139,157.2,981.6,199.2,NA,0.926,0.66,NA,NA,124,45.1,199,2428,18.6,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varecia variegata,3000,86.8,43.4,27.6,13.8,15.72,7.86,29.6,14.8,13.84,6.92,24,12,31500,88,44,88,44,200,100,30405,NA,2112,1745,NA,NA,367,369,5.27,NA,NA,94.67,4286,NA,NA,68.9,4.46,0.197,0.741,2529,NA,NA,NA,1404,28.83,37.45,985,28.39,1420,1018,15293,NA,NA,NA,NA,NA,5.35,3.51,NA,NA,608,206,1591,20461,168.8,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
