Species,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_white_matter_Vol.mm3,FlocculonodularLobe_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Total_brain_net_volume_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_Vol.mm3,Nucleus_olivaris_inferior_accessorius_dorsalis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_medialis_Vol.mm3,Nucleus_olivaris_inferior_principalis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,PrefrontalCortex_grey_matter_Vol.mm3,PrefrontalCortex_grey_matter_left_Vol.mm3,PrefrontalCortex_grey_matter_right_Vol.mm3,PrefrontalCortex_white_matter_Vol.mm3,PrefrontalCortex_white_matter_left_Vol.mm3,PrefrontalCortex_white_matter_right_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Meninges_hypophysis_nerves_etc_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Diencephalon_excluding_globus_pallidus_Vol.mm3,Striatum_including_globus_pallidus_Vol.mm3,EntorhinalCortex_Vol.mm3,OlfactoryCortices_Vol.mm3,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,Pons_Vol.mm3
Capra hircus domestica,4731,1796,2573,232,5811,848,362,109,125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlito syrichta,NA,NA,NA,NA,422,NA,NA,NA,3238,NA,1890,1470,150,NA,NA,87.5,3630,NA,NA,NA,NA,NA,NA,280,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,185,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,64.3,20.9,133,NA,NA,2359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castor canadensis,2343,1428,848,117,3085,625,67.1,56.7,21136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavia porcellus,442,166,252,25.6,542,74.9,22.9,13.9,5415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebuella pygmaea,NA,NA,NA,NA,NA,NA,NA,NA,4005.8,NA,NA,NA,NA,2,1,110,4.2,14,7,6,3,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus albifrons,NA,NA,NA,173.18,7871,NA,NA,NA,71983,NA,46429,30630,15799,68,34,3100,71000,310,155,216,108,594,297,3764,137,0.667,0.067,0.323,0.277,458.2,4703,365,3399,939,39.9,0.667,210.19,30.29,146.01,84.4,120.4,337.8,74.2,105,50.2,3.8,0.425,0.41,3996,2.47,110.34,9450,5220,313.85,35.87,890.4,576.55,1.98,38.98,99.52,931,34.68,1738.13,1221,152.4,3607,27023,36,4.9,16.2,8.41,7.81,18.5,1.5,0,26.7,12.3,15.8,7.45,41.3,19.2,21.2,11.2,567,892,1430,660,770,250,100,150,199.4,8.6,390,174,3258,43.85,63.6,52113,12.9,2.16,103.5,682.2,729,NA,549,23.7,418,41.7,567,609,2163,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus capucinus,7301,5171,2036,168,8479,1011,94.3,199,78554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus sp.,NA,4700,2350,NA,7805,NA,NA,NA,72586,NA,47045,NA,NA,NA,NA,2600,73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3999,NA,NA,NA,NA,NA,NA,892,NA,NA,NA,NA,NA,NA,1844,1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186,NA,NA,NA,NA,NA,NA,NA,NA,436,212,3295,NA,NA,53116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercartetus concinnus,36.1,12.8,20,2.2,42,3.74,3.37,2.06,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercartetus lepidus,35.6,15.3,16.4,1.5,40.2,3.13,3.95,1.47,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercartetus nanus,43.3,16.8,23.6,2.18,51.9,6.35,2.97,1.49,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus agilis,NA,NA,NA,NA,NA,NA,NA,NA,91988,NA,NA,NA,NA,210,105,5660,95.3,232,116,316,158,758,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus torquatus,NA,6375,2300,NA,8650,1960,NA,NA,107965,4470,88280,47913.333333333336,40373.333333333336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5120,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus ascanius,NA,NA,NA,143.98,5828,NA,NA,NA,63505,NA,45166,32114,13052,NA,NA,3400,67000,NA,NA,NA,NA,NA,NA,4272,147,NA,NA,NA,NA,572.5,5106,416,3855,834,99.5,0,362.05,23.02,240.6,101.8,139.3,433.2,68,112,52.1,4.66,0.217,0.509,3605,2.64,150.46,7940,2990,249.6,85.7,1189,939.4,1.99,41.7,67.67,1052,34.61,1717.045,1162,237.1,4009,28104,45.6,4.23,10.9,4.38,6.53,15,2.13,0,38.6,17.2,13.2,5.88,41.5,20.8,18.7,8.21,450,1136,1150,570,580,160,70,90,223.3,12.5,694,251,2827,77.57,30.1,51279,24.9,2.07,86.5,520.2,240,NA,421,17.9,410,25.7,405,431,1916,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus mitis,NA,NA,NA,171.16,6758,NA,NA,NA,69838,NA,49933,NA,NA,178,89,6300,75000,782,391,268,134,1228,614,4232,158.6,NA,NA,NA,NA,704,5275,NA,NA,1042,116.7,0,378.84,30.44,288.47,152.4,210.9,493.1,84.5,137,80.5,15.3,0.258,0.432,4176,3.07,125.58,10190,4740,379.53,86.05,1366.39,986.86,2.07,54.55,82.38,1265,34.23,1998.95,1354,242.8,NA,NA,66.4,5.38,10.9,3.48,7.41,13.2,1.96,NA,40.6,24.3,19.9,10.5,50.9,30.7,26,15,NA,1282,1380,630,750,200,80,120,191.8,24.6,617,246,2733,77.48,55,56277,33.7,2.14,103.6,517.6,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus nictitans,NA,NA,NA,NA,NA,965,NA,NA,64740,3840,47800,35993.333333333336,11806.666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4140,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus sp.,NA,3450,2650,NA,6200,NA,NA,NA,64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus major,NA,NA,NA,19.45,947,NA,NA,NA,6373,NA,2938,NA,NA,NA,NA,450,6800,NA,NA,NA,NA,NA,NA,433,21.5,4.043,1.075,1.39,1.578,102.3,477,NA,NA,44.8,157.5,4.04,107.42,8.32,92.66,10,33.6,68.8,25.6,23.9,11.1,0.789,0.032,0.256,489,0.78,61.26,NA,NA,45.57,13.22,347.35,301.78,0.92,3.85,9.95,332,5.65,381.81,241,52.1,NA,NA,8.8,1.75,2.61,1.31,1.3,1.62,0.917,0.95,7.17,3.27,3.83,1.78,8.92,4.18,3.97,1.86,233,315,NA,NA,NA,NA,NA,NA,144,19.4,149,58.9,327,18.9,11.8,4314,5.1,0.52,39.4,27.4,83.4,NA,48.6,4.83,101,2.27,31.6,33.8,271,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus medius,NA,NA,NA,9.45,437,NA,NA,NA,2795.5,NA,1120.5,890,130,NA,NA,177,3140,NA,NA,NA,NA,NA,NA,199,10.8,2.663,0.796,0.844,1.023,64.9,216,NA,NA,17.6,102,2.66,54.4,4.72,44.89,5.7,24.1,40.8,14.3,12.3,6,0.691,0.0432,0.171,235,0.52,30.44,NA,NA,23.75,6.19,174.36,150.61,0.57,1.94,4.27,198,3.24,202.19,145,NA,NA,NA,3.9,1.06,1.03,0.61,0.415,0.726,0.385,0.55,3.08,1.61,2.25,1,4.65,2.03,2.28,1.36,135,181,NA,NA,NA,NA,NA,NA,75.1,14,65.3,32.5,145,9.97,6.9,1941,3.2,0.3,27.5,13,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinchilla laniger,836,408,389,50.8,1039,162,39.6,19.4,5515.5,792,1430,1160,269.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choloepus didactylus,1841,1029,760,76.6,2495.7,551,52,89.8,26482,2300,9621.2,7910,2630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138.08,NA,NA,NA,NA,NA,NA,1009.92,693.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.72,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1569.6,1802.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysochloris asiatica,NA,NA,NA,NA,72.6,NA,NA,NA,657,NA,113,NA,NA,NA,NA,49,700,NA,NA,NA,NA,NA,NA,NA,NA,0.132,0.017,0.037,0.078,20,NA,NA,NA,NA,58.5,0.132,NA,NA,NA,2.4,9.1,11,NA,NA,NA,0.0251,0.00811,0.0147,52.8,NA,NA,NA,NA,NA,NA,66.3,NA,NA,NA,NA,115,NA,58.5,43.2,NA,NA,NA,1.6,0.449,NA,NA,NA,NA,0.485,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,14.1,20.9,12.1,44.3,NA,2.3,430,3,NA,20.7,NA,8.12,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysochloris stuhlmanni,NA,NA,NA,NA,74.7,NA,NA,NA,693,NA,129,NA,NA,NA,NA,39.8,740,NA,NA,NA,NA,NA,NA,NA,NA,0.204,0.028,0.067,0.109,23.3,NA,NA,NA,NA,60.6,0.204,NA,NA,NA,2.6,12.2,11.1,14.4,3.06,NA,0.096,0,0.0191,51.8,NA,NA,NA,NA,NA,NA,59.1,NA,NA,NA,NA,131,NA,68.3,42,NA,NA,NA,2.1,0.38,NA,NA,NA,NA,0.395,0.96,0.8,NA,0.507,NA,1.29,NA,0.459,NA,NA,131,NA,NA,NA,NA,NA,NA,60,15,21.4,11.3,43.5,NA,2.4,457,3.3,NA,24.6,NA,7,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus angolensis,NA,NA,NA,NA,NA,NA,NA,NA,71815,NA,NA,NA,NA,64,32,9680,37237.2,304,152,76,38,444,222,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocidura flavescens,NA,NA,NA,1.17,51.3,NA,NA,NA,408,NA,59.11,54.12,4.99,NA,NA,28,440,NA,NA,NA,NA,NA,NA,NA,0.28,0.221,0.041,0.085,0.095,13,NA,NA,NA,NA,36.2,0.221,NA,NA,NA,2,6.4,6.6,10.8,2.21,1.32,0.0391,5.76e-4,0.0186,28.4,NA,NA,NA,NA,NA,NA,38.5,NA,NA,0.42,0.47,68.4,0.27,59.8,27.7,NA,16.15,37.97,1.2,0.2,NA,NA,NA,NA,0.274,0.43,0.57,0.389,0.434,0.222,0.951,0.543,0.253,0.171,23.4,NA,NA,NA,NA,NA,NA,NA,28.4,8.4,13.3,6.94,16.8,NA,1.7,241,1.7,NA,7.4,NA,2.67,14,2.19,0.657,9.77,0.142,1.63,1.78,14.6,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocidura hildegardeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,19.4,NA,NA,NA,NA,0.66,3.5,3.4,6.81,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,0.34,0.47,NA,0.237,NA,0.674,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,4.5,NA,NA,NA,NA,0.62,NA,0.71,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
